Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA01.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA02.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA03.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA04.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA05.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA06.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA07.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA08.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA09.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA10.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA11.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA12.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB01.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB02.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB03.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB04.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB05.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB06.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB07.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB08.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB09.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB10R1.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB10R2.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB11.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB12.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC01.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC02.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC03.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC04.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC05.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC06.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC07.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC08.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC09.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC10.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC11.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC12.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD01.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD02.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD03.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD04.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD05.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD06.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD07.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD08.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampled09.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD10.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD11.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD12.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE01.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE02.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE03.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE04.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE05.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE06.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE07.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE08.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE09.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE10.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE11.mzML	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Sweden_cohort/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE12.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55	KV315_HUMAN;KV37_HUMAN;KVD07_HUMAN	IGKV3-15;IGKV3-7;IGKV3D-7		2.94508e+08	2.71635e+08	1.69934e+08	1.30249e+08	2.40322e+08	3.12511e+08	2.05542e+08	4.23855e+08	2.09464e+08	2.37417e+08	2.56346e+08	8.31871e+07	1.7959e+08	2.49737e+08	3.61231e+08	3.95998e+08	3.28716e+08	5.54763e+08	9.04628e+07	3.53047e+08	3.36622e+08	1.37043e+08	1.4239e+08	3.1883e+08	2.01332e+08	3.72388e+08	4.07487e+08	2.76397e+08	2.10547e+08	2.19619e+08	2.05037e+08	2.08538e+08	5.56989e+08	6.29935e+08	4.06024e+08	2.5651e+08	3.88584e+08	4.57947e+08	6.63929e+08	6.30756e+08	4.78692e+08	7.62857e+08	2.96639e+08	2.30412e+08	4.04919e+08	4.95256e+08	9.01725e+08	4.34909e+08	2.7201e+08	2.5644e+08	1.0608e+09	2.16018e+08	2.98105e+08	3.15262e+08	2.87465e+08	2.74601e+08	2.66403e+08	5.10534e+08	2.07149e+08	3.00279e+08	3.0587e+08
A0A075B6H9	A0A075B6H9	LV469_HUMAN	IGLV4-69		1.48664e+07	1.51377e+07	7.49604e+06	8.8407e+06	1.93408e+07	5.34077e+06	1.86118e+07	2.09521e+07	5.61521e+06	9.24898e+06	8.83506e+06	4.68865e+06	3.78302e+06	6.58868e+06	1.39386e+07	1.30162e+06	1.36261e+07	1.61294e+07	2.5459e+06	1.64932e+07	1.95018e+07	9.47903e+06	9.14532e+06	1.17063e+07	1.08187e+07	1.38573e+07	2.0493e+07	6.52345e+06	9.6698e+06	9.10029e+06	1.50825e+07	1.23535e+07	3.2715e+07	2.25598e+07	2.87343e+07	8.83147e+06	2.06205e+07	2.53537e+07	2.49075e+07	1.5951e+07	7.00642e+07	4.72975e+07	2.30933e+07	4.75792e+06	1.91994e+07	1.60934e+07	9.40219e+06	2.35289e+07	1.57429e+07	1.86817e+07	2.53974e+07	2.02957e+07	7.48345e+06	2.0703e+07	1.35103e+07	9.68741e+06	1.49719e+07	1.76621e+07	5.98151e+06	1.49986e+07	1.64028e+07
A0A075B6I0	A0A075B6I0	LV861_HUMAN	IGLV8-61		9.55444e+06	2.70165e+07	4.96594e+06	6.57343e+06	2.55942e+07	1.09106e+07	1.7881e+07	6.43796e+07	7.57484e+06	4.567e+07	1.76344e+07	2.71477e+07	1.99773e+07	1.3277e+07	2.48728e+07	1.22213e+07	3.33792e+07	5.1102e+07	7.27316e+06	3.30533e+07	4.14534e+07	8.41247e+06	7.62503e+06	1.71869e+07	1.22621e+07	1.81946e+07	1.88533e+07	2.90229e+07		6.39784e+06	9.85515e+06	1.28293e+07	4.98447e+07	3.06948e+07	2.21618e+07	1.47634e+07	3.12093e+07	3.59182e+07	2.96898e+07	1.61034e+07	6.98443e+07	9.6672e+07	1.73481e+07	1.31555e+07	3.46098e+07	1.50325e+07	2.66904e+07	1.37581e+07	1.63619e+07	4.89772e+07	2.36905e+07	4.62147e+07	1.75832e+07	2.53567e+07	2.95788e+07	1.15035e+07	1.60534e+07	3.18946e+07	1.78906e+07	2.28102e+07	1.87707e+07
A0A075B6I1	A0A075B6I1	LV460_HUMAN	IGLV4-60		2.21731e+06	1.98475e+06	699474	5.69665e+06	4.76394e+06	420576	7.31034e+06	8.69943e+06	5.28718e+06	4.46901e+06	2.07567e+06	3.87219e+06	3.2409e+06	3.71373e+06	1.79508e+06	2.03286e+06	5.15492e+06	5.39495e+06	278032	7.24707e+06	4.21034e+06	1.96917e+06	1.67229e+06	1.83859e+06	6.43973e+06	6.17941e+06	4.35361e+06	210545	3.78588e+06	552365	5.08551e+06	2.87678e+06	6.09775e+06	1.96534e+07	7.38929e+06	409355	1.29479e+06	7.13491e+06	7.59491e+06	1.23783e+06	1.60833e+07	8.04357e+06	683292	2.99317e+06	962171	7.84012e+06	4.27611e+06	8.12966e+06	3.65791e+06	4.42606e+06	1.31026e+07	218041	9.18704e+06	3.60778e+06	6.43774e+06	4.16155e+06	1.22188e+06	3.2698e+06	453987	4.08785e+06	632384
A0A075B6I9	A0A075B6I9	LV746_HUMAN	IGLV7-46		1.38035e+07	1.83732e+07	1.44934e+07	1.67973e+07	4.2997e+07	4.55227e+07	3.71145e+07	4.1473e+07	3.01105e+07	2.35565e+07	1.09778e+07	2.51034e+07	2.07651e+07	2.72077e+07	3.25521e+07	3.2493e+07	2.25354e+07	3.33815e+07	1.13607e+07	2.94184e+07	5.47658e+07	1.90539e+07	1.87596e+07	3.61071e+07	2.22394e+07	5.69185e+07	3.29107e+07	3.57572e+07	2.45177e+07	1.98223e+07	3.84863e+07	2.16637e+07	1.56698e+08	5.79912e+07	5.86282e+07	1.75733e+07	6.10458e+07	4.94032e+07	7.83898e+07	5.33912e+07	5.65848e+07	6.57701e+07	5.14896e+07	7.90474e+06	2.69949e+07	2.57605e+07	5.98262e+07	4.38291e+07	3.29476e+07	4.53061e+07	1.67077e+08	2.5122e+07	4.59513e+07	3.81364e+07	1.45782e+07	3.73128e+07	1.63074e+07	4.30421e+07	1.70656e+07	2.95166e+07	2.12773e+07
A0A075B6J1	A0A075B6J1	LV537_HUMAN	IGLV5-37		1.82376e+06	368058	688966	446517	3.686e+06	286296	1.11132e+06	1.33608e+06	1.43121e+06	361802		245851	219208	848267	774254	1.04522e+06	741389	1.24814e+06	537297	1.74865e+06	2.2614e+06	607954	696238	1.37335e+06	593064	953934	838537	661829	814224	340127	2.16692e+06	1.04799e+06	3.83395e+06	1.20097e+06	1.1033e+06		3.1069e+06	889230	1.87051e+06	1.31787e+06	1.38738e+07	5.60321e+06	674457	316403	2.09201e+06	2.96764e+06	742148	1.74132e+06	435701	915984	1.03844e+06	926431	788066	789312	537496	815744	1.13945e+06	1.05392e+06	1.06706e+06		1.35727e+06
A0A075B6J9	A0A075B6J9	LV218_HUMAN	IGLV2-18		1.40495e+06	854631	456551		505582	694202	652014	629066	683662	814059	655457	851711	635625	1.14739e+06	1.21878e+06	1.2339e+06	661086	839972	391306	3.61741e+06	820043	596653	513503	159908	751991	1.18344e+06	1.01149e+07	953294	681172	533014	807067	1.1848e+06	1.35157e+06	1.47294e+06	626158	292652		1.90098e+06	1.32863e+06	1.29864e+06	2.22731e+06	1.77715e+06	772941	336409	1.10879e+06	1.02747e+06	2.85553e+06	1.20155e+06	450549	503386	3.88337e+06	483318	646404	587872	936484	730566	1.29134e+06	886630	538012	1.32983e+06	504780
A0A075B6K0	A0A075B6K0	LV316_HUMAN	IGLV3-16																																				425703																										
A0A075B6K2	A0A075B6K2	LV312_HUMAN	IGLV3-12			127270		67098.5	280316	731367	362074	270952	181332	683288		245740	196996				184205		183122	558280	248773					776943					60536.4	304737	143616				442306			178267	1.99078e+06		246223		737332		567671	170703		140390	596186	300156	131367	276764	249561	189023	320459	432477	72508.2	234489	79363.9
A0A075B6K4	A0A075B6K0;A0A075B6K4	LV310_HUMAN	IGLV3-10		1.8392e+06	2.36453e+06	1.61898e+06	2.82066e+06	3.31222e+06	2.1138e+06	4.8243e+06	4.82508e+06	2.07411e+06	3.12804e+06	3.39629e+06	530787	2.72229e+06	3.3564e+06	6.61248e+06	2.00646e+06	3.90098e+06	7.36171e+06	1.75391e+06	5.47577e+06	2.60602e+06	1.70745e+06	1.37338e+06	2.68381e+06	1.29231e+06	4.37358e+06	5.30163e+06	3.52446e+06	3.944e+06	1.01795e+06	2.97423e+06	2.15107e+06	3.50031e+06	4.24738e+06	5.42259e+06	1.84451e+06	3.8591e+06	8.81652e+06	1.24321e+06	2.54691e+06	8.54606e+06	2.88902e+06	3.62184e+06	837896	3.52952e+06	5.96902e+06	4.7221e+06	4.00631e+06	1.66952e+06	2.845e+06	5.64307e+06	5.45251e+06	1.2003e+06	4.26726e+06	934516	2.18159e+06	4.71132e+06	1.55436e+06	1.58949e+06	2.99575e+06	1.59631e+06
A0A075B6K5	A0A075B6K5	LV39_HUMAN	IGLV3-9		2.23252e+06	3.33546e+06	1.85684e+06	1.74667e+06	5.0258e+06	8.93257e+06	2.39084e+06	8.46763e+06	2.97092e+06	6.40939e+06	3.51137e+06	1.87586e+06	1.98862e+06	5.33076e+06	3.73394e+06	5.96725e+06	1.40988e+06	5.67497e+06	1.78863e+06	5.15269e+06	6.09728e+06	1.36e+06	1.61386e+06	3.25957e+06	2.03713e+06	4.84251e+06	3.53296e+06	2.34074e+06	3.25947e+06	958732	3.34793e+06	4.77358e+06	6.8359e+06	9.00778e+06	5.028e+06	1.54149e+06	9.59425e+06	5.1767e+06	3.5677e+06	5.23351e+06	1.10711e+07	4.93427e+06	3.91675e+06	1.66796e+06	4.93094e+06	7.82857e+06	4.05527e+06	3.34534e+06	2.10973e+06	4.12707e+06	1.08919e+07	4.33852e+06	6.89351e+06	7.23817e+06	2.62709e+06	3.50078e+06	2.83485e+06	4.10856e+06	1.9085e+06	6.45329e+06	1.06851e+06
A0A075B6K6	A0A075B6K6	LV403_HUMAN	IGLV4-3		862126				191136		29715.5	170415				67372.6									423716										82016.8	1.45892e+06		58234.6	37299.8					101971					480910	99960.9						387362		324496		102274	91094.7	239552			
A0A075B6P5;P01615	P01615;A0A075B6P5	KV228_HUMAN;KVD28_HUMAN	IGKV2-28;IGKV2D-28		3.59064e+07	6.36171e+07	4.38473e+07	3.47794e+07	5.7433e+07	6.82517e+07	7.01891e+07	1.0634e+08	7.54579e+07	7.87209e+07	5.58682e+07	5.81007e+07	3.99475e+07	1.0538e+08	6.66987e+07	6.77784e+07	7.5056e+07	1.15629e+08	3.77602e+07	7.4096e+07	1.00763e+08	3.83392e+07	4.66774e+07	9.22325e+07	5.94501e+07	1.27857e+08	8.20018e+07	5.89677e+07	4.55328e+07	4.77306e+07	5.8689e+07	5.99977e+07	1.63481e+08	2.06373e+08	1.38608e+08	5.08737e+07	1.09785e+08	1.3311e+08	8.26144e+07	1.16733e+08	1.61892e+08	2.62779e+08	8.22157e+07	4.1039e+07	1.15893e+08	8.51033e+07	1.46811e+08	1.27428e+08	5.42901e+07	4.84107e+07	3.70597e+08	9.82551e+07	1.10044e+08	8.55649e+07	4.39378e+07	7.74065e+07	7.99459e+07	5.53582e+07	3.98351e+07	9.93712e+07	5.98277e+07
A0A075B6Q5	A0A075B6Q5	HV364_HUMAN	IGHV3-64			318684	414854	315726	1.44517e+06	246362		1.82709e+06	1.06621e+06	1.80348e+06	348619	318856	354702	714504	3.91302e+06	313065	710713	741031		496024	1.19007e+06	348997	450400	723934		1.00702e+06			435024		510046	577643	1.89684e+06	3.42797e+06	1.83715e+06				1.93423e+06	463558	868909	2.61252e+06	770538	913182	1.17284e+06	1.23776e+06				1.01095e+06	577846	332630	1.29029e+06	1.04203e+06	245915	315567	527080	2.02017e+06	610113	1.66774e+06	
A0A075B6R2	A0A075B6R2	HV404_HUMAN	IGHV4-4		2.63162e+06	4.77369e+06	4.48836e+06	7.40165e+06	1.1584e+07	9.06613e+06	8.54044e+06	2.20779e+07	8.24876e+06	1.41176e+07	1.00859e+07	4.08267e+06	6.3518e+06	1.07067e+07	2.33789e+06	7.20477e+06	7.31382e+06	1.97884e+06	2.29796e+06	9.23526e+06	1.1264e+07	5.98991e+06	5.34344e+06	7.47074e+06	8.10562e+06	1.00382e+07	8.71519e+06	6.71788e+06	787679	5.34838e+06	2.39181e+06	1.08929e+07	1.08092e+07	9.51214e+06	4.39444e+06	2.93047e+06	1.57725e+07	1.15434e+07	9.42292e+06	1.03074e+07	2.60022e+07	2.06707e+07	1.05598e+07	6.63729e+06	4.07876e+06	1.45824e+07	9.99456e+06	1.75643e+06	8.98592e+06	6.60046e+06	2.32465e+07	1.4873e+07	5.28038e+06	1.25913e+07	8.11644e+06	7.08282e+06	1.05807e+07	1.12167e+07	5.79603e+06	1.06888e+06	3.89756e+06
