Cluster label,Disease nodes,SNOMED CT ID,Number of patients
0,Well child (finding),102506008,131
1,"46,XX disorder of sex development (disorder)",890460004,3
1,Virilization of female due to SRY gene translocation (disorder),444058005,1
1,Turner syndrome (disorder),38804009,1
1,Thyrotropin overproduction (disorder),73064001,1
1,Secondary diabetes insipidus (disorder),13196008,1
1,Precocious puberty (disorder),400179000,2
1,Partial growth hormone deficiency (disorder),1.72E+13,6
1,Ovarian failure (disorder),111550004,1
1,Monosomy X (disorder),710008008,1
1,Panhypopituitarism (disorder),32390006,4
1,Hypogonadotropic hypogonadism (disorder),33927004,1
1,Hypogonadism (disorder),48130008,1
1,Growth hormone neurosecretory dysfunction (disorder),237689000,3
1,Growth hormone deficiency (disorder),397827003,13
1,Delayed puberty (disorder),400003000,1
1,Constitutional delay of growth and puberty (disorder),237813007,1
1,Congenital absence of both testes (disorder),371015003,1
1,Amenorrhea (finding),14302001,1
1,Leydig cell hyperplasia of testis (disorder),733652008,1
2,Panniculitis (disorder),22125009,1
2,Vitiligo (disorder),56727007,1
2,Urticaria caused by cold (disorder),74774004,1
2,Systemic sclerosis (disorder),89155008,1
2,Synovitis acne pustulosis hyperostosis osteomyelitis syndrome (disorder),60684003,1
2,Recurrent vesicular dermatitis caused by human herpes simplex virus (disorder),1.09E+15,2
2,Mixed collagen vascular disease (disorder),398049005,2
2,Childhood type dermatomyositis (disorder),1212005,1
2,Episodic urticaria (disorder),402409001,3
2,Cutaneous leishmaniasis (disorder),240637006,1
2,Atopic dermatitis (disorder),24079001,2
2,Alopecia areata (disorder),68225006,1
2,Abscess of skin and/or subcutaneous tissue (disorder),31928004,5
2,Henoch-Schonlein purpura (disorder),191306005,1
3,"Rapid-onset childhood obesity, hypothalamic dysfunction, hypoventilation, autonomic dysregulation syndrome (disorder)",773663004,1
3,Obesity (disorder),414916001,12
3,Nausea (finding),422587007,1
3,Encopresis (finding),302690004,1
3,Hematochezia (finding),405729008,1
4,Immunoglobulin G3 deficiency (disorder),234548000,2
4,Wiskott-Aldrich syndrome (disorder),36070007,1
4,Sickling disorder due to hemoglobin S (disorder),417357006,1
4,Neutropenic disorder (disorder),303011007,1
4,Job's syndrome (disorder),50926003,1
4,Iron deficiency anemia (disorder),87522002,1
4,Immunoglobulin G2 deficiency (disorder),234546001,1
4,Pancytopenia due to IKAROS family zinc finger 1 mutations (disorder),783142006,2
4,Glucose-6-phosphate dehydrogenase deficiency anemia (disorder),62403005,2
4,Evans syndrome (disorder),75331009,1
4,Cyclical neutropenia (disorder),191347008,1
4,Chronic granulomatous disease (disorder),387759001,1
4,Immune thrombocytopenia (disorder),2897005,2
4,Bleeds easily (finding),248251001,5
4,Autoimmune neutropenia (disorder),234425008,1
5,Viral disease (disorder),34014006,1
5,Human immunodeficiency virus infection (disorder),86406008,2
5,Postviral fatigue syndrome (disorder),51771007,2
5,Aspergilloma (disorder),10446001,1
5,Chronic post-COVID-19 syndrome (disorder),1119304009,14
6,Familial Mediterranean fever (disorder),12579009,15
6,Roifman syndrome (disorder),773404000,1
6,Osteogenesis imperfecta type I (disorder),385482004,1
6,Noonan's syndrome (disorder),205824006,2
6,X-linked agammaglobulinemia (disorder),65880007,7
6,Mitochondrial cytopathy (disorder),240096000,1
6,Hypermobility syndrome (disorder),85551004,2
6,Hereditary cavernous hemangioma of brain (disorder),717003001,1
6,Ehlers-Danlos syndrome (disorder),398114001,1
6,Neurofibromatosis type 1 (disorder),92824003,2
6,Common variable agammaglobulinemia (disorder),23238000,4
6,Costello syndrome (disorder),309776008,1
