Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleA06.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				4.90994e+08
A0A075B6H9	A0A075B6H9				2.59731e+06
A0A075B6I0	A0A075B6I0				1.87061e+07
A0A075B6I1	A0A075B6I1				601382
A0A075B6I9	A0A075B6I9				2.5948e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				420108
A0A075B6J9	A0A075B6J9				5.49683e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				3.75931e+06
A0A075B6K5	A0A075B6K5				1.07057e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				1.8847e+07
A0A075B6Q5	A0A075B6Q5				380516
A0A075B6R2	A0A075B6R2				1.07912e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				3.17101e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.67732e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				2.74296e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				6.47267e+06
A0A087WSY6	A0A087WSY6				6.11576e+07
A0A087WSZ0	A0A087WSZ0				505391
A0A087WW87;P01614	P01614;A0A087WW87				440860
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.38435e+08
A0A0A0MS15	A0A0A0MS15				3.15375e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.93116e+06
A0A0A0MT89	A0A0A0MT89				8.36724e+06
A0A0B4J1U7	A0A0B4J1U7				1.70202e+07
A0A0B4J1V0	A0A0B4J1V0				986853
A0A0B4J1V2	A0A0B4J1V2				1.66703e+07
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				7.27961e+07
A0A0B4J1Y8	A0A0B4J1Y8				125021
A0A0B4J1Y9	A0A0B4J1Y9				8.37213e+07
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				2.93255e+06
A0A0C4DH24	A0A0C4DH24				2.60839e+06
A0A0C4DH25	A0A0C4DH25				5.18374e+07
A0A0C4DH31	A0A0C4DH31				2.48941e+06
A0A0C4DH33	A0A0C4DH33				640606
A0A0C4DH34	A0A0C4DH34				1.1129e+07
A0A0C4DH35	A0A0C4DH35				1.69192e+06
A0A0C4DH36	A0A0C4DH36				2.65901e+06
A0A0C4DH38	A0A0C4DH38				1.35614e+07
A0A0C4DH43	A0A0C4DH43				8.67466e+07
A0A0C4DH67	A0A0C4DH67				216008
A0A0G2JS06	A0A0G2JS06				1.01053e+06
A0A0J9YX35	A0A0J9YX35				5.43625e+06
A0A0J9YXX1	A0A0J9YXX1				7.11771e+06
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				5.60619e+08
A1L4H1	A1L4H1;A1L4H1-2				1.06233e+07
A2RU67	A2RU67				457302
A5D6W6	A5D6W6				1.00261e+07
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.31196e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				736581
A6NGN9	A6NGN9				7.4913e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				1.43308e+06
A6NL88	A6NL88				1.40691e+06
A6NLU5	A6NLU5				1.59021e+07
A6NML5	A6NML5				5.50693e+06
A6NMY6;P07355;P07355-2	A6NMY6;P07355;P07355-2				293477
A6NNZ2;P04350;P07437;P68371;Q13509;Q13509-2;Q13885;Q3ZCM7;Q9BUF5;Q9BVA1;Q9H4B7	A6NNZ2;P04350;P07437;P68371;Q13509;Q13885;Q3ZCM7;Q9BUF5;Q9BVA1;Q9H4B7;Q13509-2				509654
A8MTW9	A8MTW9				230807
