Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB01.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.50967e+08
A0A075B6H9	A0A075B6H9				2.71075e+06
A0A075B6I0	A0A075B6I0				1.50999e+07
A0A075B6I1	A0A075B6I1				1.69227e+06
A0A075B6I9	A0A075B6I9				1.59984e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				340730
A0A075B6J9	A0A075B6J9				475195
A0A075B6K4	A0A075B6K0;A0A075B6K4				2.45001e+06
A0A075B6K5	A0A075B6K5				5.71997e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				3.84993e+07
A0A075B6R2	A0A075B6R2				3.47313e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.26814e+07
A0A075B6S2	A0A075B6S2;A2NJV5				6.53623e+07
A0A087WSX0	A0A087WSX0				1.84571e+06
A0A087WSY6	A0A087WSY6				3.89738e+06
A0A087WW87;P01614	P01614;A0A087WW87				248900
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				6.48365e+07
A0A0A0MS15	A0A0A0MS15				9.16147e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				713254
A0A0A0MT89	A0A0A0MT89				3.35705e+06
A0A0B4J1U7	A0A0B4J1U7				2.78088e+07
A0A0B4J1V0	A0A0B4J1V0				9.40941e+07
A0A0B4J1V2	A0A0B4J1V2				4.37233e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				7.06769e+07
A0A0B4J1Y8	A0A0B4J1Y8				108543
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				4.767e+06
A0A0C4DH24	A0A0C4DH24				1.35886e+06
A0A0C4DH25	A0A0C4DH25				1.53066e+07
A0A0C4DH30	A0A0C4DH30				72066.3
A0A0C4DH31	A0A0C4DH31				2.6887e+06
A0A0C4DH33	A0A0C4DH33				148126
A0A0C4DH34	A0A0C4DH34				4.57797e+06
A0A0C4DH35	A0A0C4DH35				1.04786e+06
A0A0C4DH36	A0A0C4DH36				3.6472e+06
A0A0C4DH38	A0A0C4DH38				6.02942e+06
A0A0C4DH43	A0A0C4DH43				3.88191e+07
A0A0C4DH67	A0A0C4DH67				1.51424e+07
A0A0G2JS06	A0A0G2JS06				3.06276e+06
A0A0J9YX35	A0A0J9YX35				3.44693e+06
A0A0J9YXX1	A0A0J9YXX1				1.50886e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.87238e+08
A1L4H1	A1L4H1;A1L4H1-2				2.20426e+06
A2RU67	A2RU67				246339
A5D6W6	A5D6W6				5.1536e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				230588
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				298591
A6NGN9	A6NGN9				2.88372e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				603148
A6NL88	A6NL88				543797
A6NLU5	A6NLU5				6.89936e+06
A6NML5	A6NML5				1.19298e+06
A8MTW9	A8MTW9				1.51048e+06
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				419732
B9A064;P0DOX8	B9A064;P0DOX8				1.03477e+08
C9JVW0	C9JVW0				4.0586e+06
I3L3R5	I3L3R5				500501
O00115;O00115-2	O00115;O00115-2				1.47616e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				1.88886e+07
O00187;O00187-2	O00187;O00187-2				1.45938e+06
O00244	O00244				5.11408e+07
O00264	O00264;O00264-2				3.11957e+06
O00292;O00292-2	O00292;O75610;O00292-2				214164
O00299	O00299				1.05199e+06
O00339;O00339-2	O00339;O00339-2;O00339-3				964567
O00391	O00391;O00391-2				7.88465e+06
O00451	O00451;O00451-2;O00451-3				2.57828e+06
O00461	O00461				3.46997e+06
O00462	O00462				2.26004e+06
O00468-6	O00468-6;O00468-7				5.92722e+06
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9				1.24493e+06
O00533	O00533				1.85733e+06
O00533-2	O00533;O00533-2				7.49093e+07
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				323930
O00567	O00567				134892
O00584	O00584				3.76446e+06
O00754;O00754-2	O00754;O00754-2				928263
O14498	O14498				3.63542e+07
O14514	O14514				777344
O14522;O14522-1	O14522;O14522-1				890184
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				120758
O14594	O14594				1.49588e+07
O14668;O14668-2	O14668;O14668-2				746132
O14672	O14672				3.30936e+06
O14737;O14737-2	O14737;O14737-2				40874.6
O14773	O14773				3.36913e+06
O14786	O14786;O14786-2;O14786-3				4.60386e+06
O14791-2	O14791;O14791-2;O14791-3				1.01977e+07
O14810	O14810;Q6PUV4				160184
O14917;O14917-2	O14917;O14917-2				5.99726e+06
O14960	O14960				268745
O15031	O15031				7.05439e+06
O15041;O15041-2	O15041;O15041-2				340631
O15197;O15197-3	O15197;O15197-3				848159
O15204;O15204-2	O15204;O15204-2				1.14461e+06
O15230	O15230				3.4743e+06
O15232;O15232-2	O15232;O15232-2				1.23142e+06
O15240	O15240				3.96359e+07
O15335	O15335				1.25302e+06
O15354	O15354				1.53027e+07
O15389;Q08ET2	O15389;Q08ET2				1.49463e+06
O15394	O15394;O15394-2				1.53641e+07
O15400;O15400-2	O15400;O15400-2				590320
O15466;O15466-2	O15466;O15466-2				628266
O43155	O43155				226017
O43157	O43157;O43157-2;O43157-3				1.69117e+06
O43173	O43173				708007
O43240	O43240				858304
O43278;O43278-2	O43278;O43278-2				973644
O43291	O43291				1.84902e+06
O43300	O43300				2.9431e+06
O43323	O43323				271849
O43405;O43405-2	O43405;O43405-2				5.55197e+06
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				1.08895e+07
O43504	O43504				448267
O43505	O43505				3.08691e+08
O43508-2	O75888;O43508-2;O75888-2;O75888-4;O75888-5				393609
O43529	O43529				4.08679e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				4.8831e+06
O43567	O43567				1.68046e+06
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				237272
O43827	O43827				3.40179e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				109258
O43866	O43866				3.35942e+06
O43909	O43909				224248
O43916	O43916				506913
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				9.23646e+06
O60242	O60242				523130
O60243	O60243				862371
O60245;O60245-2	O60245;O60245-2				765837
O60279	O60279				8.14146e+06
O60294	O60294				375393
O60330;O60330-2	O60330;O60330-2				58475.2
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				449647
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				3.05857e+06
O60476	O60476				628881
O60512	O60512				787895
O60565	O60565				65707.4
O60568	O60568				1.00464e+06
O60609;O60609-2	O60609;O60609-2				361487
O60613	O60613				391581
O60883	O60883				2.98736e+07
O60888-3	O60888-3				1.80544e+06
O60939	O60939				1.91995e+06
O75051;O75051-2	O75051;O75051-2				109880
O75063	O75063				1.13928e+06
O75071	O75071				4.29231e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				3.90926e+06
O75078	O75078;O75078-2				3.08982e+06
O75083	O75083;O75083-3				1.30839e+06
O75084;Q14332	O75084;Q14332				414388
O75093	O75093				2.0947e+06
O75144;O75144-2	O75144;O75144-2				6.98898e+06
O75173;O75173-2	O75173;O75173-2				3.59106e+06
O75223	O75223				926257
O75326	O75326;O75326-2				1.83868e+07
O75339	O75339				428555
O75347;O75347-2	O75347;O75347-2				575525
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				369595
O75368	O75368				1.84955e+06
O75493	O75493				1.84634e+06
O75503	O75503				1.69933e+06
O75509	O75509				9.80864e+06
O75594	O75594				191882
O75629	O75629				1.15099e+06
O75636;O75636-2	O75636;O75636-2				386773
O75752	O75752				1.15947e+06
O75781;O75781-2	O75781;O75781-2				1.35677e+06
O75787;O75787-2	O75787;O75787-2				2.99401e+06
O75828	O75828				1.59558e+06
O75874	O75874				763034
O75882-2;O75882-3	O75882;O75882-2;O75882-3				5.01738e+06
O75973	O75973				190466
O75976	O75976				590606
O76031	O76031				1.61868e+06
O76061	O76061				1.16593e+06
O76070	O76070				900573
O94760	O94760;O94760-2				3.36172e+06
O94766;O94766-2	O94766;O94766-2				574868
O94769	O94769;O94769-2				3.67076e+06
O94772;O94772-2	O94772;O94772-2				9.4296e+06
O94779;O94779-2	O94779;O94779-2				466780
O94856;O94856-11;O94856-13;O94856-6;O94856-7	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				9.37251e+06
O94898	O94898				498141
O94910	O94910;O94910-2				3.49399e+06
O94919	O94919				1.3723e+07
O94933	O94933				1.47373e+06
O94973;O94973-2	O94973;O94973-2				27902
O94985	O94985				891036
O94985-2	O94985;O94985-2				1.46192e+08
O94991	O94991;O94991-2				2.14743e+06
O95084;O95084-2	O95084;O95084-2				795646
O95157	O95157				1.42094e+06
O95158	O95158				1.07321e+07
O95159	O95159				458236
O95185;O95185-2	O95185;O95185-2				467955
O95196;O95196-2	O95196;O95196-2				3.37726e+06
O95206;O95206-2	O95206;O95206-2				1.44097e+06
O95292	O95292;Q9P0L0;O95292-2;Q9P0L0-2				1.37196e+06
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				543385
O95336	O95336				535738
O95390	O95390				1.48458e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				3.87612e+06
O95445	O95445;O95445-2				1.53671e+07
O95450;O95450-2	O95450;O95450-2				1.17349e+06
O95467	O95467				804165
O95477	O95477				2.40688e+06
O95479;O95479-2	O95479;O95479-2				532069
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				353437
O95497	O95497				610160
O95502	O95502				1.00239e+08
O95633;O95633-2	O95633;O95633-2				1.03838e+06
O95841	O95841				560531
