Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleB10R2.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.40687e+08
A0A075B6H9	A0A075B6H9				1.71729e+07
A0A075B6I0	A0A075B6I0				1.13476e+07
A0A075B6I1	A0A075B6I1				3.27358e+06
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				1.10904e+06
A0A075B6J9	A0A075B6J9				551509
A0A075B6K4	A0A075B6K0;A0A075B6K4				2.37224e+06
A0A075B6K5	A0A075B6K5				1.56232e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.45895e+08
A0A075B6R2	A0A075B6R2				6.27518e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.29316e+07
A0A075B6S2	A0A075B6S2;A2NJV5				9.97895e+07
A0A075B6S5	A0A075B6S5				2.16089e+06
A0A087WSX0	A0A087WSX0				1.40604e+06
A0A087WSY6	A0A087WSY6				1.052e+08
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				6.6471e+07
A0A0A0MS15	A0A0A0MS15				5.23128e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				384455
A0A0A0MT89	A0A0A0MT89				5.85521e+06
A0A0B4J1U7	A0A0B4J1U7				6.51573e+06
A0A0B4J1V0	A0A0B4J1V0				6.98491e+07
A0A0B4J1V2	A0A0B4J1V2				1.01393e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				3.73162e+07
A0A0B4J1Y8	A0A0B4J1Y8				1.00153e+06
A0A0B4J1Y9	A0A0B4J1Y9				961464
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				925874
A0A0C4DH24	A0A0C4DH24				1.57896e+06
A0A0C4DH25	A0A0C4DH25				4.81496e+07
A0A0C4DH33	A0A0C4DH33				350248
A0A0C4DH34	A0A0C4DH34				8.51643e+06
