Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC10.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				3.04137e+08
A0A075B6H9	A0A075B6H9				1.40524e+07
A0A075B6I0	A0A075B6I0				1.36955e+07
A0A075B6I1	A0A075B6I1				1.53929e+06
A0A075B6I9	A0A075B6I9				1.19445e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				750746
A0A075B6J9	A0A075B6J9				7.91586e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				4.39564e+06
A0A075B6K5	A0A075B6K5				4.90462e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				8.30797e+07
A0A075B6Q5	A0A075B6Q5				629525
A0A075B6R2	A0A075B6R2				2.23488e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.57275e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.0363e+08
A0A075B6S5	A0A075B6S5				2.39923e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				741835
A0A087WSY6	A0A087WSY6				1.55489e+07
A0A087WW87;P01614	P01614;A0A087WW87				142397
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.85652e+08
A0A0A0MS15	A0A0A0MS15				1.83365e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				305982
A0A0A0MT89	A0A0A0MT89				9.38639e+06
A0A0B4J1U7	A0A0B4J1U7				3.13838e+07
A0A0B4J1V0	A0A0B4J1V0				8.11352e+07
A0A0B4J1V2	A0A0B4J1V2				4.15082e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				7.32445e+07
A0A0B4J1Y8	A0A0B4J1Y8				349519
A0A0B4J1Y9	A0A0B4J1Y9				1.14902e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				5.6747e+07
A0A0C4DH24	A0A0C4DH24				8.26232e+06
A0A0C4DH25	A0A0C4DH25				2.15387e+07
A0A0C4DH31	A0A0C4DH31				4.5701e+06
A0A0C4DH33	A0A0C4DH33				718345
A0A0C4DH34	A0A0C4DH34				8.4626e+06
A0A0C4DH35	A0A0C4DH35				1.69423e+06
A0A0C4DH36	A0A0C4DH36				4.43971e+06
A0A0C4DH38	A0A0C4DH38				2.93395e+07
A0A0C4DH43	A0A0C4DH43				2.24663e+07
A0A0C4DH67	A0A0C4DH67				2.84713e+07
A0A0J9YX35	A0A0J9YX35				3.39848e+06
A0A0J9YXX1	A0A0J9YXX1				2.9614e+06
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				3.28151e+08
A1L4H1	A1L4H1				1.05184e+06
A2RU67	A2RU67				83997.6
A5D6W6	A5D6W6				5.47076e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				148137
A6NGN9	A6NGN9				1.47694e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				1.0796e+06
A6NL88	A6NL88				175494
A6NLU5	A6NLU5				9.92822e+06
A8MTW9	A8MTW9				1.44662e+06
C9JVW0	C9JVW0				2.56025e+06
O00115;O00115-2	O00115;O00115-2				1.98404e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				1.13817e+07
O00187;O00187-2	O00187;O00187-2				733848
O00244	O00244				142624
O00264	O00264;O15173;O15173-2				2.05052e+06
O00299	O00299				805000
O00339;O00339-2	O00339;O00339-2;O00339-3				958957
O00391	O00391;O00391-2				6.97118e+06
O00451	O00451;O00451-2;O00451-3				2.25014e+06
O00461	O00461				9.96424e+06
O00462	O00462				2.19227e+06
O00468-6	O00468-6;O00468-7				5.70548e+06
O00469;O00469-2;O00469-3	O00469;O00469-2;O00469-3				200365
O00533	O00533;O00533-2				2.10409e+07
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				644946
O00584	O00584				3.21045e+06
O00754;O00754-2	O00754;O00754-2				3.21988e+06
O14498	O14498				2.96616e+07
O14522;O14522-1	O14522;O14522-1				198893
O14594	O14594				6.82687e+06
O14657	O14657				50226.5
O14672	O14672				1.90638e+06
O14745	O14745				14132.3
O14773	O14773				6.17548e+06
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				2.13839e+06
O14791-2	O14791;O14791-2;O14791-3				7.25673e+06
O14793	O14793				770727
O14810	O14810;Q6PUV4				348447
O14917;O14917-2	O14917;O14917-2				5.6478e+06
O14960	O14960				227296
O15031	O15031				3.50054e+06
O15041;O15041-2	O15041;O15041-2				76845.7
O15204;O15204-2	O15204;O15204-2				1.28855e+06
O15230	O15230				7.00664e+06
O15232;O15232-2	O15232;O15232-2				22898.7
O15240	O15240				1.86031e+07
O15335	O15335				1.04208e+06
O15354	O15354				7.39459e+06
O15389;Q08ET2	O15389;Q08ET2				2.09877e+06
O15394	O15394;O15394-2				8.41228e+06
O15466;O15466-2	O15466;O15466-2				211674
O43155	O43155				203940
O43157	O43157				757399
O43173	O43173				408740
O43278;O43278-2	O43278;O43278-2				681035
O43286	O43286				898107
O43291	O43291				1.35225e+06
O43300	O43300				566256
O43323	O43323				233830
O43405;O43405-2	O43405;O43405-2				3.91647e+06
O43491;O43491-2;O43491-3;O43491-4	O43491;O43491-2;O43491-3;O43491-4				28118.8
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-4;O43493-7				7.7829e+06
O43505	O43505				2.35048e+08
O43508-2	O75888;O43508-2;O75888-2;O75888-4;O75888-5				295010
O43529	O43529				1.64207e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				2.49624e+06
O43567	O43567				1.74717e+06
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				329645
O43827	O43827				3.69741e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				150151
O43854;O43854-2	O43854;O43854-2				150894
O43866	O43866				1.98058e+06
O43897;O43897-2	O43897;O43897-2				380536
O43916	O43916				53340.8
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				3.02742e+06
O60242	O60242				432686
O60243	O60243				240873
O60245;O60245-2	O60245;O60245-2				309595
O60279	O60279				4.36658e+06
O60294	O60294				1.88659e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				197570
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				1.73457e+06
O60476	O60476				481749
O60512;O60512-2	O60512;O60512-2				177897
O60565	O60565				205336
O60568	O60568				1.43607e+06
O60609;O60609-2	O60609;O60609-2				152609
O60883	O60883				1.35883e+07
O60888-3	O60888;O60888-2;O60888-3				3.86977e+06
O60939	O60939				475570
O75063	O75063				561420
O75071	O75071				2.40859e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				2.52943e+06
O75078	O75078;O75078-2				1.66447e+06
O75083	O75083;O75083-3				633199
O75084;Q14332	O75084;Q14332				241532
O75093	O75093				1.6632e+06
O75144;O75144-2	O75144;O75144-2				3.2468e+06
O75173;O75173-2	O75173;O75173-2				2.49448e+06
O75223	O75223				126023
O75326	O75326;O75326-2				1.20673e+07
O75339	O75339				85462.4
O75340;O75340-2	O75340;O75340-2				81173.2
O75347	O75347;O75347-2				3.64037e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				123742
O75368	O75368				1.30914e+06
O75487	O75487;O75487-2				120391
O75493	O75493				1.83186e+06
O75503	O75503				1.92756e+06
O75509	O75509				5.37895e+06
O75594	O75594				89139.7
O75629	O75629				230499
O75636;O75636-2	O75636;O75636-2				998695
O75752	O75752				1.00639e+06
O75781;O75781-2	O75781;O75781-2				579129
O75787;O75787-2	O75787;O75787-2				2.04837e+06
O75874	O75874				446229
O75882-2;O75882-3	O75882;O75882-2;O75882-3				4.28529e+06
O75973	O75973				135822
O75976	O75976				398807
O76031	O76031				1.50135e+06
O76061	O76061				765528
O76070	O76070				170907
O94760	O94760;O94760-2				2.00321e+06
O94766;O94766-2	O94766;O94766-2				861343
O94769	O94769;O94769-2				3.40847e+06
O94772;O94772-2	O94772;O94772-2				3.23062e+06
O94779;O94779-2;O94779-4	O94779;O94779-2;O94779-4				258909
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				6.24646e+06
O94898	O94898				337739
O94910;O94910-2	O94910;O94910-2				1.48039e+06
O94919	O94919				1.07094e+07
O94933	O94933				347950
O94985	O94985				1.08126e+06
O94985-2	O94985;O94985-2				4.64717e+07
O94991	O94991;O94991-2				780154
O95084;O95084-2	O95084;O95084-2				252903
O95157	O95157				231302
O95158	O95158				5.75685e+06
O95159	O95159				120779
O95185;O95185-2	O95185;O95185-2				764876
O95196;O95196-2	O95196;O95196-2				1.93308e+06
O95206;O95206-2	O95206;O95206-2				1.4419e+06
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				357411
O95390	O95390				331225
