Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleD07.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				4.20129e+08
A0A075B6H9	A0A075B6H9				7.92418e+06
A0A075B6I0	A0A075B6I0				1.41005e+07
A0A075B6I1	A0A075B6I1				2.93483e+06
A0A075B6I9	A0A075B6I9				1.37182e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				738671
A0A075B6J9	A0A075B6J9				648246
A0A075B6K4	A0A075B6K0;A0A075B6K4				2.07646e+06
A0A075B6K5	A0A075B6K5				5.30516e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.22003e+08
A0A075B6Q5	A0A075B6Q5				2.95414e+06
A0A075B6R2	A0A075B6R2				1.32241e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.76034e+07
A0A075B6S2	A0A075B6S2;A2NJV5				9.23182e+07
A0A075B6S5	A0A075B6S5				925964
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.57952e+06
A0A087WSY4	A0A087WSY4				1.19771e+07
A0A087WSY6	A0A087WSY6				6.93254e+07
A0A087WW87;P01614	P01614;A0A087WW87				327029
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.37377e+08
A0A0A0MS15	A0A0A0MS15				1.12696e+07
A0A0A0MT89	A0A0A0MT89				3.92559e+06
A0A0B4J1U7	A0A0B4J1U7				1.42579e+07
A0A0B4J1V0	A0A0B4J1V0				621085
A0A0B4J1V2	A0A0B4J1V2				4.99457e+06
A0A0B4J1V6	A0A0B4J1V6				1.34752e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				3.47098e+07
A0A0B4J1Y8	A0A0B4J1Y8				1.25343e+06
A0A0B4J1Y9	A0A0B4J1Y9				5.75571e+07
A0A0C4DH24	A0A0C4DH24				2.30111e+06
A0A0C4DH25	A0A0C4DH25				3.6232e+07
A0A0C4DH31	A0A0C4DH31				1.9109e+06
A0A0C4DH33	A0A0C4DH33				175351
A0A0C4DH34	A0A0C4DH34				8.7016e+06
A0A0C4DH35	A0A0C4DH35				1.70107e+06
A0A0C4DH36	A0A0C4DH36				5.29445e+06
A0A0C4DH38	A0A0C4DH38				1.0241e+07
A0A0C4DH43	A0A0C4DH43				7.79202e+06
A0A0C4DH67	A0A0C4DH67				7.1845e+06
A0A0C4DH72	P01599;A0A0C4DH72				1.78066e+07
A0A0J9YX35	A0A0J9YX35				3.50607e+06
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				1.00644e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				2.56769e+08
A1L4H1	A1L4H1				2.26912e+06
A2RU67	A2RU67				460267
A5D6W6	A5D6W6				3.63677e+07
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.61283e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				579693
A6NGN9	A6NGN9				9.44449e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				1.35374e+06
A6NL88	A6NL88				1.17423e+06
A6NLU5	A6NLU5				4.12484e+07
A6NML5	A6NML5				3.86172e+06
