Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleE03.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				8.68905e+07
A0A075B6H9	A0A075B6H9				1.30422e+07
A0A075B6I0	A0A075B6I0				2.43607e+07
A0A075B6I1	A0A075B6I1				198527
A0A075B6I9	A0A075B6I9				2.1562e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				941759
A0A075B6J9	A0A075B6J9				313795
A0A075B6K4	A0A075B6K0;A0A075B6K4				4.9331e+06
A0A075B6K5	A0A075B6K5				6.58655e+06
A0A075B6K6	A0A075B6K6				338913
A0A075B6P5;P01615	P01615;A0A075B6P5				1.16921e+08
A0A075B6Q5	A0A075B6Q5				661619
A0A075B6R2	A0A075B6R2				1.26056e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.77877e+07
A0A075B6S2	A0A075B6S2;A2NJV5				8.25238e+07
A0A075B6S5	A0A075B6S5				1.78061e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				2.86883e+06
A0A087WSY6	A0A087WSY6				1.44387e+07
A0A087WW87;P01614	P01614;A0A087WW87				238054
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.65667e+08
A0A0A0MS15	A0A0A0MS15				3.50002e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				304344
A0A0A0MT89	A0A0A0MT89				7.89071e+06
A0A0B4J1U7	A0A0B4J1U7				1.28156e+07
A0A0B4J1V0	A0A0B4J1V0				2.0722e+07
A0A0B4J1V2	A0A0B4J1V2				4.30402e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				5.64285e+07
A0A0B4J1Y9	A0A0B4J1Y9				1.10056e+06
A0A0C4DH24	A0A0C4DH24				2.4224e+06
A0A0C4DH25	A0A0C4DH25				5.48925e+07
A0A0C4DH29	A0A0C4DH29				51966
A0A0C4DH30	A0A0C4DH30				97088.8
A0A0C4DH31	A0A0C4DH31				448683
A0A0C4DH33	A0A0C4DH33				400003
A0A0C4DH34	A0A0C4DH34				2.96712e+06
A0A0C4DH35	A0A0C4DH35				1.49951e+06
A0A0C4DH36	A0A0C4DH36				2.86902e+06
A0A0C4DH38	A0A0C4DH38				1.01838e+07
A0A0C4DH43	A0A0C4DH43				1.21185e+07
A0A0C4DH67	A0A0C4DH67				3.05791e+07
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				2.06515e+07
A0A0J9YX35	A0A0J9YX35				4.23869e+06
A0A0J9YXX1	A0A0J9YXX1				5.67803e+06
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				3.03922e+08
A1L4H1	A1L4H1				951556
A2RU67	A2RU67				206990
A5D6W6	A5D6W6				1.37266e+07
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				452455
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				144981
A6NGN9	A6NGN9				3.15395e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				1.07887e+06
A6NL88	A6NL88				497145
A6NLU5	A6NLU5				5.12899e+06
A6NML5	A6NML5				2.57506e+06
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				926969
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				94126.2
C9JVW0	C9JVW0				4.91927e+06
I3L3R5	I3L3R5				346800
O00115;O00115-2	O00115;O00115-2				2.60463e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				3.78184e+07
O00187;O00187-2	O00187;O00187-2				926952
O00244	O00244				260363
O00264	O00264;O15173;O15173-2				2.51184e+06
O00292;O00292-2	O00292;O75610;O00292-2				266341
O00299	O00299				522186
O00339;O00339-2	O00339;O00339-2;O00339-3				956613
O00391	O00391;O00391-2				6.93483e+06
O00451	O00451;O00451-2;O00451-3				2.93525e+06
O00461	O00461				2.60782e+06
O00462	O00462				7.52942e+06
O00468-6	O00468-6;O00468-7				8.63549e+06
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9				299813
O00533	O00533;O00533-2				3.15832e+07
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				395038
O00584	O00584				5.43847e+06
O00754;O00754-2	O00754;O00754-2				668900
O14498	O14498				1.99087e+07
O14514	O14514				1.02522e+06
O14522;O14522-1	O14522;O14522-1				234794
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				41542.7
O14558	O14558				432538
O14594	O14594				1.18338e+07
O14657	O14657				77127.1
O14668;O14668-2	O14668;O14668-2				535705
O14672	O14672				4.28921e+06
O14773	O14773				4.69913e+06
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				2.91245e+06
O14791-2	O14791;O14791-2;O14791-3				2.42729e+06
O14810;Q6PUV4	O14810;Q6PUV4				485400
O14917;O14917-2	O14917;O14917-2				1.28821e+06
O14960	O14960				494114
O15031	O15031				4.60953e+06
O15041;O15041-2	O15041;O15041-2				84518.3
O15204;O15204-2	O15204;O15204-2				1.03799e+06
O15230	O15230				1.04219e+07
O15240	O15240				5.94192e+07
O15335	O15335				2.40558e+06
O15354	O15354				1.28158e+07
O15389;Q08ET2	O15389;Q08ET2				4.51476e+06
O15394	O15394;O15394-2				1.12172e+07
O15400;O15400-2	O15400;O15400-2				441690
O15466;O15466-2	O15466;O15466-2				426293
O15540;O15540-2	O15540;O15540-2				1.32448e+06
O43155	O43155				180254
O43157	O43157;O43157-2;O43157-3				891289
O43173	O43173				1.38761e+06
O43278;O43278-2	O43278;O43278-2				1.4123e+06
O43286	O43286				879791
O43291	O43291				2.58634e+06
O43300	O43300				2.49734e+06
O43405;O43405-2	O43405;O43405-2				6.96844e+06
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				1.08962e+07
O43505	O43505				2.98677e+08
O43508-2	O75888;O43508-2;O75888-2;O75888-4;O75888-5				529022
O43529	O43529				3.2934e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				4.03666e+06
O43567	O43567				1.44347e+06
O43736;O43736-2	O43736;O43736-2				55858.8
O43827	O43827				4.32895e+06
O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				102933
O43854;O43854-2	O43854;O43854-2				200818
O43866	O43866				1.75702e+06
O43916	O43916				164940
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				5.56162e+06
O60242	O60242				580120
O60243	O60243				490395
O60245;O60245-2	O60245;O60245-2				1.0924e+06
O60279	O60279				6.60344e+06
O60330;O60330-2	O60330;Q9Y5G5;Q9Y5G8;Q9Y5G9;O60330-2;Q9Y5G5-2;Q9Y5G8-2;Q9Y5G9-2				697520
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				549906
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				2.83002e+06
O60476	O60476				763474
O60512	O60512				393601
O60568	O60568				4.59922e+06
O60613	O60613				332748
O60883	O60883				2.71675e+07
O60888;O60888-2;O60888-3	O60888;O60888-2;O60888-3				6.48604e+06
O60939	O60939				911008
O75051;O75051-2	O75051;O75051-2				425368
O75063	O75063				1.84299e+06
O75071	O75071				4.26333e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				3.30985e+06
O75078	O75078;O75078-2				2.19465e+06
O75083	O75083;O75083-3				836720
O75084;Q14332	O75084;Q14332				352831
O75144;O75144-2	O75144;O75144-2				4.2006e+06
O75173;O75173-2	O75173;O75173-2				1.97961e+06
O75223	O75223				1.72627e+06
O75326	O75326;O75326-2				1.75522e+07
O75339	O75339				613803
O75347;O75347-2	O75347;O75347-2				251935
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				406163
O75368	O75368				1.12182e+06
O75487	O75487;O75487-2				452723
O75493	O75493				1.78047e+06
O75503	O75503				2.07223e+06
O75509	O75509				5.63853e+06
O75629	O75629				1.43792e+06
O75636;O75636-2	O75636;O75636-2				159860
O75711	O75711				2.06585e+06
O75752	O75752				1.2439e+06
O75781;O75781-2	O75781;O75781-2				918550
O75787;O75787-2	O75787;O75787-2				2.47859e+06
O75874	O75874				71499.4
O75882-2;O75882-3	O75882;O75882-2;O75882-3				5.17608e+06
O75973	O75973				265292
O75976	O75976				652008
O76061	O76061				1.10158e+06
O76070	O76070				329422
O94760	O94760;O94760-2				2.70393e+06
O94766;O94766-2	O94766;O94766-2				405604
O94769	O94769;O94769-2				4.77094e+06
O94772;O94772-2	O94772;O94772-2				1.07558e+07
