Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampled09.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				4.83525e+08
A0A075B6H9	A0A075B6H9				2.24257e+07
A0A075B6I0	A0A075B6I0				1.82877e+07
A0A075B6I1	A0A075B6I1				1.77444e+07
A0A075B6I6;P01703	P01703;A0A075B6I6				6.00245e+06
A0A075B6I9	A0A075B6I9				7.1352e+07
A0A075B6J1	A0A075B6J1				8.27229e+06
A0A075B6J9	A0A075B6J9				1.25262e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				9.21538e+06
A0A075B6K5	A0A075B6K5				1.83346e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				8.01456e+07
A0A075B6Q5	A0A075B6Q5				1.8854e+06
A0A075B6R2	A0A075B6R2				1.96491e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				5.27125e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.14189e+08
A0A087WSX0	A0A087WSX0;A0A0G2JS06				2.66784e+06
A0A087WSY6	A0A087WSY6				2.17006e+08
A0A087WW87;P01614	P01614;A0A087WW87				792268
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				5.01532e+08
A0A0A0MS15	A0A0A0MS15				1.5388e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				4.53477e+06
A0A0A0MT89	A0A0A0MT89				2.59862e+07
A0A0B4J1U7	A0A0B4J1U7				3.17706e+07
A0A0B4J1V0	A0A0B4J1V0				2.93992e+08
A0A0B4J1V2	A0A0B4J1V2				1.1444e+07
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				2.82489e+08
A0A0B4J1Y8	A0A0B4J1Y8				8.98325e+06
A0A0B4J1Y9	A0A0B4J1Y9				957766
A0A0C4DH24	A0A0C4DH24				3.53432e+06
A0A0C4DH25	A0A0C4DH25				2.50735e+07
A0A0C4DH30	A0A0C4DH30				1.0487e+06
A0A0C4DH31	A0A0C4DH31				2.57722e+07
A0A0C4DH33	A0A0C4DH33				822794
A0A0C4DH34	A0A0C4DH34				1.31398e+07
A0A0C4DH35	A0A0C4DH35				1.74367e+06
