Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_A6_CSF_1081-12.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.11861e+08
A0A075B6H9	A0A075B6H9				9.4277e+06
A0A075B6I0	A0A075B6I0				4.26533e+07
A0A075B6I1	A0A075B6I1				4.6136e+06
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				731114
A0A075B6J9	A0A075B6J9				2.24884e+07
A0A075B6K4	A0A075B6K0;A0A075B6K4				2.77709e+06
A0A075B6K5	A0A075B6K5				6.15818e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				4.93031e+07
A0A075B6Q5	A0A075B6Q5				2.19858e+06
A0A075B6R2	A0A075B6R2				1.74665e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.07015e+07
A0A075B6S2	A0A075B6S2;A2NJV5				9.96683e+07
A0A075B6S5	A0A075B6S5				2.19442e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				4.02088e+06
A0A087WSY4	A0A087WSY4				3.70862e+06
A0A087WSY6	A0A087WSY6				8.28546e+07
A0A087WW87;P01614	P01614;A0A087WW87				188296
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				7.54779e+07
A0A0A0MS15	A0A0A0MS15				1.33727e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				148224
A0A0A0MT89	A0A0A0MT89				6.95206e+06
A0A0B4J1U7	A0A0B4J1U7				2.02692e+07
A0A0B4J1V0	A0A0B4J1V0				8.55491e+07
A0A0B4J1V2	A0A0B4J1V2				3.45964e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				7.58127e+07
A0A0B4J1Y8	A0A0B4J1Y8				3.54894e+06
A0A0B4J1Y9	A0A0B4J1Y9				4.59353e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				241423
A0A0C4DH24	A0A0C4DH24				2.94431e+06
A0A0C4DH25	A0A0C4DH25				1.2537e+07
A0A0C4DH31	A0A0C4DH31				509100
A0A0C4DH33	A0A0C4DH33				478078
A0A0C4DH34	A0A0C4DH34				9.3539e+06
A0A0C4DH35	A0A0C4DH35				1.16061e+06
A0A0C4DH36	A0A0C4DH36				4.19591e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				2.42369e+07
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				2.26072e+07
A0A0C4DH43	A0A0C4DH43				7.14824e+06
A0A0C4DH67	A0A0C4DH67				2.85899e+07
A0A0C4DH72	P01599;A0A0C4DH72				1.47677e+07
A0A0G2JS06	A0A0G2JS06				659899
A0A0J9YX35	A0A0J9YX35				9.24321e+06
A0A0J9YXX1	A0A0J9YXX1				1.40673e+07
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				164940
A0M8Q6	P0CG04;P0DOY2;A0M8Q6;P0CF74;B9A064;P0DOX8				4.30993e+08
A1L4H1	A1L4H1				1.9344e+06
A2RU67	A2RU67				202088
A5D6W6	A5D6W6				1.46828e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.30403e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				327012
A6NGN9	A6NGN9				5.3162e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				277215
A6NKN8	A6NKN8				72140.2
A6NL88	A6NL88				1.0093e+06
A6NLU5	A6NLU5				9.71534e+06
A6NML5	A6NML5				3.46402e+06
