Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_A7_CSF_531-12_column_clog_repeat.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				3.0653e+08
A0A075B6H9	A0A075B6H9				1.85285e+07
A0A075B6I0	A0A075B6I0				4.12363e+07
A0A075B6I1	A0A075B6I1				1.02984e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				1.22194e+06
A0A075B6J9	A0A075B6J9				1.70922e+06
A0A075B6K2	A0A075B6K2				685329
A0A075B6K4	A0A075B6K0;A0A075B6K4				8.231e+06
A0A075B6K5	A0A075B6K5				1.61182e+07
A0A075B6K6	A0A075B6K6				1.62368e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				5.75304e+07
A0A075B6R2	A0A075B6R2				1.27096e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.77603e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.32664e+08
A0A075B6S5	A0A075B6S5				2.01605e+06
A0A075B6S6	A0A075B6S6				696603
A0A087WSX0	A0A087WSX0;A0A0G2JS06				8.46395e+06
A0A087WSY4	A0A087WSY4				1.02395e+07
A0A087WSY6	A0A087WSY6				2.13322e+08
A0A087WW87;P01614	P01614;A0A087WW87				154296
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.84637e+08
A0A0A0MS15	A0A0A0MS15				824118
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				513200
A0A0A0MT89	A0A0A0MT89				1.65547e+06
A0A0B4J1U7	A0A0B4J1U7				2.75399e+07
A0A0B4J1V0	A0A0B4J1V0				1.98484e+08
A0A0B4J1V2	A0A0B4J1V2				5.35924e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				8.08465e+07
A0A0B4J1Y8	A0A0B4J1Y8				1.17618e+07
A0A0B4J1Y9	A0A0B4J1Y9				1.58304e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				174046
A0A0C4DH24	A0A0C4DH24				6.01723e+06
A0A0C4DH25	A0A0C4DH25				1.76167e+07
A0A0C4DH33	A0A0C4DH33				964346
A0A0C4DH34	A0A0C4DH34				1.25656e+07
A0A0C4DH35	A0A0C4DH35				1.9532e+06
A0A0C4DH36	A0A0C4DH36				2.7369e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				1.65459e+08
A0A0C4DH39	A0A0C4DH39				381777
A0A0C4DH43	A0A0C4DH43				1.39098e+07
A0A0C4DH67	A0A0C4DH67				1.98929e+07
A0A0C4DH72	P01599;A0A0C4DH72				3.5003e+07
A0A0G2JMI3	A0A0G2JMI3				2.33162e+06
A0A0J9YX35	A0A0J9YX35				6.872e+06
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				443215
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				3.87896e+08
A1L4H1	A1L4H1				3.39926e+06
A5D6W6	A5D6W6				2.87656e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.61947e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				254882
A6NGN9	A6NGN9				7.41538e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				5.70968e+06
A6NL88	A6NL88				1.93636e+06
A6NLU5	A6NLU5				1.16254e+07
A6NML5	A6NML5				3.83733e+06
A8MTJ3;P04899;P04899-4;P08754;P11488;P19087;P63096	A8MTJ3;P04899;P08754;P09471;P11488;P19087;P38405;P63092;P63096;Q5JWF2;P63092-2;P04899-4;P63092-3;P63092-4;Q5JWF2-2;P09471-2;P38405-2				384290
A8MTW9	A8MTW9				762639
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				284823
C9JVW0	C9JVW0				5.04238e+06
E2RYF7	E2RYF7				3.05707e+06
I3L3R5	I3L3R5				260894
O00115;O00115-2	O00115;O00115-2				4.14185e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				2.58748e+07
O00187;O00187-2	O00187;O00187-2				1.72987e+06
O00244	O00244				668741
O00264	O00264;O00264-2				1.42402e+08
O00292;O00292-2	O00292;O75610;O00292-2				1.83489e+06
O00299	O00299				1.11585e+06
O00339;O00339-2	O00339;O00339-2;O00339-3				2.61747e+06
O00391	O00391;O00391-2				2.0803e+07
O00451	O00451;O00451-2;O00451-3				9.24425e+06
O00461	O00461				9.69806e+06
O00462	O00462				1.06109e+07
O00468-6	O00468-6;O00468-7				1.69707e+07
O00469;O00469-2;O00469-3	O00469;O00469-2;O00469-3				292480
O00533	O00533				3.7407e+06
O00533-2	O00533;O00533-2				1.62766e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				1.32541e+06
O00567	O00567				181637
O00584	O00584				1.35973e+07
O00754;O00754-2	O00754;O00754-2				2.35283e+06
O14498	O14498				5.93165e+07
O14514	O14514				2.62776e+06
O14522;O14522-1	O14522;O14522-1				1.49343e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				325632
O14594	O14594				9.53276e+07
O14657	O14657				78069.5
O14668	O14668				1.48582e+06
O14672	O14672				2.86961e+06
O14737;O14737-2	O14737;O14737-2				99878.9
O14745	O14745;O14745-2				376772
O14773	O14773				1.16448e+07
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				6.30658e+06
O14791-2	O14791;O14791-2;O14791-3				1.90708e+07
O14793	O14793				1.94591e+06
O14917;O14917-2	O14917;O14917-2				3.39986e+06
O15031	O15031				2.94912e+07
O15041;O15041-2	O15041;O15041-2				193979
O15197;O15197-3	O15197;O15197-3				3.56848e+06
O15204;O15204-2	O15204;O15204-2				2.23996e+06
O15230	O15230				1.81124e+06
O15232;O15232-2	O15232;O15232-2				2.13846e+06
O15240	O15240				8.12754e+07
O15335	O15335				3.13171e+06
O15354	O15354				1.6049e+07
O15394	O15394;O15394-2				2.58556e+07
O15400;O15400-2	O15400;O15400-2				1.26421e+06
O15466;O15466-2	O15466;O15466-2				996140
O15540;O15540-2	O15540;O15540-2				3.37144e+06
O43155	O43155				349455
O43157	O43157;O43157-2;O43157-3				5.75629e+06
O43173	O43173				4.04375e+06
O43240	O43240				1.08688e+06
O43278;O43278-2	O43278;O43278-2				3.92189e+06
O43286	O43286				66738.1
O43291	O43291				4.15897e+06
O43300	O43300				2.05225e+06
O43323	O43323				933203
O43405	O43405;O43405-2				2.87247e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				2.36e+07
O43505	O43505				4.79826e+08
O43508	O43508				770820
