Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_B3_CSF_545-14.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.3483e+08
A0A075B6H9	A0A075B6H9				4.9782e+07
A0A075B6I0	A0A075B6I0				2.62814e+07
A0A075B6I1	A0A075B6I1				1.1595e+07
A0A075B6I9	A0A075B6I9				8.7105e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				3.24586e+06
A0A075B6J9	A0A075B6J9				4.96551e+06
A0A075B6K2	A0A075B6K2				1.14656e+06
A0A075B6K5	A0A075B6K5				1.43242e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				6.44951e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				4.55537e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.70906e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				3.53471e+07
A0A075B6S6	A0A075B6S6				1.26867e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				8.86166e+06
A0A087WSY4	A0A087WSY4				1.40381e+07
A0A087WSY6	A0A087WSY6				1.71007e+08
A0A087WSZ0	A0A087WSZ0				3.13e+06
A0A087WW87;P01614	P01614;A0A087WW87				385535
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.60133e+08
A0A0A0MS15	A0A0A0MS15				3.5869e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				3.4032e+06
A0A0A0MT89	A0A0A0MT89				9.88836e+06
A0A0B4J1U7	A0A0B4J1U7				1.45637e+07
A0A0B4J1V0	A0A0B4J1V0				1.16053e+08
A0A0B4J1V2	A0A0B4J1V2				7.82486e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.20866e+08
A0A0B4J1Y8	A0A0B4J1Y8				3.3677e+07
A0A0B4J1Y9	A0A0B4J1Y9				5.16329e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				1.2718e+07
A0A0B4J2H0	A0A0B4J2H0				684607
A0A0C4DH24	A0A0C4DH24				8.2762e+06
