Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_C6_CSF_841-14.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				5.4676e+08
A0A075B6H9	A0A075B6H9				2.12625e+07
A0A075B6I0	A0A075B6I0				2.50783e+07
A0A075B6I1	A0A075B6I1				6.12938e+06
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				1.5514e+06
A0A075B6J9	A0A075B6J9				4.78306e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				2.4622e+06
A0A075B6K5	A0A075B6K5				6.86682e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				2.54262e+08
A0A075B6Q5	A0A075B6Q5				4.07786e+06
A0A075B6R2	A0A075B6R2				8.6196e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				3.39654e+07
A0A075B6S2	A0A075B6S2;A2NJV5				3.38004e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				1.97967e+07
A0A075B6S6	A0A075B6S6				907148
A0A087WSX0	A0A087WSX0				1.07298e+07
A0A087WSY6	A0A087WSY6				1.24522e+08
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				3.9607e+08
A0A0A0MS15	A0A0A0MS15				4.65314e+06
A0A0A0MT36	A0A0A0MT36;A0A0C4DH26				4.31917e+06
A0A0A0MT89	A0A0A0MT89				5.04612e+06
A0A0B4J1U7	A0A0B4J1U7				6.76941e+07
A0A0B4J1V0	A0A0B4J1V0				2.01306e+08
A0A0B4J1V2	A0A0B4J1V2				5.58757e+06
A0A0B4J1V6	A0A0B4J1V6				1.46677e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				8.23027e+07
A0A0B4J1Y8	A0A0B4J1Y8				9.67844e+06
A0A0B4J1Y9	A0A0B4J1Y9				3.32507e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				4.44735e+06
A0A0C4DH25	A0A0C4DH25				3.12124e+07
A0A0C4DH29	A0A0C4DH29				91162.9
A0A0C4DH31	A0A0C4DH31				1.31684e+06
A0A0C4DH33	A0A0C4DH33				3.01019e+06
A0A0C4DH34	A0A0C4DH34				2.18591e+07
A0A0C4DH35	A0A0C4DH35				1.31716e+06
A0A0C4DH36	A0A0C4DH36				7.77325e+06
A0A0C4DH38	A0A0C4DH38				9.22302e+07
A0A0C4DH43	A0A0C4DH43				1.09123e+07
A0A0C4DH67	A0A0C4DH67				4.36362e+06
A0A0G2JS06	A0A0G2JS06				1.1386e+07
A0A0J9YX35	A0A0J9YX35				7.17066e+06
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				4.80069e+07
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				525156
A0M8Q6	P0CG04;P0DOY2;A0M8Q6;P0CF74;B9A064;P0DOX8				3.37212e+08
A1L4H1	A1L4H1				2.98524e+06
A5D6W6	A5D6W6				1.04823e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.29904e+06
A6NGN9	A6NGN9				6.10236e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				3.21002e+06
A6NL88	A6NL88				3.77713e+06
A6NLU5	A6NLU5				1.85223e+07
A6NML5	A6NML5				2.50926e+06
A8MTW9	A8MTW9				1.5425e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				372697
C9JVW0	C9JVW0				3.5906e+06
E2RYF7	E2RYF7				2.0213e+06
I3L3R5	I3L3R5				1.6082e+06
O00115;O00115-2	O00115;O00115-2				4.95631e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				4.23495e+07
O00187;O00187-2	O00187;O00187-2				1.95525e+06
O00244	O00244				1.07142e+06
O00264	O00264;O00264-2				3.23205e+06
O00292;O00292-2	O00292;O75610;O00292-2				548336
O00299	O00299				1.3989e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				1.79767e+06
O00391	O00391;O00391-2				1.83163e+07
O00451	O00451;O00451-2;O00451-3				1.83785e+07
O00461	O00461				6.75476e+06
O00462	O00462				9.41361e+06
O00468-6	O00468-6;O00468-7				1.98997e+07
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9				79401.6
O00533	O00533				8.50282e+06
O00533-2	O00533;O00533-2				2.31175e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				1.04126e+06
O00567	O00567				274308
O00584	O00584				1.9152e+07
O00587;O00587-2	O00587;O00587-2				93149.6
O00754;O00754-2	O00754;O00754-2				2.46017e+06
O14498	O14498				6.36299e+07
O14514	O14514				2.64722e+06
