Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_E4_CSF_761.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.1589e+08
A0A075B6H9	A0A075B6H9				6.34221e+06
A0A075B6I0	A0A075B6I0				2.70094e+07
A0A075B6I1	A0A075B6I1				3.39259e+06
A0A075B6I9	A0A075B6I9				1.00249e+07
A0A075B6J1	A0A075B6J1				3.86227e+06
A0A075B6J9	A0A075B6J9				2.01258e+07
A0A075B6K2	A0A075B6K2				358172
A0A075B6K4	A0A075B6K0;A0A075B6K4				4.7496e+06
A0A075B6K5	P01715;P01717;P01718;P80748;A0A075B6K0;A0A075B6K2;A0A075B6K4;A0A075B6K5				2.8437e+07
A0A075B6K6	A0A075B6K6				1.03974e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.67831e+08
A0A075B6R2	A0A075B6R2				9.59214e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.82147e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.64415e+08
A0A075B6S5	A0A075B6S5				3.20907e+06
A0A075B6S6	A0A075B6S6				605308
A0A087WSX0	A0A087WSX0;A0A0G2JS06				4.21646e+06
A0A087WSY4	A0A087WSY4				1.05891e+07
A0A087WSY6	A0A087WSY6				9.09209e+07
A0A087WSZ0	A0A087WSZ0				1.70581e+06
A0A087WW87;P01614	P01614;A0A087WW87				140528
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.43549e+08
A0A0A0MS15	A0A0A0MS15				3.64563e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.16152e+06
A0A0A0MT89	A0A0A0MT89				5.46336e+06
A0A0B4J1U7	A0A0B4J1U7				9.58882e+06
A0A0B4J1V0	A0A0B4J1V0				4.5829e+07
A0A0B4J1V2	A0A0B4J1V2				2.72525e+06
A0A0B4J1V6	A0A0B4J1V6				741782
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				9.51053e+07
A0A0B4J1Y8	A0A0B4J1Y8				1.21107e+06
A0A0B4J1Y9	A0A0B4J1Y9				1.37906e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				3.05291e+06
A0A0B4J2H0	A0A0B4J2H0				310980
A0A0C4DH24	A0A0C4DH24				5.82698e+06
A0A0C4DH25	A0A0C4DH25				8.42619e+06
A0A0C4DH29	A0A0C4DH29				129799
A0A0C4DH31	A0A0C4DH31				1.64176e+06
A0A0C4DH33	A0A0C4DH33				767679
A0A0C4DH34	A0A0C4DH34				7.57237e+06
A0A0C4DH35	A0A0C4DH35				718349
A0A0C4DH36	A0A0C4DH36				4.12945e+06
A0A0C4DH38	A0A0C4DH38				2.1574e+07
A0A0C4DH43	A0A0C4DH43				7.74282e+06
A0A0C4DH67	A0A0C4DH67				3.34954e+07
A0A0G2JS06	A0A0G2JS06				4.31609e+06
A0A0J9YX35	A0A0J9YX35				1.08416e+07
A0A0J9YXX1	A0A0J9YXX1				3.69821e+07
A0M8Q6	P0CG04;P0DOY2;A0M8Q6;P0CF74;B9A064;P0DOX8				2.91668e+08
A1L4H1	A1L4H1				2.09125e+06
A5D6W6	A5D6W6				388961
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				737865
A6NCE7;Q9GZQ8;Q9H492;Q9H492-2	Q9GZQ8;Q9H492;A6NCE7;Q9H492-2				104617
A6NGN9	A6NGN9				2.07941e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				509177
A6NL88	A6NL88				996358
A6NLU5	A6NLU5				3.13494e+06
A6NML5	A6NML5				1.11544e+06
A8MTW9	A8MTW9				581774
B9A064;P0DOX8	B9A064;P0DOX8				1.40807e+08
C9JVW0	C9JVW0				2.49901e+06
E2RYF7	E2RYF7				668138
I3L3R5	I3L3R5				203172
O00115;O00115-2	O00115;O00115-2				1.58975e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				8.91171e+06
O00187;O00187-2	O00187;O00187-2				504593
O00264	O00264;O00264-2				874513
O00299	O00299				179439
O00339;O00339-2	O00339;O00339-2;O00339-3				936013
O00391	O00391;O00391-2				4.43822e+06
O00451;O00451-3	O00451;O00451-2;O00451-3				2.923e+06
O00461	O00461				877768
O00462	O00462				3.30847e+06
O00468-6	O00468-6;O00468-7				4.84497e+06
O00533	O00533;O00533-2				6.0255e+07
O00533-2	O00533-2				4.07744e+06
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				698854
O00584	O00584				2.68265e+06
O00754;O00754-2	O00754;O00754-2				427170
O14498	O14498				7.63206e+06
O14514	O14514				397524
O14522;O14522-1	O14522;O14522-1				537426
O14594	O14594				3.02611e+07
O14668;O14668-2	O14668;O14668-2				1.2571e+06
O14672	O14672				1.03136e+06
O14733;O14733-2;O14733-3;O14733-4	O14733;O14733-2;O14733-3;O14733-4				7.53495e+06
O14745	O14745				123773
O14773	O14773				4.18622e+06
O14786	O14786;O14786-2;O14786-3				1.82093e+06
O14791-2	O14791;O14791-2;O14791-3				5.62827e+06
O14793	O14793				167730
O14917;O14917-2	O14917;O14917-2				1.55573e+06
O14960	O14960				8.99703e+06
O15031	O15031				4.45625e+06
O15041;O15041-2	O15041;O15041-2				78757.1
O15197;O15197-3	O15197;O15197-3				1.74334e+06
O15204;O15204-2	O15204;O15204-2				391010
O15230	O15230				390887
O15232;O15232-2	O15232;O15232-2				373773
O15240	O15240				5.57171e+07
O15335	O15335				1.62718e+06
O15354	O15354				5.87573e+06
O15389;Q08ET2	O15389;Q08ET2				1.29243e+06
O15394	O15394;O15394-2				6.04304e+06
O15466;O15466-2	O15466;O15466-2				169753
O15540;O15540-2	O15540;O15540-2				315600
O43157	O43157;O43157-2;O43157-3				1.02255e+06
O43173	O43173				3.20057e+06
O43240	O43240				75764.6
O43278;O43278-2	O43278;O43278-2				444280
O43291	O43291				3.02664e+06
O43300	O43300				283149
O43405	O43405;O43405-2				9.07916e+06
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				1.0579e+07
O43505	O43505				8.78277e+07
O43508	O43508				202526
O43529	O43529				809387
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				3.10776e+06
O43567	O43567				1.21528e+06
O43581-2;O43581-3;O43581-5	O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6				391244
O43827	O43827				1.94232e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				418197
O43854;O43854-2	O43854;O43854-2				573050
O43866	O43866				1.11077e+06
O43897;O43897-2	O43897;O43897-2				450478
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				950723
O60242	O60242				395357
O60243	O60243				289296
O60245;O60245-2	O60245;O60245-2				857561
O60279	O60279				3.73069e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				119869
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				2.36401e+07
O60476	O60476				536110
O60477	O60477;O60477-3				81191.1
O60565	O60565				185160
O60568	O60568				4.73276e+06
O60613	O60613				42374.8
O60814;P57053;P58876;P62807;Q5QNW6;Q5QNW6-2;Q93079;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;Q5QNW6-2				506148
O60883	O60883				6.00648e+07
O60888-3	O60888;O60888-2;O60888-3				4.07671e+06
O60939	O60939				666279
O75019;O75019-2	O75019;O75019-2				259744
O75051;O75051-2	O75051;O75051-2				21538.9
O75063	O75063				696499
O75071	O75071				1.41123e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				2.9076e+06
O75078	O75078;O75078-2				1.55236e+06
O75083;O75083-3	O75083;O75083-3				476374
O75084;Q14332	O75084;Q14332				121006
O75144;O75144-2	O75144;O75144-2				4.76452e+06
O75173;O75173-2	O75173;O75173-2				3.96334e+06
O75223	O75223				162071
O75326	O75326;O75326-2				8.48411e+06
O75339	O75339				158779
O75347;O75347-2	O75347;O75347-2				227752
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				291855
O75368	O75368				1.38663e+06
O75467;Q6AW86	O75467;Q6AW86				579130
O75493	O75493				2.24026e+06
O75503	O75503				1.37361e+06
O75509	O75509				6.71024e+06
O75629	O75629				935038
O75636;O75636-2	O75636;O75636-2				268560
O75711	O75711				3.12878e+07
O75752	O75752				1.20045e+06
O75781;O75781-2	O75781;O75781-2				576204
O75787;O75787-2	O75787;O75787-2				1.10565e+06
O75828	O75828				422772
O75874	O75874				246495
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				5.16717e+06
O75884;O75884-2	O75884;O75884-2				2.45497e+06
O75976	O75976				1.1238e+06
O76061	O76061				861817
O94760	O94760;O94760-2				2.40246e+06
O94766	O94766;Q9NPZ5				158403
O94769	O94769;O94769-2				8.23609e+06
O94772;O94772-2	O94772;O94772-2				2.36829e+07
O94779;O94779-2	O94779;O94779-2;O94779-4				193315
O94856-11;O94856-3;O94856-8	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				6.4649e+06
O94898	O94898				319056
O94910;O94910-2	O94910;O94910-2				2.86123e+06
O94919	O94919				9.63528e+06
O94933	O94933				333466
O94973;O94973-2	O94973;O94973-2				32511.8
O94985	O94985				1.04795e+06
O94985-2	O94985;O94985-2				8.14046e+07
O94991	O94991;O94991-2				475769
O95157	O95157				100870
O95158	O95158				6.83284e+06
O95159	O95159				131812
O95185;O95185-2	O95185;O95185-2				838815
O95196;O95196-2	O95196;O95196-2				4.08429e+06
O95206;O95206-2	O95206;O95206-2				1.00741e+06
O95336	O95336				410489
O95390	O95390				899172
O95428;O95428-5;O95428-6	O95428;O95428-2;O95428-4;O95428-5;O95428-6				1.05564e+06
O95445	O95445;O95445-2				2.22265e+07
O95450;O95450-2	O95450;O95450-2				306451
O95461;O95461-2	O95461;O95461-2				206424
O95467	O95467				256401
O95477	O95477				390779
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				235690
O95497	O95497				318564
O95502	O95502				3.28064e+07
O95633;O95633-2	O95633;O95633-2				632561
O95803;O95803-3;Q9H3R1	O95803;Q9H3R1;O95803-2;O95803-3				214904
O95865	O95865				194043
O95897	O95897				168589
O95967	O95967				2.3578e+06
O95970	O95970;O95970-2				183090
O95980	O95980				1.12728e+07
O95998	O95998;O95998-4				1.40648e+06
P00338;P00338-3	P00338;P00338-3;P00338-4				1.43001e+06
P00352	O94788;P00352;P05091;P30837;P47895;O94788-2;O94788-3;O94788-4;P05091-2				139944
P00390;P00390-2;P00390-3	P00390;P00390-2;P00390-3;P00390-4;P00390-5				518014
P00441	P00441				8.10697e+07
P00450	P00450				1.10872e+08
P00488	P00488				423099
P00492	P00492				798068
P00505	P00505;P00505-2				2.59996e+06
P00533;P00533-3;P00533-4	P00533;P00533-3;P00533-4				500212
P00558	P00558;P00558-2				1.43987e+06
P00568	P00568				98309.6
P00734	P00734				1.70482e+07
P00736	P00736				2.22105e+07
P00738;P00738-2	P00738;P00738-2				3.73696e+07
P00739	P00739;P00739-2				2.72622e+07
P00740;P00740-2	P00740;P00740-2				1.71752e+06
P00742	P00742				3.91527e+06
P00746	P00746				1.02499e+07
P00747	P00747				3.5356e+07
P00748	P00748				1.33307e+07
P00751	P00751;P00751-2				4.80495e+07
P00918	P00918				328468
P01008	P01008				2.18921e+08
P01009	P01009;P01009-2;P01009-3				2.58296e+09
P01011	P01011				2.82395e+08
P01019	P01019				1.52768e+08
P01023	P01023				1.19187e+08
P01024	P01024				2.48096e+08
P01031	P01031				6.03376e+06
P01033	P01033				4.13984e+07
P01034	P01034				1.43631e+09
P01037	P01037				307037
P01040	P01040				380849
P01042	P01042;P01042-2;P01042-3				7.22236e+07
P01042-2;P01042-3	P01042-2;P01042-3				2.28606e+07
P01127;P01127-2	P01127;P01127-2				6.47731e+06
P01178	P01178				931963
P01210	P01210				4.72207e+07
P01213	P01213				588539
P01236	P01236				128348
P01258;P01258-2;P06881	P01258;P06881;P01258-2				312803
P01303	P01303				5.1551e+06
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				5.98641e+06
P01591	P01591				3.56365e+06
P01593;P01594	P01593;P01594				1.76609e+07
P01597;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				2.74478e+07
P01599	P01599;A0A0C4DH72				1.32544e+07
P01601	P01601				7.54382e+06
P01602	P01602				648252
P01619	P01619				2.43741e+08
P01700	P01700				4.8952e+07
P01701	P01701				1.10995e+07
P01703	P01703				2.68281e+06
P01705	P01704;P01705				4.29384e+06
P01706	P01706				4.73938e+06
P01709	P01706;P01709;P0DOX8				1.37918e+07
P01714	P01714				1.0564e+07
P01715	P01715				1.55693e+07
P01717	P01717				3.63909e+07
P01721	P01721				4.10739e+06
P01742	P01742				1.08905e+07
P01743	P01743				1.9116e+06
P01768;P0DP03	P01768;P01772;P0DP02;P0DP03				2.0342e+07
P01780	P01780				8.45087e+07
P01814	P01814				4.10089e+06
P01817	P01817				8.83771e+06
P01833	P01833				180912
P01834	P01834				1.27512e+07
P01859;P01859-1	P01859;P01859-1				3.79384e+08
P01860;P01860-1	P01860;P01860-1				2.45823e+07
P01861;P01861-1	P01861;P01861-1				2.87197e+07
P01871;P01871-1	P01871;P0DOX6;P01871-1				1.41601e+07
P01876;P01876-1	P01876;P01876-1				2.54589e+08
P01893	P01893;P04439;P04439-2				25069.7
P01903;P01906	P01903;P01906				17213.8
P01911;P04440	P01911;P04440				338340
P02144	P02144				656929
P02452	P02452				1.09698e+07
P02461	P02461;P02461-2				4.34437e+06
P02462	P02462				166212
P02533	P02533;P08727;P08779;P19012;Q04695;P19012-2				258809
P02647	P02647				8.11778e+08
P02649	P02649				2.39774e+09
P02652	P02652				2.99397e+08
P02654	P02654				2.44106e+07
P02655	P02655				2.36814e+06
P02656	P02656				1.61037e+07
P02671;P02671-2	P02671;P02671-2				1.4805e+07
P02675	P02675				8.01948e+06
P02679;P02679-2	P02679;P02679-2				8.82439e+06
P02686;P02686-3;P02686-4;P02686-5;P02686-6	P02686;P02686-3;P02686-4;P02686-5;P02686-6				39514.3
P02741	P02741;P02741-2				798059
