Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_F8_CSF_143.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.21943e+08
A0A075B6H9	A0A075B6H9				2.32566e+07
A0A075B6I0	A0A075B6I0				4.12902e+07
A0A075B6I1	A0A075B6I1				3.63356e+06
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				1.3918e+06
A0A075B6J9	A0A075B6J9				1.16984e+06
A0A075B6K2	A0A075B6K2				365101
A0A075B6K4	A0A075B6K0;A0A075B6K4				6.88456e+06
A0A075B6K5	A0A075B6K5				4.22939e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				5.61206e+07
A0A075B6Q5	A0A075B6Q5				1.1242e+07
A0A075B6R2	A0A075B6R2				1.66671e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				3.03652e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.45256e+08
A0A075B6S5	A0A075B6S5				3.5867e+06
A0A075B6S6	A0A075B6S6				602575
A0A087WSX0	A0A087WSX0;A0A0G2JS06				5.23337e+06
A0A087WSY4	A0A087WSY4				1.3127e+07
A0A087WSY6	A0A087WSY6				1.06169e+08
A0A087WSZ0	A0A087WSZ0				984114
A0A087WW87;P01614	P01614;A0A087WW87				305817
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				9.74017e+07
A0A0A0MS15	A0A0A0MS15				2.00242e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				951680
A0A0A0MT89	A0A0A0MT89				8.44288e+06
A0A0B4J1U7	A0A0B4J1U7				1.68303e+07
A0A0B4J1V0	A0A0B4J1V0				1.86966e+08
A0A0B4J1V2	A0A0B4J1V2				2.09505e+06
A0A0B4J1V6	A0A0B4J1V6				1.50199e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.02836e+08
A0A0B4J1Y8	A0A0B4J1Y8				4.53464e+06
A0A0B4J1Y9	A0A0B4J1Y9				2.38934e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				1.11106e+07
A0A0C4DH24	A0A0C4DH24				9.61459e+06
A0A0C4DH25	A0A0C4DH25				1.81343e+07
A0A0C4DH29	A0A0C4DH29				215173
A0A0C4DH31	A0A0C4DH31				1.33009e+06
A0A0C4DH33	A0A0C4DH33				707142
A0A0C4DH34	A0A0C4DH34				1.08978e+07
