Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_A1_81776353_repeat2.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				8.8776e+08
A0A075B6H9	A0A075B6H9				4.03295e+07
A0A075B6I0	A0A075B6I0				1.26511e+08
A0A075B6I1	A0A075B6I1				7.47951e+06
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				5.95625e+06
A0A075B6J9	P01699;P01700;P01706;P01709;P01721;P01703;A0A075B6J9;P0DOX8				4.10371e+07
A0A075B6K2	A0A075B6K2				5.87732e+06
A0A075B6K4	A0A075B6K4				2.22584e+07
A0A075B6K5	A0A075B6K5				1.65508e+07
A0A075B6K6	A0A075B6K6				2.83794e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.66341e+08
A0A075B6Q5	A0A075B6Q5				2.00787e+07
A0A075B6R2	A0A075B6R2				1.68161e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.2288e+08
A0A075B6S2	A0A075B6S2;A2NJV5				7.59551e+08
A0A075B6S5	A0A075B6S5				1.07263e+07
A0A075B6S6	A0A075B6S6				844785
A0A087WSX0	A0A087WSX0				5.41196e+06
A0A087WSY4	A0A087WSY4				1.35784e+07
A0A087WSY6	A0A087WSY6				5.77408e+08
A0A087WSZ0	A0A087WSZ0				2.02349e+06
A0A087WW87;P01614	P01614;A0A087WW87				281674
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				5.96524e+08
A0A0A0MS15	A0A0A0MS15				9.41968e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				3.69724e+06
A0A0A0MT89	A0A0A0MT89				1.1031e+07
A0A0B4J1U7	A0A0B4J1U7				1.98359e+07
A0A0B4J1V0	A0A0B4J1V0				1.89146e+08
A0A0B4J1V6	A0A0B4J1V6				4.26814e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				3.39414e+08
A0A0B4J1Y8	A0A0B4J1Y8				4.22984e+07
A0A0B4J1Y9	A0A0B4J1Y9				9.08342e+06
A0A0C4DH24	A0A0C4DH24				6.24916e+06
A0A0C4DH25	A0A0C4DH25				3.14814e+07
A0A0C4DH30	A0A0C4DH30				2.23741e+06
A0A0C4DH33	A0A0C4DH33				1.00108e+06
A0A0C4DH34	A0A0C4DH34				1.77969e+07
A0A0C4DH35	A0A0C4DH35				4.68375e+06
A0A0C4DH36	A0A0C4DH36				9.41713e+06
A0A0C4DH38	A0A0C4DH38				5.31341e+08
A0A0C4DH39	A0A0C4DH39				1.22181e+07
A0A0C4DH43	A0A0C4DH43				2.38095e+07
A0A0C4DH67	A0A0C4DH67				4.27289e+07
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				2.76243e+07
A0A0G2JS06	A0A0G2JS06				4.66859e+06
A0A0J9YX35	A0A0J9YX35				2.95443e+07
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				4.45009e+08
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				486753
A0M8Q6	P0CG04;P0DOY2;A0M8Q6;P0CF74;B9A064;P0DOX8				1.95099e+08
A1L4H1	A1L4H1				5.08145e+06
A2RU67	A2RU67				1.96784e+06
A5D6W6	A5D6W6				7.70215e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				5.86855e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				376831
A6NGN9	A6NGN9				1.98464e+07
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				1.25712e+06
A6NKN8	A6NKN8				1.16056e+06
A6NL88	A6NL88				4.84198e+06
A6NLU5	A6NLU5				3.17294e+07
A6NML5	A6NML5				5.56292e+06
A8MTW9	A8MTW9				7.92461e+06
B4DS77;B4DS77-2	B4DS77;B4DS77-2;B4DS77-3				463491
C9JVW0	C9JVW0				8.89055e+06
I3L3R5	I3L3R5				1.15422e+06
O00115;O00115-2	O00115;O00115-2				8.09855e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				6.55464e+07
O00187;O00187-2	O00187;O00187-2				5.11071e+06
O00230	O00230				209790
O00244	O00244				1.57981e+06
O00264	O00264;O00264-2				3.36085e+08
O00299	O00299				722179
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				3.6711e+06
O00391	O00391;O00391-2				5.36837e+07
O00451	O00451;O00451-2;O00451-3				3.90662e+07
O00461	O00461				1.59179e+07
O00462	O00462				1.02482e+07
O00468-6	O00468-6;O00468-7				2.98341e+07
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9				2.27431e+06
O00533	O00533				2.0898e+07
O00533-2	O00533;O00533-2				2.13026e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				1.28761e+06
O00567	O00567				777043
O00584	O00584				2.21607e+07
O00592;O00592-2	O00592;O00592-2				569348
O00754;O00754-2	O00754;O00754-2				6.03733e+06
O14498	O14498				8.10315e+07
O14514	O14514				3.9204e+06
O14522	O14522;O14522-1				5.17166e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				2.3133e+06
O14594	O14594				1.20292e+08
O14657	O14657				217428
O14668;O14668-2	O14668;O14668-2				3.35081e+06
O14672	O14672				5.4167e+06
O14733;O14733-2;O14733-3;O14733-4	O14733;O14733-2;O14733-3;O14733-4				4.01928e+07
O14737;O14737-2	O14737;O14737-2				117065
O14745	O14745;O14745-2				885573
O14773	O14773				6.27156e+06
O14786	O14786;O14786-2;O14786-3				1.89177e+07
O14791-2	O14791;O14791-2;O14791-3				4.47618e+07
O14793	O14793				1.02155e+06
O14810	O14810;Q6PUV4				3.45972e+06
O14917;O14917-2	O14917;O14917-2				1.23259e+07
O14960	O14960				724146
O15031	O15031				2.14668e+07
O15041;O15041-2	O15041;O15041-2				352238
O15197;O15197-3	O15197;O15197-3				2.19708e+07
O15230	O15230				4.62712e+06
O15232;O15232-2	O15232;O15232-2				4.20437e+06
O15240	O15240				6.80181e+08
O15335	O15335				3.33206e+06
O15354	O15354				6.16996e+07
O15394	O15394;O15394-2				5.32786e+07
O15466;O15466-2	O15466;O15466-2				3.36456e+06
O43155	O43155				1.5743e+06
O43157	O43157;O43157-2;O43157-3				7.33631e+06
O43173	O43173				9.67532e+06
O43240	O43240				3.35093e+06
O43278;O43278-2	O43278;O43278-2				4.85312e+06
O43291	O43291				2.64917e+07
O43300	O43300				3.43821e+06
O43323	O43323				866584
O43405	O43405;O43405-2				3.49513e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-4;O43493-6;O43493-7				6.09544e+07
O43504	O43504				1.11405e+06
O43505	O43505				1.06265e+09
O43508	O43508				2.55809e+06
O43508-2;O75888;O75888-2;O75888-4;O75888-5	O75888;O43508-2;O75888-2;O75888-4;O75888-5				6.15906e+06
O43529	O43529				9.07975e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				2.08349e+07
O43567	O43567				1.55948e+07
O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6	O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6				2.60579e+06
O43736;O43736-2	O43736;O43736-2				1.75659e+06
O43827	O43827				9.26632e+06
O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				2.94242e+06
O43854;O43854-2	O43854;O43854-2				2.23605e+06
O43866	O43866				1.17338e+07
O43897;O43897-2	O43897;O43897-2				3.19569e+06
O43909	O43909				719155
O43916	O43916				2.32479e+08
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				2.30085e+07
O60242	O60242				2.12795e+06
O60243	O60243;O60243-2				4.61774e+06
O60245;O60245-2	O60245;O60245-2				6.77353e+06
O60279	O60279				3.88635e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				1.18776e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				1.34038e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				1.29422e+07
O60476	O60476				6.50347e+06
O60477	O60477;O60477-3				674058
O60512	O60512				4.13513e+06
O60565	O60565				364436
O60568	O60568				1.19144e+07
O60613	O60613				3.1168e+06
O60704	O60704				311856
O60741	O60741				268784
O60883	O60883				3.83404e+08
O60888-3	O60888;O60888-2;O60888-3				9.04533e+06
O60909;O60909-2;O60909-3	O60909;O60909-2;O60909-3				200740
O60939	O60939				9.22917e+06
O75015	O75015				993932
O75051;O75051-2	O75051;O75051-2				1.58691e+06
O75063	O75063				5.24483e+06
O75071	O75071				1.72518e+07
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				6.66968e+06
O75078	O75078;O75078-2				7.5175e+06
O75083	O75083;O75083-3				1.88363e+06
O75084;Q14332	O75084;Q14332				297210
O75144;O75144-2	O75144;O75144-2;O75144-3				6.65687e+07
O75173;O75173-2	O75173;O75173-2				1.18934e+07
O75223	O75223;O75223-3				578112
O75326	O75326;O75326-2				8.82947e+07
O75339	O75339				796279
O75347	O75347;O75347-2				4.41631e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				2.3634e+06
O75363-2	O75363-2				887804
O75368	O75368				6.5062e+06
O75467;Q6AW86	O75467;Q6AW86				7.8054e+06
O75493	O75493				1.64173e+07
O75503	O75503				4.53008e+06
O75509	O75509				5.35172e+07
O75594	O75594				1.15483e+06
O75629	O75629				309122
O75636;O75636-2	O75636;O75636-2				2.23092e+06
O75711	O75711				3.92343e+08
O75752	O75752				4.90055e+06
O75781;O75781-2	O75781;O75781-2				7.95597e+06
O75787;O75787-2	O75787;O75787-2				5.43914e+07
O75828	O75828				4.70724e+06
O75874	O75874				789704
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				1.40016e+07
O75884;O75884-2	O75884;O75884-2				3.30219e+07
O75973	O75973				1.83961e+06
O75976	O75976				3.85982e+06
O76031	O76031				1.20516e+06
O76061	O76061				8.3619e+06
O76070	O76070				3.42577e+06
O94760	O94760;O94760-2				2.04953e+07
O94766	O94766;Q9NPZ5				3.57825e+06
O94769	O94769;O94769-2				1.90017e+07
O94772;O94772-2	O94772;O94772-2				1.18644e+08
