Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_A6_82545313.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				4.3648e+08
A0A075B6H9	A0A075B6H9				602723
A0A075B6I1	A0A075B6I1				8.28187e+06
A0A075B6I9	A0A075B6I9				2.99014e+07
A0A075B6J1	A0A075B6J1				6.30037e+06
A0A075B6J9	A0A075B6J9				4.59213e+06
A0A075B6K2	A0A075B6K2				1.32489e+06
A0A075B6K4	P01715;A0A075B6K4				1.9641e+07
A0A075B6K5	A0A075B6K5				3.16853e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				3.25121e+08
A0A075B6R2	A0A075B6R2				1.23958e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				4.0816e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.53232e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				2.27239e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				4.58375e+06
A0A087WSY4	A0A087WSY4				1.08013e+07
A0A087WSY6	A0A087WSY6				2.92979e+08
A0A087WW87;P01614	P01614;A0A087WW87				399087
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.00615e+08
A0A0A0MS15	A0A0A0MS15				5.5608e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				962898
A0A0A0MT89	A0A0A0MT89				1.39673e+06
A0A0B4J1U7	A0A0B4J1U7				1.49005e+07
A0A0B4J1V0	A0A0B4J1V0				2.87506e+08
A0A0B4J1V2	A0A0B4J1V2				3.15245e+06
A0A0B4J1V6	A0A0B4J1V6				781482
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.11427e+08
A0A0B4J1Y8	A0A0B4J1Y8				8.02241e+06
A0A0B4J1Y9	A0A0B4J1Y9				8.84802e+06
A0A0C4DH24	A0A0C4DH24				8.80383e+06
A0A0C4DH25	A0A0C4DH25				1.50557e+06
A0A0C4DH30	A0A0C4DH30				111406
A0A0C4DH33	A0A0C4DH33				2.32714e+06
A0A0C4DH34	A0A0C4DH34				1.36677e+07
A0A0C4DH35	A0A0C4DH35				4.66351e+06
A0A0C4DH36	A0A0C4DH36				7.86319e+06
A0A0C4DH38	A0A0C4DH38				1.19677e+07
A0A0C4DH39	A0A0C4DH39				1.03766e+07
A0A0C4DH43	A0A0C4DH43				1.35051e+07
A0A0C4DH67	A0A0C4DH67				2.21605e+06
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				2.17613e+07
A0A0G2JMI3	A0A0G2JMI3				2.47034e+07
A0A0G2JS06	A0A0G2JS06				3.80192e+06
A0A0J9YX35	A0A0J9YX35				3.0731e+07
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				1.83157e+08
A0M8Q6	P0CG04;P0DOY2;A0M8Q6;P0CF74;B9A064;P0DOX8				1.55676e+08
A1L4H1	A1L4H1				4.44218e+06
A2RU67	A2RU67				594683
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				2.43053e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				478832
A6NGN9	A6NGN9				7.36009e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				1.58676e+06
A6NL88	A6NL88				4.76116e+06
A6NLU5	A6NLU5				5.42037e+06
A6NML5	A6NML5				6.62638e+06
A8MTW9	A8MTW9				2.21344e+06
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				722670
B4DS77;B4DS77-2	B4DS77;B4DS77-2;B4DS77-3				334209
C9JVW0	C9JVW0				7.4771e+06
E2RYF7	E2RYF7				5.10699e+06
I3L3R5	I3L3R5				437461
O00115;O00115-2	O00115;O00115-2				1.5484e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				4.62386e+07
O00187;O00187-2	O00187;O00187-2				1.54398e+06
O00230	O00230				175061
O00244	O00244				609388
O00264	O00264;O00264-2				4.36207e+06
O00299	O00299				450058
O00339-2	O00339;O00339-2;O00339-3				1.83425e+06
O00391	O00391;O00391-2				2.49126e+07
O00451	O00451;O00451-2;O00451-3				1.76322e+07
O00461	O00461				9.77741e+06
O00462	O00462				4.78475e+06
O00468-6	O00468-6;O00468-7				2.13388e+07
O00469;O00469-2;O00469-3	O00469;O00469-2;O00469-3				72072.4
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9				878171
O00533	O00533				9.71358e+06
O00533-2	O00533;O00533-2				1.40166e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				745381
O00567	O00567				347011
O00584	O00584				7.41308e+06
O00754;O00754-2	O00754;O00754-2				3.21389e+06
O14498	O14498				6.42234e+07
O14514	O14514				1.1127e+06
O14522;O14522-1	O14522;O14522-1				637249
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				23856.1
O14594	O14594				1.08038e+08
O14668	O14668				3.71903e+06
O14672	O14672				3.16641e+06
O14733;O14733-2;O14733-3;O14733-4	O14733;O14733-2;O14733-3;O14733-4				3.56128e+07
O14737;O14737-2	O14737;O14737-2				92726.6
O14745	O14745;O14745-2				365402
O14773	O14773				6.2778e+06
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				5.44138e+06
O14791-2	O14791;O14791-2;O14791-3				1.45775e+08
O14793	O14793				3.58845e+06
O14917;O14917-2	O14917;O14917-2				3.14305e+06
O15031	O15031				7.07328e+06
O15041;O15041-2	O15041;O15041-2				824779
O15197;O15197-3	O15197;O15197-3				3.94972e+06
O15204;O15204-2	O15204;O15204-2				1.03517e+06
O15230	O15230				2.06937e+06
O15232;O15232-2	O15232;O15232-2				1.61784e+06
O15240	O15240				2.04772e+08
O15335	O15335				3.72311e+06
O15354	O15354				3.08445e+07
