Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_C7_81790598_repeat2.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.42179e+08
A0A075B6H9	A0A075B6H9				6.68547e+06
A0A075B6I0	A0A075B6I0				1.36998e+07
A0A075B6I1	A0A075B6I1				8.53043e+06
A0A075B6I9	A0A075B6I9				2.59155e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				1.6764e+06
A0A075B6J9	A0A075B6J9				1.90338e+06
A0A075B6K4	P01715;A0A075B6K4				7.643e+06
A0A075B6K5	A0A075B6K5				5.36035e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				2.19465e+08
A0A075B6R2	A0A075B6R2				5.9216e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				3.57202e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.55593e+08
A0A075B6S5	A0A075B6S5				2.76611e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				3.993e+06
A0A087WSY4	A0A087WSY4				6.4131e+06
A0A087WSY6	A0A087WSY6				1.67834e+08
A0A087WSZ0	A0A087WSZ0				978926
A0A087WW87;P01614	P01614;A0A087WW87				215761
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.53399e+08
A0A0A0MS15	A0A0A0MS15				1.00924e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				575826
A0A0B4J1U7	A0A0B4J1U7				4.45283e+06
A0A0B4J1V0	A0A0B4J1V0				9.33617e+07
A0A0B4J1V2	A0A0B4J1V2				1.16761e+06
A0A0B4J1V6	A0A0B4J1V6				950072
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				9.47981e+07
A0A0B4J1Y8	A0A0B4J1Y8				1.83442e+06
A0A0B4J1Y9	A0A0B4J1Y9				1.79587e+06
A0A0C4DH24	A0A0C4DH24				2.38136e+06
A0A0C4DH25	A0A0C4DH25				6.91725e+07
A0A0C4DH33	A0A0C4DH33				1.2164e+06
A0A0C4DH34	A0A0C4DH34				9.62107e+06
A0A0C4DH35	A0A0C4DH35				2.93289e+06
A0A0C4DH36	A0A0C4DH36				4.19125e+06
A0A0C4DH39	A0A0C4DH39				157280
A0A0C4DH43	A0A0C4DH43				4.00267e+06
A0A0C4DH67	A0A0C4DH67				6.28865e+07
A0A0G2JMI3	A0A0G2JMI3				3.66009e+06
A0A0J9YX35	A0A0J9YX35				3.83916e+06
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				2.68208e+06
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				5.90672e+07
A1L4H1	A1L4H1				1.38196e+06
A2RU67	A2RU67				189790
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				564141
A6NCE7;Q9GZQ8	Q9GZQ8;Q9H492;A6NCE7;Q9H492-2				289400
A6NGN9	A6NGN9				5.35824e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				831780
A6NL88	A6NL88				3.50466e+06
A6NLU5	A6NLU5				6.54388e+06
A6NML5	A6NML5				719994
A8MTW9	A8MTW9				737467
C9JVW0	C9JVW0				5.91255e+06
I3L3R5	I3L3R5				426062
O00115;O00115-2	O00115;O00115-2				3.33002e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				1.85093e+07
O00187;O00187-2	O00187;O00187-2				559115
O00230	O00230				78629
O00264	O00264;O00264-2				3.17462e+06
O00292;O00292-2	O00292;O00292-2				405489
O00299	O00299				101715
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				2.00367e+06
O00391	O00391;O00391-2				1.28133e+07
O00451	O00451;O00451-2;O00451-3				7.68392e+06
O00461	O00461				3.98407e+07
O00462	O00462				3.45345e+06
O00468-6	O00468-6;O00468-7				1.05496e+07
O00533	O00533;O00533-2				1.27593e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				2.2324e+06
O00567	O00567				114354
O00584	O00584				1.07049e+07
O00754;O00754-2	O00754;O00754-2				2.41889e+06
O14498	O14498				2.17224e+07
O14514	O14514				2.77017e+06
O14522;O14522-1	O14522;O14522-1				868461
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				666441
O14594	O14594				1.02435e+08
O14668;O14668-2	O14668;O14668-2				748751
O14672	O14672				3.83719e+06
O14745	O14745				157741
O14773	O14773				6.68548e+06
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				4.58887e+06
O14791-2	O14791;O14791-2;O14791-3				1.31548e+07
O14793	O14793				343552
O14917;O14917-2	O14917;O14917-2				2.05479e+06
O15031	O15031				1.55767e+07
O15041;O15041-2	O15041;O15041-2				216986
O15197;O15197-3	O15197;O15197-3				4.1387e+06
O15204;O15204-2	O15204;O15204-2				701478
O15230	O15230				2.10564e+06
O15232;O15232-2	O15232;O15232-2				2.38685e+06
O15240	O15240				1.35925e+08
O15335	O15335				3.52704e+06
O15354	O15354				1.09594e+07
O15389;Q08ET2	O15389;Q08ET2				4.6904e+06
O15394	O15394;O15394-2				1.34996e+07
O15466;O15466-2	O15466;O15466-2				1.40056e+06
O15498;O15498-2	O15498;O15498-2				59364.2
O43155	O43155				409658
O43157	O43157;O43157-2;O43157-3				5.46609e+06
O43173	O43173				2.63218e+06
O43240	O43240				1.28843e+06
O43278;O43278-2	O43278;O43278-2				1.00322e+06
O43291;O43291-2	O43291;O43291-2				5.19361e+06
O43300	O43300				4.57232e+06
O43323	O43323				268838
O43405;O43405-2	O43405;O43405-2				7.19341e+06
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-4;O43493-6;O43493-7				1.5449e+07
O43504	O43504				909497
O43505	O43505				3.12444e+08
O43508	O43508				497663
O43529	O43529				7.25975e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				3.96602e+06
O43567	O43567				4.26382e+07
O43827	O43827				1.96151e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				486106
O43854;O43854-2	O43854;O43854-2				725952
O43866	O43866				2.45953e+06
O43897;O43897-2	O43897;O43897-2				522160
O43909	O43909				403017
O43916	O43916				1.15723e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				4.61126e+06
O60242	O60242				1.48715e+06
O60243	O60243;O60243-2				1.67931e+06
O60245;O60245-2	O60245;O60245-2				2.3982e+06
O60279	O60279				1.13969e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				302730
O60294	O60294				8.02368e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				419353
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				4.67582e+06
O60476	O60476				8.24446e+06
O60477	O60477;O60477-3				531403
O60512	O60512				1.02008e+06
O60568	O60568				1.39434e+06
O60613	O60613				1.12587e+06
