Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_D8_129182061.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				8.13916e+08
A0A075B6H9	A0A075B6H9				8.48366e+07
A0A075B6I0	A0A075B6I0				5.48214e+07
A0A075B6I1	A0A075B6I1				4.14711e+07
A0A075B6J1	A0A075B6J1;A0A0A0MRZ9				4.99843e+06
A0A075B6J9	A0A075B6J9				7.65501e+06
A0A075B6K2	A0A075B6K2				2.67132e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				3.28602e+07
A0A075B6K5	A0A075B6K5				1.66692e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				1.47849e+08
A0A075B6R2	A0A075B6R2				3.45348e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				4.82033e+07
A0A075B6S2	A0A075B6S2;A2NJV5				4.76813e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				1.69457e+08
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.50038e+07
A0A087WSY4	A0A087WSY4				5.82346e+07
A0A087WSY6	A0A087WSY6				3.06864e+08
A0A087WSZ0	A0A087WSZ0				5.18093e+06
A0A087WW87;P01614	P01614;A0A087WW87				310374
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				7.5289e+08
A0A0A0MS15	A0A0A0MS15				3.19366e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				2.07479e+06
A0A0A0MT89	A0A0A0MT89				1.82972e+07
A0A0B4J1U7	A0A0B4J1U7				4.25765e+07
A0A0B4J1V0	A0A0B4J1V0				1.52317e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.54414e+08
A0A0B4J1Y8	A0A0B4J1Y8				6.32225e+07
A0A0B4J1Y9	A0A0B4J1Y9				2.81028e+08
A0A0C4DH24	A0A0C4DH24				1.09993e+07
A0A0C4DH25	A0A0C4DH25				3.01139e+07
A0A0C4DH29	A0A0C4DH29				1.54482e+06
A0A0C4DH33	A0A0C4DH33				3.3023e+06
A0A0C4DH34	A0A0C4DH34				2.60312e+07
A0A0C4DH35	A0A0C4DH35				4.37218e+06
A0A0C4DH36	A0A0C4DH36				1.2581e+07
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				1.24201e+08
A0A0C4DH39	A0A0C4DH39				9.06729e+06
A0A0C4DH67	A0A0C4DH67;A0A0C4DH69				2.86912e+06
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				3.50378e+07
A0A0G2JMI3	A0A0G2JMI3				6.4378e+07
A0A0G2JS06	A0A0G2JS06				1.15991e+07
A0A0J9YX35	A0A0J9YX35				2.55631e+07
A0A0J9YXX1	A0A0J9YXX1				2.34771e+07
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				442693
A0M8Q6	P0CG04;P0DOY2;A0M8Q6;P0CF74;B9A064;P0DOX8				2.37526e+08
A1L4H1	A1L4H1				3.43195e+07
A2RU67	A2RU67				754951
A5D6W6	A5D6W6				3.11446e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.82373e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				1.15431e+06
A6NGN9	A6NGN9				9.22372e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				920006
A6NL88	A6NL88				2.25241e+06
A6NLU5	A6NLU5				2.48482e+07
A6NMY6;P07355;P07355-2	A6NMY6;P07355;P07355-2				28447.9
A8MTJ3;P04899;P04899-4;P08754;P11488;P19087;P63096	A8MTJ3;P04899;P08754;P09471;P11488;P19087;P38405;P63092;P63096;Q5JWF2;P63092-2;P04899-4;P63092-3;P63092-4;Q5JWF2-2;P09471-2;P38405-2				956176
A8MTW9	A8MTW9				4.38278e+06
