Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_D9_82885545_repeat.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				3.07707e+08
A0A075B6H9	A0A075B6H9				9.02303e+06
A0A075B6I0	A0A075B6I0				3.5446e+07
A0A075B6I1	A0A075B6I1				590051
A0A075B6I9	A0A075B6I9				4.47532e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				1.88974e+06
A0A075B6J9	A0A075B6J9				2.72677e+06
A0A075B6K2	A0A075B6K2				1.57293e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				9.21994e+06
A0A075B6K5	P01715;P01717;P01718;P80748;A0A075B6K0;A0A075B6K2;A0A075B6K4;A0A075B6K5				2.66905e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				1.97437e+08
A0A075B6R2	A0A075B6R2				1.38517e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.96999e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.05893e+08
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.10802e+07
A0A087WSY4	A0A087WSY4				9.35144e+06
A0A087WSY6	A0A087WSY6				1.29106e+08
A0A087WSZ0	A0A087WSZ0				5.44232e+06
A0A087WW87;P01614	P01614;A0A087WW87				287623
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.21691e+08
A0A0A0MS15	A0A0A0MS15				2.42731e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				683057
A0A0A0MT89	A0A0A0MT89				1.05208e+07
A0A0B4J1U7	A0A0B4J1U7				2.21484e+07
A0A0B4J1V2	A0A0B4J1V2				4.79989e+06
A0A0B4J1V6	A0A0B4J1V6				1.1759e+08
A0A0B4J1X5	A0A0B4J1X5				7.35512e+07
A0A0B4J1Y8	A0A0B4J1Y8				1.70518e+07
A0A0C4DH24	A0A0C4DH24				2.249e+06
A0A0C4DH25	A0A0C4DH25				4.70044e+07
A0A0C4DH29	A0A0C4DH29				205404
A0A0C4DH30	A0A0C4DH30				257806
A0A0C4DH33	A0A0C4DH33				3.42323e+08
A0A0C4DH34	A0A0C4DH34				8.16382e+06
A0A0C4DH35	A0A0C4DH35				1.03513e+07
A0A0C4DH36	A0A0C4DH36				4.76865e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				4.2628e+08
A0A0C4DH39	A0A0C4DH39				4.35337e+06
A0A0C4DH43	A0A0C4DH43				1.06751e+07
A0A0C4DH67	A0A0C4DH67				2.1798e+07
A0A0G2JMI3	A0A0G2JMI3				1.04181e+07
A0A0J9YX35	A0A0J9YX35				5.81445e+06
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				470891
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.3026e+08
A1L4H1	A1L4H1				5.71821e+06
A2RU67	A2RU67				666833
A5D6W6	A5D6W6				5.01753e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.8147e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				916448
A6NGN9	A6NGN9				9.99767e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				3.06557e+06
A6NKN8	A6NKN8				92776
A6NL88	A6NL88				4.4083e+06
A6NLU5	A6NLU5				3.23872e+07
A6NML5	A6NML5				3.48319e+06
A8MTW9	A8MTW9				2.80463e+06
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				212686
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				544576
B9A064;P0DOX8	B9A064;P0DOX8				1.71495e+08
C9JVW0	C9JVW0				1.26559e+07
E2RYF7	E2RYF7				3.34002e+06
I3L3R5	I3L3R5				1.08741e+06
O00115;O00115-2	O00115;O00115-2				5.44963e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				5.51794e+07
O00187;O00187-2	O00187;O00187-2				1.44562e+06
O00244	O00244				1.70346e+06
O00264	O00264;O00264-2				2.47819e+08
O00292;O00292-2	O00292;O75610;O00292-2				1.69829e+06
O00299	O00299				3.69305e+06
O00339;O00339-2	O00339;O00339-2;O00339-3				3.73901e+06
O00391	O00391;O00391-2				3.13911e+07
O00451	O00451;O00451-2;O00451-3				2.05487e+07
O00461	O00461				1.4543e+07
O00462	O00462				1.22031e+07
O00468-6	O00468-6;O00468-7				3.44913e+07
O00469;O00469-2;O00469-3	O00469;O00469-2;O00469-3				493403
O00533	O00533				9.11946e+06
O00533-2	O00533;O00533-2				2.71854e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				1.93866e+06
O00567	O00567				641954
O00584	O00584				1.89181e+07
O00587;O00587-2	O00587;O00587-2				128292
O00754;O00754-2	O00754;O00754-2				3.31366e+06
O14498	O14498				4.63337e+07
O14514	O14514				3.1087e+06
O14522	O14522;O14522-1				1.79005e+06
O14525;O14525-2	O14525;O14525-2;O14525-3				817869
O14594	O14594				1.23893e+08
O14657	O14657				239946
O14668;O14668-2	O14668;O14668-2				388364
O14672	O14672				6.1006e+06
O14733;O14733-2;O14733-3;O14733-4	O14733;O14733-2;O14733-3;O14733-4				2.79283e+07
O14737;O14737-2	O14737;O14737-2				221731
O14745	O14745;O14745-2				665748
O14773	O14773				1.94524e+07
O14786	O14786;O14786-2;O14786-3				1.10609e+07
O14791-2	O14791;O14791-2;O14791-3				2.39117e+07
O14793	O14793				1.94029e+06
O14810	O14810;Q6PUV4				1.40817e+06
O14917;O14917-2	O14917;O14917-2				5.77934e+06
O14958;O14958-2	O14958;O14958-2				30981.5
O15031	O15031				3.95241e+07
O15041;O15041-2	O15041;O15041-2				494183
O15123;O15123-2;O15123-3	O15123;O15123-2;O15123-3				656699
O15145	O15145				781328
O15197;O15197-3	O15197;O15197-3				1.02166e+07
O15204;O15204-2	O15204;O15204-2				4.86973e+06
O15230	O15230				5.32461e+06
O15232;O15232-2	O15232;O15232-2				2.44289e+06
O15240	O15240				3.14273e+08
O15335	O15335				6.26604e+06
O15354	O15354				3.022e+07
O15394	O15394;O15394-2				5.42362e+07
O15400;O15400-2	O15400;O15400-2				1.78872e+06
O15466;O15466-2	O15466;O15466-2				1.83901e+06
O15498;O15498-2	O15498;O15498-2				292650
O15540;O15540-2	O15540;O15540-2				4.37705e+06
O43155	O43155				1.12033e+06
O43157	O43157;O43157-2;O43157-3				3.35629e+06
O43173	O43173				3.80599e+06
O43184;O43184-2;O43184-3;O43184-4	O43184;O43184-4;O43184-2;O43184-3				782118
O43240	O43240				2.06539e+06
O43278;O43278-2	O43278;O43278-2				2.77266e+06
O43286	O43286				123525
O43291	O43291				1.25859e+07
O43300	O43300				4.58707e+06
O43323	O43323				691006
O43405	O43405;O43405-2				2.88532e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				6.55769e+07
O43504	O43504				823699
O43505	O43505				6.34295e+08
O43508	O43508				1.3755e+06
O43529	O43529				7.45826e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.20237e+07
O43567	O43567;O43567-2				3.60418e+06
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				922439
O43707	O43707;P12814;P35609;Q08043;P12814-2;P12814-3;P12814-4;P35609-2				1.52031e+06
O43736;O43736-2	O43736;O43736-2				1.88953e+06
O43827	O43827				3.22885e+07
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				1.03988e+07
O43854;O43854-2	O43854;O43854-2				516421
O43866	O43866				1.04949e+07
O43897;O43897-2	O43897;O43897-2				1.25716e+06
O43909	O43909				540817
O43916	O43916				1.57441e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.64112e+07
O60242	O60242				1.80017e+06
O60243	O60243;O60243-2				3.18409e+06
O60245;O60245-2	O60245;O60245-2				3.68805e+06
O60279	O60279				4.15809e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				1.30625e+06
O60330	O60330;Q9Y5G5;Q9Y5G8;Q9Y5G9;O60330-2;Q9Y5G5-2;Q9Y5G8-2;Q9Y5G9-2				2.01169e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				2.49388e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				1.12199e+07
O60476	O60476				4.86169e+06
O60477	O60477;Q76B58;O60477-3;Q76B58-2				388926
O60486	O60486				2.31628e+06
O60512	O60512				2.64819e+06
O60565	O60565				393162
O60568	O60568				1.46006e+07
O60613	O60613				2.06677e+06
O60741	O60741				679384
O60883	O60883				1.20501e+08
O60888-3	O60888;O60888-2;O60888-3				2.00279e+07
O60909;O60909-2;O60909-3	O60909;O60909-2;O60909-3				2.98477e+06
O60939	O60939				4.33003e+06
O75051;O75051-2	O75051;O75051-2				1.12061e+06
O75063	O75063				4.93056e+06
O75071	O75071				8.38507e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				7.33481e+06
O75078	O75078;O75078-2				7.15252e+06
O75083	O75083;O75083-3				5.46427e+06
O75084;Q14332	O75084;Q14332				566284
O75144;O75144-2	O75144;O75144-2;O75144-3				4.39377e+07
O75173;O75173-2	O75173;O75173-2				1.01518e+07
O75223	O75223				2.19901e+07
O75326	O75326;O75326-2				3.78795e+07
O75339	O75339				188848
O75340;O75340-2	O75340;O75340-2				439234
O75347;O75347-2	O75347;O75347-2				1.70722e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.12191e+06
O75363-2	O75363-2				401021
O75368	O75368				4.7579e+06
O75467;Q6AW86	O75467;Q6AW86				7.18773e+06
O75487	O75487;O75487-2				1.56546e+06
O75493	O75493				8.61911e+06
O75503	O75503				7.21175e+06
O75509	O75509				2.53545e+07
O75629	O75629				2.21884e+06
O75636;O75636-2	O75636;O75636-2				2.98194e+06
O75711	O75711				4.47219e+08
O75752	O75752				1.24713e+07
O75781;O75781-2	O75781;O75781-2				3.62641e+06
O75787;O75787-2	O75787;O75787-2				3.69544e+07
O75874	O75874				4.38222e+06
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				1.59439e+07
O75973	O75973				1.47215e+06
O75976	O75976				2.53166e+06
O76061	O76061				4.44084e+06
O76070	O76070				4.24213e+06
O94760	O94760				4.98869e+06
O94766	O94766;Q9NPZ5				3.41396e+06
O94769	O94769;O94769-2				1.40688e+07
O94772;O94772-2	O94772;O94772-2				5.36851e+07
O94779;O94779-2	O94779;O94779-2;O94779-4				925610
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				5.2138e+07
O94898	O94898				1.50349e+06
O94910;O94910-2	O94910;O94910-2				1.01682e+07
O94919	O94919				3.31451e+07
O94923	O94923				420228
O94933	O94933				4.44355e+06
O94973;O94973-2	O94973;O94973-2				538578
O94985	O94985				2.25436e+06
O94985-2	O94985;O94985-2				3.17678e+08
O94991	O94991;O94991-2				1.82528e+07
O95025	O95025				865098
O95084;O95084-2	O95084;O95084-2				3.07633e+06
O95157	O95157				1.08284e+06
O95158	O95158				1.79427e+07
O95185;O95185-2	O95185;O95185-2				4.9923e+06
O95196;O95196-2	O95196;O95196-2				9.74025e+06
O95206;O95206-2	O95206;O95206-2				8.90121e+06
O95292	O95292;Q9P0L0;O95292-2;Q9P0L0-2				5.55044e+06
O95297;O95297-2;O95297-3	O95297;O95297-2;O95297-3;O95297-4				626225
O95336	O95336				3.41416e+06
O95390	O95390				1.09628e+07
O95428;O95428-5;O95428-6	O95428;O95428-2;O95428-4;O95428-5;O95428-6				1.22445e+07
O95445	O95445;O95445-2				1.73378e+07
O95450;O95450-2	O95450;O95450-2				2.2854e+06
O95461;O95461-2	O95461;O95461-2				1.10531e+06
O95467	O95467				3.4741e+06
O95477	O95477				8.37157e+06
O95479;O95479-2	O95479;O95479-2				139910
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				1.15735e+06
O95497	O95497				1.96966e+06
O95502	O95502				1.85554e+08
O95633;O95633-2	O95633;O95633-2				4.32015e+06
O95747	O95747				128416
O95841	O95841				1.35804e+06
O95865	O95865				3.03262e+06
O95881	O95881				453413
O95897	O95897				2.28479e+06
O95967	O95967				2.20966e+07
O95970	O95970;O95970-2				662049
O95980	O95980				8.2238e+06
O95998	O95998;O95998-4				3.57221e+07
P00325;P00325-2;P00326;P07327	P00325;P00326;P07327;P00325-2				764347
P00338;P00338-3	P00338;P00338-3;P00338-4				1.29474e+07
P00352	P00352				2.9104e+06
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				4.48588e+06
P00441	P00441				5.01338e+08
P00450	P00450				2.37162e+08
P00488	P00488				2.20263e+06
P00492	P00492				2.7987e+06
P00505	P00505;P00505-2				7.32983e+06
P00533;P00533-3;P00533-4	P00533;P00533-3;P00533-4				2.05864e+06
P00558	P00558;P00558-2				9.7921e+06
P00568	P00568				1.33521e+06
P00734	P00734				1.01264e+08
P00736	P00736				2.94383e+08
P00738	P00738;P00738-2				4.68359e+08
P00739	P00739;P00739-2				3.7403e+08
P00740;P00740-2	P00740;P00740-2				5.53745e+06
P00742	P00742				4.37734e+07
P00746	P00746				4.30005e+07
P00747	P00747				1.45091e+08
P00748	P00748				1.69861e+07
P00751	P00751;P00751-2				1.59546e+08
P00915	P00915				456920
P00918	P00918				250970
P01008	P01008				4.60994e+08
P01009	P01009;P01009-2;P01009-3				7.26427e+09
P01011	P01011				1.96086e+09
P01019	P01019				9.0865e+08
P01023	P01023				9.59484e+08
P01024	P01024				1.41425e+09
P01031	P01031				5.48042e+07
P01033	P01033				9.7702e+07
P01034	P01034				3.46107e+09
P01042	P01042;P01042-2;P01042-3				2.1033e+08
P01042-2;P01042-3	P01042-2;P01042-3				3.21832e+08
