Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E2_129189650.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				5.28161e+08
A0A075B6H9	A0A075B6H9				3.02641e+07
A0A075B6I0	A0A075B6I0				1.08925e+08
A0A075B6I1	A0A075B6I1				1.42475e+07
A0A075B6I9;P04211	P04211;A0A075B6I9				1.55596e+08
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				7.25685e+06
A0A075B6J9	A0A075B6J9				4.60268e+07
A0A075B6K2	A0A075B6K2				6.6851e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				4.31631e+07
A0A075B6K5	A0A075B6K5				2.47115e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				3.24448e+08
A0A075B6R2	A0A075B6R2				3.82086e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.32883e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.7497e+08
A0A087WSX0	A0A087WSX0				5.03277e+06
A0A087WSY4	A0A087WSY4				2.99374e+07
A0A087WSY6	A0A087WSY6				6.52727e+08
A0A087WW87;P01614	P01614;A0A087WW87				1.1794e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				6.33665e+08
A0A0A0MS15	A0A0A0MS15				4.08695e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				687855
A0A0B4J1U7	A0A0B4J1U7				8.63036e+07
A0A0B4J1V0	A0A0B4J1V0				2.55272e+06
A0A0B4J1V2	A0A0B4J1V2				2.03032e+06
A0A0B4J1V6	A0A0B4J1V6				2.51445e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.48094e+08
A0A0B4J1Y8	A0A0B4J1Y8				2.26431e+07
A0A0B4J1Y9	A0A0B4J1Y9				2.71459e+08
A0A0C4DH24	A0A0C4DH24				1.71677e+07
A0A0C4DH25	A0A0C4DH25				2.52743e+07
A0A0C4DH29	A0A0C4DH29				266261
A0A0C4DH30	A0A0C4DH30				790258
A0A0C4DH33	A0A0C4DH33				1.01433e+06
A0A0C4DH34	A0A0C4DH34				9.53042e+06
A0A0C4DH35	A0A0C4DH35				2.88744e+06
A0A0C4DH36	A0A0C4DH36				8.03925e+06
A0A0C4DH38	A0A0C4DH38				6.40595e+08
A0A0C4DH39	A0A0C4DH39				2.44871e+07
A0A0C4DH43	P0DOX6;A0A0C4DH43				4.51388e+07
