Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_F11_82542649.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				6.33084e+08
A0A075B6H9	A0A075B6H9				5.68412e+07
A0A075B6I0	A0A075B6I0				3.77849e+07
A0A075B6I1	A0A075B6I1				3.76705e+06
A0A075B6J1	A0A075B6J1;A0A0A0MRZ9				1.71073e+06
A0A075B6J9	A0A075B6J9				8.11973e+06
A0A075B6K2	A0A075B6K2				3.5424e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				2.32056e+07
A0A075B6K5	A0A075B6K5				1.64795e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				4.63736e+08
A0A075B6R2	A0A075B6R2				3.8249e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				3.15906e+07
A0A075B6S2	A0A075B6S2;A2NJV5				4.41013e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				2.11817e+08
A0A087WSX0	A0A087WSX0				4.1919e+06
A0A087WSY4	A0A087WSY4				2.63175e+07
A0A087WSY6	A0A087WSY6				2.58054e+08
A0A087WSZ0	A0A087WSZ0				5.41656e+06
A0A087WW87;P01614	P01614;A0A087WW87				861683
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.60183e+08
A0A0A0MS15	A0A0A0MS15				4.41542e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				2.23835e+06
A0A0A0MT89	A0A0A0MT89				1.49103e+07
A0A0B4J1U7	A0A0B4J1U7				1.32008e+07
A0A0B4J1V0	A0A0B4J1V0				2.21857e+08
A0A0B4J1V2	A0A0B4J1V2				4.33953e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.53809e+08
A0A0B4J1Y8	A0A0B4J1Y8				2.74448e+07
A0A0B4J1Y9	A0A0B4J1Y9				2.71707e+06
A0A0C4DH24	A0A0C4DH24				1.69953e+07
A0A0C4DH25	A0A0C4DH25				3.46984e+07
A0A0C4DH29	A0A0C4DH29				581363
A0A0C4DH30	A0A0C4DH30				600417
A0A0C4DH33	A0A0C4DH33				1.69651e+06
A0A0C4DH34	A0A0C4DH34				1.4404e+07
A0A0C4DH35	A0A0C4DH35				1.31727e+07
A0A0C4DH36	A0A0C4DH36				1.0924e+07
A0A0C4DH38	A0A0C4DH38				1.74677e+06
A0A0C4DH39	A0A0C4DH39				1.55532e+07
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				7.39217e+07
A0A0C4DH43	A0A0C4DH43				4.4531e+07
A0A0G2JMI3	A0A0G2JMI3				2.65593e+07
A0A0G2JS06	A0A0G2JS06				1.18943e+07
A0A0J9YX35	A0A0J9YX35				1.57472e+07
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				1.59622e+08
