Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_F6_129189909_190308011553.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				4.04121e+07
A0A075B6I0	A0A075B6I0				1.8303e+07
A0A075B6I9	A0A075B6I9				4.94664e+07
A0A075B6J9	P01699;P01700;P01706;P01709;P01721;P01703;A0A075B6J9;P0DOX8				1.68826e+07
A0A075B6K4	A0A075B6K0;A0A075B6K4				6.00491e+06
A0A075B6K5	P01715;P01717;P01718;P80748;A0A075B6K0;A0A075B6K2;A0A075B6K4;A0A075B6K5				3.76386e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				7.2779e+07
A0A075B6R2	A0A075B6R2				1.26943e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.44888e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.60913e+08
A0A087WSX0	A0A087WSX0				2.47222e+06
A0A087WSY4	A0A087WSY4				9.35324e+06
A0A087WSY6	A0A087WSY6				9.37537e+07
A0A087WW87;P01614	P01614;A0A087WW87				373373
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.16868e+08
A0A0A0MS15	A0A0A0MS15				1.29341e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.06447e+06
A0A0A0MT89	A0A0A0MT89				2.53718e+06
A0A0B4J1U7	A0A0B4J1U7				5.39755e+06
A0A0B4J1V0	A0A0B4J1V0				6.03769e+07
A0A0B4J1V2	A0A0B4J1V2				2.12727e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				5.13601e+07
A0A0B4J1Y8	A0A0B4J1Y8				4.95484e+06
A0A0B4J1Y9	A0A0B4J1Y9				2.04117e+06
A0A0B4J2H0	A0A0B4J2H0				286070
A0A0C4DH24	A0A0C4DH24				1.50269e+06
A0A0C4DH25	A0A0C4DH25				7.16624e+07
A0A0C4DH30	A0A0C4DH30				1.89051e+06
A0A0C4DH31	A0A0C4DH31				890440
A0A0C4DH33	A0A0C4DH33				732315
A0A0C4DH34	A0A0C4DH34				7.97424e+06
A0A0C4DH35	A0A0C4DH35				101659
A0A0C4DH36	A0A0C4DH36				5.17205e+06
A0A0C4DH38	A0A0C4DH38				5.62446e+07
A0A0C4DH43	A0A0C4DH43				7.72276e+06
A0A0C4DH67	A0A0C4DH67				5.28742e+07
A0A0J9YX35	A0A0J9YX35				3.16603e+06
A0A0J9YXX1	A0A0J9YXX1				4.50112e+07
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				918728
A0M8Q6	P0CG04;P0DOY2;A0M8Q6;P0CF74;B9A064;P0DOX8				6.03495e+07
A1L4H1	A1L4H1				1.82017e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				796303
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				207731
A6NGN9	A6NGN9				3.09515e+06
A6NLU5	A6NLU5				2.1701e+06
A6NML5	A6NML5				1.04032e+06
A8MTW9	A8MTW9				1.05497e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				48040.4
B9A064;P0DOX8	B9A064;P0DOX8				1.96685e+08
I3L3R5	I3L3R5				489667
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				1.53445e+07
O00187;O00187-2	O00187;O00187-2				810967
O00264	O00264;O00264-2				2.14538e+06
O00292;O00292-2	O00292;O00292-2				477962
O00299	O00299				1.24957e+06
O00339-2	O00339;O00339-2;O00339-3				1.57586e+06
O00391	O00391;O00391-2				1.21497e+07
O00451	O00451;O00451-2;O00451-3				3.66022e+06
O00461	O00461				2.71641e+06
O00462	O00462				4.03519e+06
O00468-6	O00468-6;O00468-7				6.01447e+06
O00469;O00469-2;O00469-3	O00469;O00469-2;O00469-3				260403
O00533	O00533;O00533-2				5.24948e+07
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				1.27316e+06
O00584	O00584				5.78242e+06
O00754;O00754-2	O00754;O00754-2				1.5457e+06
O14498	O14498				2.57947e+07
O14514	O14514				674498
O14522;O14522-1	O14522;O14522-1				510581
O14594	O14594				1.4465e+07
O14657	O14657				78850
O14668;O14668-2	O14668;O14668-2				963427
O14672	O14672				3.7538e+06
O14733;O14733-2;O14733-3;O14733-4	O14733;O14733-2;O14733-3;O14733-4				1.77258e+07
O14773	O14773				1.05889e+07
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				5.60745e+06
O14791;O14791-2	O14791;O14791-2;O14791-3				1.06199e+07
O14793	O14793				742804
O14917;O14917-2	O14917;O14917-2				2.16126e+06
O14960	O14960				314799
O15031	O15031				1.80638e+07
O15041;O15041-2	O15041;O15041-2				171708
O15197;O15197-3	O15197;O15197-3				2.31782e+06
O15204;O15204-2	O15204;O15204-2				1.45048e+06
O15230	O15230				1.81335e+06
O15232;O15232-2	O15232;O15232-2				1.29752e+06
O15240	O15240				7.11583e+07
O15335	O15335				1.83251e+06
O15354	O15354				9.49464e+06
O15394	O15394;O15394-2				8.1049e+06
O15466;O15466-2	O15466;O15466-2				684453
O15540;O15540-2	O15540;O15540-2				2.07476e+06
O43155	O43155				523414
O43157	O43157;O43157-2;O43157-3				1.69675e+06
O43173	O43173				1.11277e+06
O43240	O43240				1.14733e+06
O43278;O43278-2	O43278;O43278-2				1.31248e+06
O43291;O43291-2	O43291;O43291-2				2.65588e+06
O43300	O43300				1.79711e+06
O43405;O43405-2	O43405;O43405-2				2.24507e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-4;O43493-7				4.37172e+06
O43505	O43505				1.7871e+08
O43508-2	O75888;O43508-2;O75888-2;O75888-4;O75888-5				827106
O43529	O43529				1.77047e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				7.10429e+06
O43567	O43567				4.82455e+06
O43736;O43736-2	O43736;O43736-2				105176
O43827	O43827				4.76502e+06
O43852;O43852-15;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-15;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9				123011
O43854;O43854-2	O43854;O43854-2				2.6121e+06
O43866	O43866				572674
O43897;O43897-2	O43897;O43897-2				547808
O43916	O43916				511032
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.71898e+06
O60242	O60242				884592
O60243	O60243;O60243-2				1.2218e+06
O60245;O60245-2	O60245;O60245-2				1.07271e+06
O60279	O60279				1.24525e+07
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				505108
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				1.30388e+06
O60476	O60476				2.33156e+06
O60512	O60512				92950
O60568	O60568				1.77003e+06
O60613	O60613				1.2797e+06
O60883	O60883				1.59283e+07
O60888-3	O60888;O60888-2;O60888-3				2.86007e+06
O60909;O60909-2;O60909-3	O60909;O60909-2;O60909-3				599809
O75063	O75063				1.31792e+06
O75071	O75071				2.979e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				596576
O75078	O75078;O75078-2				1.68206e+06
O75083	O75083;O75083-3				958142
O75144;O75144-2	O75144;O75144-2;O75144-3				1.26971e+07
O75173;O75173-2	O75173;O75173-2				6.10647e+06
O75223	O75223				7.684e+06
O75326	O75326;O75326-2				2.06613e+07
O75340;O75340-2	O75340;O75340-2				210013
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.84979e+06
O75368	O75368				1.67374e+06
O75493	O75493				5.51776e+06
O75503	O75503				3.31404e+06
