Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_F7_81784602_repeat.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.21242e+08
A0A075B6H9	A0A075B6H9				1.79161e+07
A0A075B6I0	A0A075B6I0				7.53264e+07
A0A075B6I1	A0A075B6I1				3.06324e+06
A0A075B6I9	A0A075B6I9				6.01763e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				1.0367e+06
A0A075B6J9	A0A075B6J9				1.73706e+07
A0A075B6K0	A0A075B6K0				2.55604e+07
A0A075B6K2	A0A075B6K2				537064
A0A075B6K4	A0A075B6K0;A0A075B6K4				5.08769e+06
A0A075B6K5	A0A075B6K5				9.26607e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.70043e+08
A0A075B6Q5	A0A075B6Q5				3.32796e+06
A0A075B6R2	A0A075B6R2				1.84693e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				3.05252e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.56966e+08
A0A075B6S5	A0A075B6S5				2.25432e+06
A0A087WSX0	A0A087WSX0				5.13932e+06
A0A087WSY4	A0A087WSY4				2.35115e+06
A0A087WSY6	A0A087WSY6				1.64822e+08
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.14511e+08
A0A0A0MS15	A0A0A0MS15				1.92828e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.52999e+06
A0A0A0MT89	A0A0A0MT89				3.26794e+06
A0A0B4J1U7	A0A0B4J1U7				1.06593e+07
A0A0B4J1V2	A0A0B4J1V2				1.77973e+06
A0A0B4J1V6	A0A0B4J1V6				1.10954e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				7.68731e+07
A0A0B4J1Y8	A0A0B4J1Y8				4.02128e+06
A0A0B4J1Y9	A0A0B4J1Y9				9.50601e+07
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				5.49452e+06
A0A0C4DH24	A0A0C4DH24				8.24063e+06
A0A0C4DH25	A0A0C4DH25				4.5076e+07
A0A0C4DH33	A0A0C4DH33				592962
A0A0C4DH34	A0A0C4DH34				1.09909e+07
A0A0C4DH36	A0A0C4DH36				8.19363e+06
A0A0C4DH38	A0A0C4DH38				2.90417e+07
A0A0C4DH43	A0A0C4DH43				7.83866e+06
A0A0C4DH67	A0A0C4DH67				2.633e+07
A0A0G2JS06	A0A0G2JS06				3.26765e+06
A0A0J9YX35	A0A0J9YX35				7.24652e+06
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				9.20042e+07
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				2.67442e+06
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.11772e+08
A1L4H1	A1L4H1				3.11118e+06
A2RU67	A2RU67				545421
A5D6W6	A5D6W6				6.60598e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.45376e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				639893
A6NGN9	A6NGN9				1.11675e+07
A6NKN8	A6NKN8				114603
A6NL88	A6NL88				6.74472e+06
A6NLU5	A6NLU5				3.09302e+07
A6NML5	A6NML5				3.2652e+06
A8MTW9	A8MTW9				1.47445e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				324631
C9JVW0	C9JVW0				2.33376e+07
I3L3R5	I3L3R5				1.28619e+06
O00115;O00115-2	O00115;O00115-2				5.58098e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				4.21844e+07
O00187;O00187-2	O00187;O00187-2				1.21561e+06
O00244	O00244				698550
O00264	O00264;O00264-2				3.94316e+06
O00292;O00292-2	O00292;O75610;O00292-2				692443
O00299	O00299				1.23624e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				2.43366e+06
O00391	O00391;O00391-2				1.9127e+07
O00451	O00451;O00451-2;O00451-3				3.08227e+07
O00461	O00461				1.10101e+07
O00462	O00462				1.16693e+07
