Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_G12_190225664.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				3.51099e+08
A0A075B6H9	A0A075B6H9				6.51192e+07
A0A075B6I0	A0A075B6I0				1.80559e+08
A0A075B6I1	A0A075B6I1				1.16871e+07
A0A075B6I9	A0A075B6I9				1.98888e+08
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				1.5554e+06
A0A075B6J9	A0A075B6J9				6.8708e+07
A0A075B6K4;P01715	P01715;A0A075B6K4				8.2249e+06
A0A075B6K5	A0A075B6K5				6.82924e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				7.00193e+08
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.80769e+07
A0A075B6S2	A0A075B6S2;A2NJV5				4.19262e+08
A0A075B6S5	A0A075B6S5				1.31572e+07
A0A075B6S6	A0A075B6S6				1.92777e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.35398e+07
A0A087WSY4	A0A087WSY4				1.80055e+07
A0A087WSY6	A0A087WSY6				2.0861e+08
A0A087WW87;P01614	P01614;A0A087WW87				764178
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.90063e+08
A0A0A0MS15	A0A0A0MS15				3.59915e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				8.24359e+06
A0A0A0MT89	A0A0A0MT89				2.76375e+07
A0A0B4J1U7	A0A0B4J1U7				5.36565e+07
A0A0B4J1V0	A0A0B4J1V0				3.23076e+06
A0A0B4J1V2	A0A0B4J1V2				1.77948e+07
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				2.61424e+08
A0A0B4J1Y8	A0A0B4J1Y8				1.84145e+07
A0A0B4J1Y9	A0A0B4J1Y9				4.40666e+08
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				1.25651e+06
A0A0C4DH24	A0A0C4DH24				7.86743e+06
A0A0C4DH25	A0A0C4DH25				4.58554e+07
A0A0C4DH30	A0A0C4DH30				547914
A0A0C4DH33	A0A0C4DH33				4.61675e+08
A0A0C4DH34	A0A0C4DH34				2.79062e+07
A0A0C4DH35	A0A0C4DH35				4.29507e+06
A0A0C4DH36	A0A0C4DH36				1.66099e+07
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				4.95961e+06
A0A0C4DH39	A0A0C4DH39				924101
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				6.89201e+07
A0A0C4DH43	P01814;A0A0C4DH43				2.50149e+06
A0A0C4DH67	A0A0C4DH67				1.33094e+08
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				3.18475e+07
A0A0G2JMI3	A0A0G2JMI3				43322.1
A0A0G2JS06	A0A0G2JS06				4.44798e+06
A0A0J9YX35	A0A0J9YX35				1.23492e+07
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				1.12579e+06
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				2.19469e+08
A1L4H1	A1L4H1				2.40482e+07
A2RU67	A2RU67				549640
A5D6W6	A5D6W6				2.8466e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				4.5843e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				1.80462e+06
A6NGN9	A6NGN9				1.30934e+07
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				4.15702e+06
A6NL88	A6NL88				2.3169e+06
A6NLU5	A6NLU5				1.65612e+07
A6NML5	A6NML5				3.37472e+06
A8MTW9	A8MTW9				4.64182e+06
B9A064;P0DOX8	B9A064;P0DOX8				6.33554e+08
C9JVW0	C9JVW0				2.29948e+07
I3L3R5	I3L3R5				930467
O00115;O00115-2	O00115;O00115-2				3.18534e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				4.14322e+07
O00187;O00187-2	O00187;O00187-2				3.27023e+06
O00244	O00244				1.73178e+06
O00264	O00264;O00264-2				2.5233e+08
O00292;O00292-2;O75610	O00292;O75610;O00292-2				1.93282e+06
O00299	O00299				2.44679e+06
O00300	O00300				867397
O00339-2	O00339;O00339-2;O00339-3				3.91538e+06
O00391	O00391;O00391-2				2.96244e+07
O00451	O00451;O00451-2;O00451-3				1.61151e+07
O00461	O00461				1.20321e+07
O00462	O00462				1.23091e+07
O00468-6	O00468-6;O00468-7				2.52745e+07
O00533	O00533				8.98126e+06
O00533-2	O00533;O00533-2				2.59798e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				2.74608e+06
O00567	O00567				520121
O00584	O00584				1.94855e+07
O00587;O00587-2	O00587;O00587-2				104435
O00754;O00754-2	O00754;O00754-2				3.65537e+06
O14498	O14498				1.10307e+08
O14514	O14514				2.91034e+06
O14522;O14522-1	O14522;O14522-1				1.02275e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				1.16451e+06
O14594	O14594				6.73391e+07
O14657	O14657				418554
O14668;O14668-2	O14668;O14668-2				2.19362e+06
O14672	O14672				2.9858e+06
O14737;O14737-2	O14737;O14737-2				195542
O14745	O14745;O14745-2				1.2178e+06
O14773	O14773				2.5747e+07
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				1.14892e+07
O14791-2	O14791;O14791-2;O14791-3				1.23903e+07
O14793	O14793				5.62892e+06
O14917;O14917-2	O14917;O14917-2				7.03174e+06
O14958;O14958-2	O14958;O14958-2				85596.4
O15031	O15031				5.19391e+07
O15041;O15041-2	O15041;O15041-2				721884
O15123;O15123-2;O15123-3	O15123;O15123-2;O15123-3				485674
O15145	O15145				128186
O15197;O15197-3	O15197;O15197-3				8.92434e+06
O15204;O15204-2	O15204;O15204-2				4.07126e+06
O15230	O15230				4.05815e+06
O15232;O15232-2	O15232;O15232-2				3.85287e+06
O15240	O15240				1.68661e+08
O15335	O15335				7.46477e+06
O15354	O15354				4.0372e+07
O15394	O15394;O15394-2				5.26892e+07
O15466;O15466-2	O15466;O15466-2				2.61395e+06
O15498;O15498-2	O15498;O15498-2				458685
O15540;O15540-2	O15540;O15540-2				8.97508e+06
O43155	O43155				886626
O43157	O43157;O43157-2;O43157-3				7.6878e+06
O43173	O43173				4.70471e+06
O43184;O43184-2;O43184-3;O43184-4	O43184;O43184-4;O43184-2;O43184-3				1.49958e+06
O43240	O43240				2.42371e+06
O43278;O43278-2	O43278;O43278-2				4.95967e+06
O43286	O43286				213940
