Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_G9_82879903_190312181946.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				5.62131e+08
A0A075B6H9	A0A075B6H9				4.50042e+07
A0A075B6I0	A0A075B6I0				3.16298e+07
A0A075B6I1	A0A075B6I1				1.99617e+06
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				4.12588e+06
A0A075B6J9	A0A075B6J9				5.15114e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				3.41621e+07
A0A075B6K5	A0A075B6K5				2.26494e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				2.55498e+08
A0A075B6R2	A0A075B6R2				5.22652e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				5.37786e+07
A0A075B6S2	A0A075B6S2;A2NJV5				3.39121e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				3.50092e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				7.40913e+06
A0A087WSY4	A0A087WSY4				1.58998e+07
A0A087WSY6	A0A087WSY6				7.54606e+08
A0A087WSZ0	A0A087WSZ0				5.55638e+06
A0A087WW87;P01614	P01614;A0A087WW87				47545.4
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				8.11244e+07
A0A0A0MS15	A0A0A0MS15				4.45447e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				3.43112e+06
A0A0B4J1U7	A0A0B4J1U7				4.89859e+07
A0A0B4J1V0	A0A0B4J1V0				8.11135e+08
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				2.84843e+08
A0A0B4J1Y8	A0A0B4J1Y8				1.95553e+07
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				2.72525e+06
A0A0C4DH24	A0A0C4DH24				2.40494e+07
A0A0C4DH25	A0A0C4DH25				1.20442e+08
A0A0C4DH33	A0A0C4DH33				2.96952e+06
A0A0C4DH34	A0A0C4DH34				6.07162e+06
A0A0C4DH35	A0A0C4DH35				5.511e+06
A0A0C4DH36	A0A0C4DH36				1.27903e+07
A0A0C4DH38	A0A0C4DH38				7.62495e+07
A0A0C4DH39	A0A0C4DH39				8.2699e+06
A0A0C4DH43	A0A0C4DH43				1.96625e+07
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				2.38548e+07
A0A0J9YX35	A0A0J9YX35				2.51645e+07
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				1.6597e+08
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				555228
A0M8Q6	P0CG04;P0DOY2;A0M8Q6;P0CF74;B9A064;P0DOX8				6.30026e+08
A1L4H1	A1L4H1				7.20094e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				183514
A6NGN9	A6NGN9				6.29762e+06
A6NL88	A6NL88				143506
A6NLU5	A6NLU5				9.92886e+06
A6NML5	A6NML5				1.46284e+06
A8MTW9	A8MTW9				495256
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				904870
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				224247
C9JVW0	C9JVW0				517713
O00115;O00115-2	O00115;O00115-2				3.19486e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				3.22946e+07
O00187;O00187-2	O00187;O00187-2				821108
O00264	O00264;O00264-2				1.26146e+06
O00292;O00292-2	O00292;O00292-2				2.9875e+06
O00299	O00299				1.07086e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				2.40754e+06
O00391	O00391;O00391-2				3.40266e+07
O00451	O00451;O00451-2;O00451-3				5.86527e+06
O00461	O00461				1.18485e+07
O00462	O00462				4.32922e+06
O00468-6	O00468-6;O00468-7				9.13307e+06
O00533	O00533				2.7632e+06
O00533-2	O00533;O00533-2				1.19073e+08
O00584	O00584				1.04398e+07
O00754;O00754-2	O00754;O00754-2				914927
O14498	O14498				6.22013e+07
O14522;O14522-1	O14522;O14522-1				1.43414e+06
O14594	O14594				1.95198e+08
O14657	O14657				155816
O14672	O14672				3.95982e+06
O14745	O14745				152736
O14773	O14773				9.94256e+06
O14786	O14786;O14786-2;O14786-3				3.72493e+06
O14791;O14791-2	O14791;O14791-2;O14791-3				5.31248e+07
O14793	O14793				3.13066e+06
O14917;O14917-2	O14917;O14917-2				2.89611e+06
O15031	O15031				1.2e+07
O15197;O15197-3	O15197;O15197-3				5.24238e+06
O15204;O15204-2	O15204;O15204-2				2.64467e+06
O15230	O15230				1.3558e+06
O15232;O15232-2	O15232;O15232-2				1.63718e+06
O15240	O15240				8.09538e+07
O15335	O15335				2.62624e+06
O15354	O15354				3.24699e+07
O15389;Q08ET2	O15389;Q08ET2				633594
O15394	O15394;O15394-2				2.00471e+07
O15466;O15466-2	O15466;O15466-2				366772
O15540;O15540-2	O15540;O15540-2				3.24757e+06
O43157	O43157;O43157-2;O43157-3				9.0467e+06
O43173	O43173				2.96183e+06
O43240	O43240				1.93955e+06
O43278;O43278-2	O43278;O43278-2				2.33288e+06
O43291;O43291-2	O43291;O43291-2				3.4871e+06
O43300	O43300				841962
O43323	O43323				1.27776e+06
O43405;O43405-2	O43405;O43405-2				1.21247e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				1.32802e+07
O43505	O43505				3.4116e+08
O43529	O43529				6.76323e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.04667e+07
O43567	O43567				2.10278e+07
O43827	O43827				9.20856e+06
O43837;O43837-2;O43837-3	O43837;O43837-2;O43837-3				6.1683e+06
O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				276311
O43866	O43866				5.94529e+06
O43916	O43916				1.14345e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				5.04894e+06
O60242	O60242				1.46116e+06
O60243	O60243;O60243-2				2.75332e+06
O60245;O60245-2	O60245;O60245-2				995442
O60279	O60279				2.33287e+07
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				1.85692e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				5.81877e+06
O60476	O60476				3.71186e+06
O60512	O60512				279696
O60568	O60568				2.51016e+06
O60613	O60613				2.01424e+06
O60883	O60883				3.52947e+07
O60888-3	O60888-3				4.74087e+06
O60909;O60909-2;O60909-3	O60909;O60909-2;O60909-3				26075.2
O60939	O60939				1.20176e+06
O75063	O75063				2.08121e+06
O75071	O75071				3.05161e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				7.00706e+06
O75078	O75078;O75078-2				8.16154e+06
O75084;Q14332	O75084;Q14332				794319
O75144;O75144-2	O75144;O75144-2;O75144-3				1.167e+07
