Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_H3_129190521_repeat.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				3.20602e+08
A0A075B6H9	A0A075B6H9				1.57661e+07
A0A075B6I0	A0A075B6I0				3.13378e+07
A0A075B6I9	A0A075B6I9				6.00784e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				1.19498e+06
A0A075B6J9	P01699;P01700;P01706;P01709;P01721;P01703;A0A075B6J9;P0DOX8				2.24178e+07
A0A075B6K4	A0A075B6K0;A0A075B6K4				5.46903e+06
A0A075B6K5	A0A075B6K5				5.50841e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.40625e+08
A0A075B6R2	A0A075B6R2				1.12428e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.85124e+07
A0A075B6S2	A0A075B6S2				875864
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				6.2739e+07
A0A075B6S6	A0A075B6S6				702539
A0A087WSX0	A0A087WSX0				3.33248e+06
A0A087WSY4	A0A087WSY4				6.13797e+06
A0A087WSY6	A0A087WSY6				1.31459e+08
A0A087WW87;P01614	P01614;A0A087WW87				93250.5
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.09916e+08
A0A0A0MS15	A0A0A0MS15				1.6468e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				473510
A0A0A0MT89	A0A0A0MT89				6.07803e+06
A0A0B4J1U7	A0A0B4J1U7				7.76026e+06
A0A0B4J1V2	A0A0B4J1V2				6.03438e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				6.87765e+07
A0A0B4J1Y8	A0A0B4J1Y8				1.58194e+07
A0A0B4J1Y9	A0A0B4J1Y9				9.92356e+07
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				2.93001e+06
A0A0C4DH24	A0A0C4DH24				1.24122e+06
A0A0C4DH25	A0A0C4DH25				3.95992e+07
A0A0C4DH34	A0A0C4DH34				5.29068e+06
A0A0C4DH35	A0A0C4DH35				2.08129e+06
A0A0C4DH36	A0A0C4DH36				4.72128e+06
A0A0C4DH38	A0A0C4DH38				4.38603e+07
A0A0C4DH39	A0A0C4DH39				3.94091e+06
A0A0C4DH43	A0A0C4DH43				2.05648e+07
A0A0C4DH67;A0A0C4DH69	A0A0C4DH67;A0A0C4DH69				3.67293e+06
A0A0G2JMI3	A0A0G2JMI3				1.30569e+07
A0A0G2JS06	A0A0G2JS06				1.73983e+07
A0A0J9YX35	A0A0J9YX35				9.08267e+06
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				2.68118e+07
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				597254
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.27672e+08
A1L4H1	A1L4H1				6.85968e+06
A2NJV5	A0A075B6S2;A2NJV5				2.85521e+08
A2RU67	A2RU67				610773
A5D6W6	A5D6W6				1.4956e+07
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				2.4197e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				585780
A6NGN9	A6NGN9				1.39389e+07
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				5.14694e+06
A6NKN8	A6NKN8				236241
A6NL88	A6NL88				8.16002e+06
A6NLU5	A6NLU5				3.64188e+07
A6NML5	A6NML5				3.86787e+06
A6NMY6;P07355;P07355-2	A6NMY6;P07355;P07355-2				110053
A8MTW9	A8MTW9				4.21372e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				606966
C9JVW0	C9JVW0				2.03923e+07
I3L3R5	I3L3R5				2.53681e+06
O00115;O00115-2	O00115;O00115-2				5.8838e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				5.52041e+07
O00187;O00187-2	O00187;O00187-2				1.56072e+06
O00230	O00230				135499
O00244	O00244				2.24041e+06
O00264	O00264;O00264-2				2.01411e+08
O00292;O00292-2	O00292;O75610;O00292-2				1.05222e+06
O00299	O00299				1.69996e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				3.29754e+06
O00391	O00391;O00391-2				2.59616e+07
O00451	O00451;O00451-2;O00451-3				2.36613e+07
O00461	O00461				1.29709e+07
O00462	O00462				9.30876e+06
O00468-6	O00468-6;O00468-7				3.37962e+07
O00469;O00469-2;O00469-3	O00469;O00469-2;O00469-3				450671
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9				3.42615e+06
O00533	O00533				1.61464e+07
O00533-2	O00533;O00533-2				3.48631e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				1.37809e+06
O00567	O00567				555232
O00584	O00584				2.6641e+07
O00587;O00587-2	O00587;O00587-2				147910
O00754;O00754-2	O00754;O00754-2				3.48335e+06
O14498	O14498				4.6021e+07
O14514	O14514				4.97104e+06
O14522	O14522;O14522-1				2.80491e+06
O14525;O14525-2	O14525;O14525-2;O14525-3				1.03796e+06
O14594	O14594				2.7432e+08
O14657	O14657				234940
O14668;O14668-2	O14668;O14668-2				3.70204e+06
O14672	O14672				9.24757e+06
O14733;O14733-2;O14733-3;O14733-4	O14733;O14733-2;O14733-3;O14733-4				2.89154e+07
O14737;O14737-2	O14737;O14737-2				522481
O14745	O14745;O14745-2				419170
O14773	O14773				2.31261e+07
O14786	O14786;O14786-2;O14786-3				1.04848e+07
O14791-2	O14791;O14791-2;O14791-3				8.03094e+07
O14793	O14793				2.96922e+06
O14810	O14810;Q6PUV4				2.5899e+06
O14818	O14818;O14818-4				702753
O14917;O14917-2	O14917;O14917-2				7.14839e+06
O14958;O14958-2	O14958;O14958-2				23426.5
O14960	O14960				1.84695e+06
O15031	O15031				1.16958e+07
O15041;O15041-2	O15041;O15041-2				4.04554e+06
O15123;O15123-2;O15123-3	O15123;O15123-2;O15123-3				368236
O15197;O15197-3	O15197;O15197-3				1.35726e+07
O15204;O15204-2	O15204;O15204-2				1.93308e+06
O15230	O15230				5.68226e+06
O15232;O15232-2	O15232;O15232-2				3.98723e+06
O15240	O15240				2.93432e+08
O15335	O15335				9.61918e+06
O15354	O15354				3.34332e+07
O15394	O15394;O15394-2				4.41909e+07
O15400;O15400-2	O15400;O15400-2				2.27163e+06
O15466;O15466-2	O15466;O15466-2				3.16879e+06
O15498;O15498-2	O15498;O15498-2				433625
O43155	O43155				1.18778e+06
O43157	O43157;O43157-2;O43157-3				4.49563e+06
O43173	O43173				5.64209e+06
O43184;O43184-2;O43184-3;O43184-4	O43184;O43184-4;O43184-2;O43184-3				678874
O43240	O43240				3.55446e+06
O43278;O43278-2	O43278;O43278-2				4.02523e+06
O43286	O43286				75746.2
O43291	O43291				1.23388e+07
O43300	O43300				6.31848e+06
O43323	O43323				669227
O43396	O43396				718530
O43405	O43405;O43405-2				4.37891e+07
O43491;O43491-4	O43491;O43491-2;O43491-3;O43491-4				336582
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				3.38403e+07
O43504	O43504				1.43789e+06
O43505	O43505				6.6977e+08
O43508-2	O75888;O43508-2;O75888-2;O75888-4;O75888-5				1.8811e+06
O43529	O43529				1.08174e+08
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.50444e+07
O43567	O43567				3.12556e+08
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				2.05686e+06
O43736;O43736-2	O43736;O43736-2				404802
O43827	O43827				2.59801e+07
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				6.42947e+06
O43854;O43854-2	O43854;O43854-2				371875
O43866	O43866				7.88178e+06
O43897;O43897-2	O43897;O43897-2				1.72492e+06
O43909	O43909				1.1823e+06
O43916	O43916				2.21465e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				2.07597e+07
O60242	O60242				3.92065e+06
O60243	O60243;O60243-2				5.70128e+06
O60245;O60245-2	O60245;O60245-2				5.38706e+06
O60279	O60279				2.84902e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				6.41647e+06
O60330	O60330;Q9Y5G5;Q9Y5G8;Q9Y5G9;O60330-2;Q9Y5G5-2;Q9Y5G8-2;Q9Y5G9-2				1.5411e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				2.21381e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				5.32238e+07
O60476	O60476				4.96644e+06
O60477	O60477;Q76B58;O60477-3;Q76B58-2				719104
O60486	O60486				1.31353e+06
O60512	O60512				2.69456e+06
O60565	O60565				889802
O60568	O60568				5.06531e+06
O60613	O60613				3.5726e+06
O60741	O60741				323039
O60883	O60883				1.20942e+08
O60888-3	O60888;O60888-2;O60888-3				2.41067e+07
O60909;O60909-2;O60909-3	O60909;O60909-2;O60909-3				1.81199e+06
O60939	O60939				5.86521e+06
O75051;O75051-2	O75051;O75051-2				1.4077e+06
O75063	O75063				4.26894e+06
O75071	O75071				9.8091e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				8.91249e+06
O75078	O75078;O75078-2				8.29197e+06
O75083	O75083;O75083-3				2.37486e+06
O75084;Q14332	O75084;Q14332				935383
O75096	O75096				275037
O75144;O75144-2	O75144;O75144-2;O75144-3				4.99666e+07
O75173;O75173-2	O75173;O75173-2				1.40799e+07
O75223	O75223;O75223-3				2.20399e+06
O75326	O75326;O75326-2				7.24082e+07
O75339	O75339				1.25371e+06
O75347;O75347-2	O75347;O75347-2				2.43741e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.48701e+06
O75363-2	O75363;O75363-2				622847
O75368	O75368				4.47612e+06
O75385	O75385				2.05016e+06
O75467;Q6AW86	O75467;Q6AW86				1.04553e+07
O75487	O75487;O75487-2				2.83419e+06
O75493	O75493				5.29303e+07
O75503	O75503				6.09668e+06
O75509	O75509				2.91931e+07
O75629	O75629				2.4322e+06
O75636;O75636-2	O75636;O75636-2				1.68577e+06
O75711	O75711				5.34187e+08
O75752	O75752				1.15296e+07
O75781;O75781-2	O75781;O75781-2				5.0686e+06
O75787;O75787-2	O75787;O75787-2				6.83002e+07
O75874	O75874				1.30417e+06
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				4.85755e+07
O75973	O75973				1.33202e+06
O75976	O75976				2.64446e+06
O76061	O76061				5.41449e+06
O76070	O76070				2.35373e+06
O94760	O94760;O94760-2				1.66314e+07
O94766	O94766;Q9NPZ5				2.73808e+06
O94769	O94769;O94769-2				1.86604e+07
O94772;O94772-2	O94772;O94772-2				1.69608e+08
O94779;O94779-2	O94779;O94779-2;O94779-4				1.44839e+06
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				6.81438e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				4.59824e+06
O94898	O94898				1.09938e+06
O94910;O94910-2	O94910;O94910-2				1.23468e+07
O94919	O94919				6.5475e+07
O94923	O94923				409960
O94933	O94933				3.3573e+06
O94973;O94973-2	O94973;O94973-2				519001
O94985	O94985				3.25665e+06
O94985-2	O94985;O94985-2				4.18844e+08
O94991	O94991;O94991-2				1.05898e+07
O95025	O95025				828837
O95084;O95084-2	O95084;O95084-2				2.79498e+06
O95156	O95156				884418
O95157	O95157				1.82159e+06
O95158	O95158				2.52433e+07
O95159	O95159				1.13195e+06
O95185;O95185-2	O95185;O95185-2				6.5558e+06
O95196;O95196-2	O95196;O95196-2				1.29117e+07
O95206;O95206-2	O95206;O95206-2				6.64562e+06
