Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_H7_129187195.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				3.0445e+08
A0A075B6H9	A0A075B6H9				2.87958e+07
A0A075B6I0	A0A075B6I0				1.41913e+07
A0A075B6I1	A0A075B6I1				3.10213e+06
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				4.11621e+06
A0A075B6J9	A0A075B6J9				3.14461e+07
A0A075B6K2	A0A075B6K2				1.1179e+06
A0A075B6K5	A0A075B6K5				1.23759e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				5.08613e+08
A0A075B6R2	A0A075B6R2				1.88666e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				5.61005e+07
A0A075B6S2	A0A075B6S2;A2NJV5				3.16768e+08
A0A075B6S5	A0A075B6S5				2.27397e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.98211e+06
A0A087WSY4	A0A087WSY4				1.70812e+07
A0A087WSY6	A0A087WSY6				1.81807e+08
A0A087WW87;P01614	P01614;A0A087WW87				832387
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.94392e+08
A0A0A0MS15	A0A0A0MS15				4.69735e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				597282
A0A0A0MT89	A0A0A0MT89				4.45741e+06
A0A0B4J1U7	A0A0B4J1U7				1.18471e+07
A0A0B4J1V0	A0A0B4J1V0				1.25598e+08
A0A0B4J1V2	A0A0B4J1V2				5.7108e+06
A0A0B4J1X5	A0A0B4J1X5				5.37535e+07
A0A0B4J1Y8	A0A0B4J1Y8				6.04795e+06
A0A0B4J1Y9	A0A0B4J1Y9				1.21306e+07
A0A0B4J2H0	A0A0B4J2H0				1.12636e+06
A0A0C4DH24	A0A0C4DH24				7.36543e+06
A0A0C4DH25	A0A0C4DH25				8.06488e+07
A0A0C4DH29	A0A0C4DH29				18143.9
A0A0C4DH33	A0A0C4DH33				1.64694e+06
A0A0C4DH34	A0A0C4DH34				2.01204e+07
A0A0C4DH35	A0A0C4DH35				3.15552e+06
A0A0C4DH36	A0A0C4DH36				1.25354e+07
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				7.16934e+06
A0A0C4DH43	A0A0C4DH43				1.28998e+07
A0A0C4DH67	A0A0C4DH67				6.81422e+07
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				1.88682e+07
A0A0G2JMI3	A0A0G2JMI3				7.66915e+06
A0A0J9YX35	A0A0J9YX35				1.09538e+07
A0A0J9YXX1	A0A0J9YXX1				1.4904e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.51067e+08
A1L4H1	A1L4H1				5.4007e+06
A2RU67	A2RU67				400309
A5D6W6	A5D6W6				4.48106e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.06518e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				739432
A6NGN9	A6NGN9				1.14955e+07
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				4.77832e+06
A6NL88	A6NL88				2.57323e+06
A6NLU5	A6NLU5				3.59043e+07
A6NML5	A6NML5				5.46311e+06
A8MTW9	A8MTW9				4.44661e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				699125
C9JVW0	C9JVW0				2.18038e+07
I3L3R5	I3L3R5				1.63366e+06
O00115;O00115-2	O00115;O00115-2				7.56923e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				7.76067e+07
O00187;O00187-2	O00187;O00187-2				1.88814e+06
O00230	O00230				441675
O00244	O00244				1.3245e+06
O00264	O00264;O00264-2				6.66796e+06
O00292;O00292-2	O00292;O00292-2				1.0182e+06
O00299	O00299				2.71976e+06
O00300	O00300				1.12179e+06
O00339-2	O00339;O00339-2;O00339-3				5.60896e+06
O00391	O00391;O00391-2				3.17404e+07
O00451	O00451;O00451-2;O00451-3				3.13039e+07
O00461	O00461				1.41575e+07
O00462	O00462				1.41826e+07
O00468-6	O00468-6;O00468-7				4.59293e+07
O00469;O00469-2;O00469-3	O00469;O00469-2;O00469-3				1.41723e+06
O00533	O00533				1.4152e+07
O00533-2	O00533;O00533-2				4.25077e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				3.70775e+06
O00567	O00567				583924
O00584	O00584				3.18722e+07
O00587;O00587-2	O00587;O00587-2				175730
O00754;O00754-2	O00754;O00754-2				5.08449e+06
O14498	O14498				7.90533e+07
O14514	O14514				4.31724e+06
O14522	O14522;O14522-1				2.2856e+06
O14525;O14525-2	O14525;O14525-2;O14525-3				1.34175e+06
O14594	O14594				2.2168e+08
O14657	O14657				493649
O14668;O14668-2	O14668;O14668-2				3.4476e+06
O14672	O14672				9.82669e+06
O14733;O14733-2;O14733-3;O14733-4	O14733;O14733-2;O14733-3;O14733-4				4.48974e+07
O14737;O14737-2	O14737;O14737-2				281725
O14745	O14745;O14745-2				1.05071e+06
O14773	O14773				2.94165e+07
O14786	O14786;O14786-2;O14786-3				1.61636e+07
O14791-2	O14791;O14791-2;O14791-3				7.28569e+06
O14793	O14793				4.08672e+06
O14810	O14810;Q6PUV4				622303
O14917;O14917-2	O14917;O14917-2				5.99262e+06
O14960	O14960				5.10769e+06
O15031	O15031				4.77308e+07
O15041;O15041-2	O15041;O15041-2				1.24641e+06
O15118	O15118				792666
O15123;O15123-2;O15123-3	O15123;O15123-2;O15123-3				396924
O15145	O15145				218990
O15197;O15197-3	O15197;O15197-3				1.6001e+07
O15204;O15204-2	O15204;O15204-2				2.03798e+06
O15230	O15230				4.55308e+06
O15232;O15232-2	O15232;O15232-2				6.41803e+06
O15240	O15240				4.06764e+08
O15335	O15335				5.42395e+06
O15354	O15354				5.34164e+07
O15394	O15394;O15394-2				7.07643e+07
O15400;O15400-2	O15400;O15400-2				1.83073e+06
O15466;O15466-2	O15466;O15466-2				1.62628e+06
O15540;O15540-2	O15540;O15540-2				4.62421e+06
O43155	O43155				1.37771e+06
O43157	O43157;O43157-2;O43157-3				7.99036e+06
O43173	O43173				5.70336e+06
O43240	O43240				2.9304e+06
O43278;O43278-2	O43278;O43278-2				3.4801e+06
O43291	O43291				1.57574e+07
O43300	O43300				5.91654e+06
O43323	O43323				1.21156e+06
O43396	O43396				553654
O43405	O43405;O43405-2				4.18348e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				7.51315e+07
O43504	O43504				448748
O43505	O43505				1.27518e+09
O43508	O43508				2.10525e+06
O43508-2;O75888;O75888-2;O75888-4;O75888-5	O75888;O43508-2;O75888-2;O75888-4;O75888-5				1.71908e+06
O43529	O43529				1.38449e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				8.30636e+06
O43567	O43567				2.92358e+07
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				1.30519e+06
O43707	O43707;P12814;P35609;Q08043;P12814-2;P12814-3;P12814-4;P35609-2				607202
O43736;O43736-2	O43736;O43736-2				3.61176e+06
O43827	O43827				1.44639e+07
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				2.07696e+07
O43854;O43854-2	O43854;O43854-2				1.79461e+06
O43866	O43866				8.42726e+06
O43897;O43897-2	O43897;O43897-2				1.74396e+06
O43909	O43909				870766
O43916	O43916				2.78029e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				4.14955e+07
O60242	O60242				3.56402e+06
O60243	O60243;O60243-2				6.05793e+06
O60245;O60245-2	O60245;O60245-2				4.66775e+06
O60279	O60279				3.84341e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				5.02772e+06
O60330;O60330-2	O60330;Q9Y5G5;Q9Y5G8;Q9Y5G9;O60330-2;Q9Y5G5-2;Q9Y5G8-2;Q9Y5G9-2				5.70562e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				2.23503e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				1.48044e+07
O60476	O60476				5.24273e+06
O60477	O60477;Q76B58;O60477-3;Q76B58-2				805422
O60486	O60486				169865
O60512	O60512				3.55358e+06
O60565	O60565				1.25238e+06
O60568	O60568				8.56647e+06
O60613	O60613				5.55815e+06
O60741	O60741				853564
