Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_C3_82874751.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				6.79813e+08
A0A075B6H9	A0A075B6H9				1.11389e+07
A0A075B6I1	A0A075B6I1				1.15563e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				8.15349e+06
A0A075B6J9	A0A075B6J9				4.72704e+06
A0A075B6K2	A0A075B6K2				1.07649e+06
A0A075B6K5	A0A075B6K5				6.97528e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				9.14343e+08
A0A075B6Q5	A0A075B6Q5				8.80984e+06
A0A075B6R2	A0A075B6R2				2.83649e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				5.09097e+07
A0A075B6S2	A0A075B6S2;A2NJV5				5.44486e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				1.11083e+08
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.23263e+07
A0A087WSY6	A0A087WSY6				2.91086e+08
A0A087WSZ0	A0A087WSZ0				1.75488e+06
A0A087WW87;P01614	P01614;A0A087WW87				461900
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				4.77881e+08
A0A0A0MS15	A0A0A0MS15				1.71192e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.46894e+06
A0A0A0MT89	A0A0A0MT89				1.30922e+07
A0A0B4J1U7	A0A0B4J1U7				9.09904e+06
A0A0B4J1V0	A0A0B4J1V0				3.85584e+06
A0A0B4J1V2	A0A0B4J1V2				6.05152e+06
A0A0B4J1V6	A0A0B4J1V6				1.53051e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.56953e+08
A0A0B4J1Y8	A0A0B4J1Y8				1.11095e+07
A0A0B4J1Y9	A0A0B4J1Y9				3.97132e+08
A0A0C4DH24	A0A0C4DH24				1.35412e+07
A0A0C4DH25	A0A0C4DH25				5.675e+07
A0A0C4DH29	P23083;P01743;A0A0C4DH29;A0A0C4DH31;A0A0C4DH33;A0A0J9YVY3;P0DP01				1.50466e+07
A0A0C4DH30	A0A0C4DH30				609044
A0A0C4DH31	A0A0C4DH31				1.09004e+06
A0A0C4DH33	A0A0C4DH33				1.6554e+06
A0A0C4DH34	A0A0C4DH34				1.96472e+07
A0A0C4DH35	A0A0C4DH35				7.01936e+06
A0A0C4DH36	A0A0C4DH36				7.22485e+06
A0A0C4DH38	A0A0C4DH38				3.55838e+07
A0A0C4DH43	A0A0C4DH43				4.04404e+07
A0A0C4DH67	A0A0C4DH67				1.2677e+06
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				2.32207e+07
A0A0G2JMI3	A0A0G2JMI3				2.55168e+07
A0A0G2JS06	A0A0G2JS06				4.06037e+06
A0A0J9YX35	A0A0J9YX35				1.53871e+07
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				1.91055e+08
A0A1B0GUS4;P68036;P68036-2;P68036-3	P68036;A0A1B0GUS4;P68036-2;P68036-3				1.95164e+06
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				1.57756e+06
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				2.17019e+08
A1L4H1	A1L4H1				6.36731e+06
A2RU67	A2RU67				498811
A5D6W6	A5D6W6				2.03427e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				2.0532e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				717257
A6NGN9	A6NGN9				1.09e+07
A6NL88	A6NL88				3.64802e+06
A6NLU5	A6NLU5				1.29894e+07
A6NML5	A6NML5				4.45255e+06
A6NMY6;P07355;P07355-2	A6NMY6;P07355;P07355-2				1.29299e+06
A8MTW9	A8MTW9				2.4488e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				457978
C9JVW0	C9JVW0				1.42949e+07
I3L3R5	I3L3R5				1.40477e+06
O00115;O00115-2	O00115;O00115-2				6.37579e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				8.16086e+07
O00187;O00187-2	O00187;O00187-2				1.89052e+06
O00244	O00244				1.41253e+06
O00264	O00264;O00264-2				5.38285e+06
O00299	O00299				3.24096e+06
O00339;O00339-2	O00339;O00339-2;O00339-3				4.1284e+06
O00391	O00391;O00391-2				3.6792e+07
O00451	O00451;O00451-2;O00451-3				2.14631e+07
O00461	O00461				1.02479e+07
O00462	O00462				1.27896e+07
O00468-6	O00468-6;O00468-7				2.14951e+07
O00533	O00533;O00533-2				2.79726e+08
O00533-2	O00533-2				1.48826e+07
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				3.07252e+06
O00584	O00584				1.21087e+07
O00587;O00587-2	O00587;O00587-2				23780.5
O00754;O00754-2	O00754;O00754-2				5.46863e+06
O14498	O14498				1.14608e+08
O14514	O14514				2.81977e+06
O14522	O14522;O14522-1				1.28395e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				1.18912e+06
O14594	O14594				4.23428e+07
O14657	O14657				389113
O14668;O14668-2	O14668;O14668-2				3.60664e+06
O14672	O14672				7.37999e+06
O14733;O14733-2;O14733-3;O14733-4	O14733;O14733-2;O14733-3;O14733-4				5.58438e+07
O14737;O14737-2	O14737;O14737-2				320744
O14745	O14745				567843
O14773	O14773				2.18357e+07
O14786	O14786;O14786-2;O14786-3				1.35053e+07
O14791;O14791-2	O14791;O14791-2;O14791-3				2.78773e+07
O14793	O14793				4.26459e+06
O14810	O14810				516414
O14917;O14917-2	O14917;O14917-2				4.64363e+06
O14960	O14960				1.31834e+06
O15031	O15031				5.24341e+07
O15041;O15041-2	O15041;O15041-2				819732
O15123;O15123-2;O15123-3	O15123;O15123-2;O15123-3				445550
O15197;O15197-3	O15197;O15197-3				1.1395e+07
O15204;O15204-2	O15204;O15204-2				2.18829e+06
O15230	O15230				3.52797e+06
O15232;O15232-2	O15232;O15232-2				2.76947e+06
O15240	O15240				1.72685e+08
O15335	O15335				1.43854e+07
O15354	O15354				4.50606e+07
O15394	O15394;O15394-2				8.63387e+07
O15466;O15466-2	O15466;O15466-2				2.02436e+06
O15540;O15540-2	O15540;O15540-2				6.22742e+06
O43155	O43155				3.75401e+07
O43157	O43157;O43157-2;O43157-3				8.48245e+06
O43173	O43173				4.35799e+06
O43240	O43240				2.59051e+06
O43278;O43278-2	O43278;O43278-2				2.95315e+06
O43291	O43291				1.21077e+07
O43300	O43300				7.71003e+06
O43405;O43405-2	O43405;O43405-2				4.23729e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-4;O43493-7				4.50478e+07
O43504	O43504				1.39295e+06
O43505	O43505				5.43541e+08
O43508	O43508				1.23871e+06
O43508-2;O75888;O75888-2;O75888-3;O75888-4;O75888-5	O75888;O75888-3;O43508-2;O75888-2;O75888-4;O75888-5				2.47298e+06
O43529	O43529				1.2231e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.10019e+07
O43567	O43567				1.21252e+07
O43581-2;O43581-3;O43581-5	O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6				1.32125e+06
O43707	O43707;P12814;P35609;Q08043;P12814-2;P12814-3;P12814-4;P35609-2				1.79853e+06
O43736;O43736-2	O43736;O43736-2				1.46688e+06
O43827	O43827				5.56956e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				1.87099e+06
O43854;O43854-2	O43854;O43854-2				2.03779e+06
O43866	O43866				8.40096e+06
O43897;O43897-2	O43897;O43897-2				3.13437e+06
O43909	O43909				1.09003e+06
O43916	O43916				1.66146e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				2.03778e+07
O60242	O60242				2.83415e+06
O60243	O60243				3.43533e+06
O60245;O60245-2	O60245;O60245-2				3.14192e+06
O60279	O60279				4.01595e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				6.06444e+06
O60330;O60330-2	O60330;Q9Y5G5;Q9Y5G8;Q9Y5G9;O60330-2;Q9Y5G5-2;Q9Y5G8-2;Q9Y5G9-2				4.15709e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				1.20176e+07
O60476	O60476				2.80211e+07
O60477;O60477-3	O60477;Q76B58;O60477-3;Q76B58-2				429995
O60512	O60512				2.95555e+06
O60565	O60565				961873
O60568	O60568				5.35034e+06
O60613	O60613				4.23292e+06
O60883	O60883				1.10615e+08
O60888-3	O60888;O60888-2;O60888-3				9.10578e+06
O60909;O60909-2;O60909-3	O60909;O60909-2;O60909-3				66377.3
O60939	O60939				2.87646e+06
O75051;O75051-2	O75051;O75051-2				1.13173e+06
O75063	O75063				4.10787e+06
O75071	O75071				6.78574e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				3.31303e+06
O75078	O75078;O75078-2				9.45261e+06
O75083	O75083;O75083-3				4.89494e+06
O75084;Q14332	O75084;Q14332				337572
O75144;O75144-2	O75144;O75144-2;O75144-3				3.12915e+07
O75173;O75173-2	O75173;O75173-2				1.92503e+07
O75223	O75223				1.92719e+06
O75326	O75326;O75326-2				5.19775e+07
O75339	O75339				1.38098e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.86943e+06
O75363-2	O75363;O75363-2				287559
O75368	O75368				3.78604e+06
O75487;O75487-2	O75487;O75487-2				3.59018e+06
O75493	O75493				9.84432e+06
O75503	O75503				1.04408e+07
O75509	O75509				3.15487e+07
O75629	O75629				2.79304e+06
O75636;O75636-2	O75636;O75636-2				751599
O75711	O75711				3.03844e+08
O75752	O75752				1.32056e+07
O75787;O75787-2	O75787;O75787-2				4.2083e+07
O75828	O75828				5.65213e+06
O75874	O75874				1.61698e+06
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				1.34654e+07
O75973	O75973				1.9862e+06
O75976	O75976				2.19695e+06
O76061	O76061				6.20629e+06
O76070	O76070				405091
O94760	O94760;O94760-2				1.37014e+07
O94766	O94766;Q9NPZ5				2.77664e+06
O94769	O94769;O94769-2				3.291e+07
O94772;O94772-2	O94772;O94772-2				1.86173e+08
O94779;O94779-2	O94779;O94779-2				1.31702e+06
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				4.14636e+07
O94898	O94898				955472
O94910;O94910-2	O94910;O94910-2				1.4601e+07
O94919	O94919				6.10733e+07
O94933	O94933				1.8414e+06
O94973;O94973-2	O94973;O94973-2				592015
O94985	O94985				4.35683e+06
O94985-2	O94985;O94985-2				3.47227e+08
O94991	O94991;O94991-2				7.07978e+06
O95084	O95084;O95084-2				2.75398e+06
O95157	O95157				1.66262e+06
O95158	O95158				2.7205e+07
O95159	O95159				1.02491e+06
O95164	O95164				414325
