Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_C8_82882588_repeat.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.99438e+08
A0A075B6H9	A0A075B6H9				2.22566e+07
A0A075B6I0	A0A075B6I0				5.59912e+07
A0A075B6I1	A0A075B6I1				3.23548e+06
A0A075B6I9;P04211	P04211;A0A075B6I9				1.01186e+08
A0A075B6J9	A0A075B6J9				2.38796e+07
A0A075B6K4	A0A075B6K4				1.71844e+07
A0A075B6K5	A0A075B6K5				9.77931e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				2.07527e+08
A0A075B6Q5	A0A075B6Q5				1.29867e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.28745e+07
A0A075B6S2	A0A075B6S2;A2NJV5				3.65814e+08
A0A087WSX0	A0A087WSX0;A0A0G2JS06				5.29689e+06
A0A087WSY4	A0A087WSY4				2.09174e+07
A0A087WSY6	A0A087WSY6				5.03436e+08
A0A087WW87;P01614	P01614;A0A087WW87				962248
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				4.27105e+08
A0A0A0MS15	A0A0A0MS15				6.92433e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				2.55201e+06
A0A0B4J1U7	A0A0B4J1U7				1.54804e+07
A0A0B4J1V2	A0A0B4J1V2				6.4339e+06
A0A0B4J1V6	A0A0B4J1V6				9.45159e+07
A0A0B4J1X5	A0A0B4J1X5				3.50907e+07
A0A0B4J1Y8	A0A0B4J1Y8				1.92832e+06
A0A0B4J1Y9	A0A0B4J1Y9				4.92655e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				2.80585e+06
A0A0B4J2H0;P01742	P01742;A0A0B4J2H0				1.9648e+08
A0A0C4DH25	A0A0C4DH25				1.59763e+07
A0A0C4DH31	A0A0C4DH31				1.77148e+06
A0A0C4DH33	A0A0C4DH33				5.91449e+08
A0A0C4DH34	A0A0C4DH34				8.93828e+06
A0A0C4DH35	A0A0C4DH35				2.78283e+06
A0A0C4DH36	A0A0C4DH36				3.94597e+06
A0A0C4DH38	A0A0C4DH38				1.03653e+07
A0A0C4DH43	A0A0C4DH43				1.47244e+07
A0A0C4DH67	A0A0C4DH67				4.1494e+07
A0A0J9YX35	A0A0J9YX35				6.86267e+06
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				1.03352e+08
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				1.07595e+06
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.29856e+08
A1L4H1	A1L4H1				6.74506e+06
A2RU67	A2RU67				2.31762e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				4.26453e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				1.35946e+06
A6NGN9	A6NGN9				2.30446e+07
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				4.794e+06
A6NL88	A6NL88				5.25047e+06
A6NLU5	A6NLU5				7.52114e+07
A6NML5	A6NML5				7.21407e+06
