Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_D2_79110561.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.29139e+08
A0A075B6H9	A0A075B6H9				4.30475e+07
A0A075B6I0	A0A075B6I0				6.3792e+07
A0A075B6I1	A0A075B6I1				1.06719e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				2.84133e+06
A0A075B6K5	A0A075B6K5				9.64322e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				5.56895e+08
A0A075B6R2	A0A075B6R2				1.2938e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.37678e+07
A0A075B6S2	A0A075B6S2;A2NJV5				5.42267e+08
A0A075B6S5	A0A075B6S5				4.35602e+06
A0A087WSX0	A0A087WSX0				7.54093e+06
A0A087WSY4	A0A087WSY4				1.12065e+07
A0A087WSY6	A0A087WSY6				2.60273e+08
A0A087WSZ0	A0A087WSZ0				4.19839e+06
A0A087WW87;P01614	P01614;A0A087WW87				350722
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.19029e+08
A0A0A0MS15	A0A0A0MS15				1.43858e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				458028
A0A0A0MT89	A0A0A0MT89				9.68088e+06
A0A0B4J1U7	A0A0B4J1U7				1.38936e+07
A0A0B4J1V0	A0A0B4J1V0				2.99604e+06
A0A0B4J1V2	A0A0B4J1V2				5.76316e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.02996e+08
A0A0B4J1Y8	A0A0B4J1Y8				1.02206e+07
A0A0B4J1Y9	A0A0B4J1Y9				1.61393e+08
A0A0C4DH24	A0A0C4DH24				5.10354e+06
A0A0C4DH25	A0A0C4DH25				6.48251e+07
A0A0C4DH33	A0A0C4DH33				781452
A0A0C4DH34	A0A0C4DH34				5.61842e+06
A0A0C4DH35	A0A0C4DH35				2.65665e+06
A0A0C4DH36	A0A0C4DH36				7.71189e+06
A0A0C4DH38	A0A0C4DH38				4.85005e+07
A0A0C4DH43	A0A0C4DH43				3.52979e+07
A0A0C4DH67	A0A0C4DH67				6.5802e+07
A0A0G2JMI3	A0A0G2JMI3				1.46845e+07
A0A0G2JS06	A0A0G2JS06				1.09417e+07
A0A0J9YX35	A0A0J9YX35				1.37897e+07
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				1.62524e+08
A0A1B0GUS4;P68036;P68036-2;P68036-3	P68036;A0A1B0GUS4;P68036-2;P68036-3				2.41513e+06
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				1.08692e+06
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				2.00032e+08
A1L4H1	A1L4H1				5.05711e+06
A2RU67	A2RU67				492550
A5D6W6	A5D6W6				2.93331e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				3.1296e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				1.35334e+06
A6NGN9	A6NGN9				1.0229e+07
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				4.63601e+06
A6NL88	A6NL88				2.32806e+06
A6NLU5	A6NLU5				4.65793e+07
A6NML5	A6NML5				4.45474e+06
A6NMY6;P07355;P07355-2	A6NMY6;P07355;P07355-2				396365
A8MTJ3;P04899;P04899-4;P08754;P11488;P19087;P63096	A8MTJ3;P04899;P08754;P09471;P11488;P19087;P38405;P63092;P63096;Q5JWF2;P63092-2;P04899-4;P63092-3;P63092-4;Q5JWF2-2;P09471-2;P38405-2				1.70546e+06
A8MTW9	A8MTW9				650587
B4DS77;B4DS77-2	B4DS77;B4DS77-2;B4DS77-3				611241
C9JVW0	C9JVW0				2.91618e+07
I3L3R5	I3L3R5				1.43694e+06
O00115;O00115-2	O00115;O00115-2				7.91051e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				1.18547e+08
O00187;O00187-2	O00187;O00187-2				2.71067e+06
O00233;O00233-2	O00233;O00233-2				263201
O00244	O00244				1.71244e+06
O00264	O00264;O00264-2				5.82252e+06
O00299	O00299				2.79041e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				4.22024e+06
O00391	O00391;O00391-2				3.66065e+07
O00451	O00451;O00451-2;O00451-3				2.99563e+07
O00461	O00461				1.49242e+07
O00462	O00462				1.41083e+07
O00468-6	O00468-6;O00468-7				4.13943e+07
O00469;O00469-2;O00469-3	O00469;O00469-2;O00469-3				714455
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9				375441
O00533	O00533				1.17327e+07
O00533-2	O00533;O00533-2				4.27908e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				1.71852e+06
O00567	O00567				1.04219e+06
O00584	O00584				1.72075e+07
O00587;O00587-2	O00587;O00587-2				43785.2
O00754;O00754-2	O00754;O00754-2				4.97875e+06
O14498	O14498				4.37022e+07
O14514	O14514				3.49923e+06
O14522	O14522;O14522-1				1.79186e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				2.45268e+06
O14594	O14594				1.16712e+08
O14657	O14657				509644
O14668;O14668-2	O14668;O14668-2				4.17886e+06
O14672	O14672				4.34775e+06
O14733;O14733-2;O14733-3;O14733-4	O14733;O14733-2;O14733-3;O14733-4				3.85469e+07
O14737;O14737-2	O14737;O14737-2				421569
O14745	O14745;O14745-2				649348
O14773	O14773				2.28838e+07
O14786	O14786;O14786-2;O14786-3				1.32123e+07
O14791-2	O14791;O14791-2;O14791-3				3.9093e+07
O14793	O14793				6.25646e+06
O14810	O14810;Q6PUV4				921141
O14917;O14917-2	O14917;O14917-2				6.57339e+06
O15031	O15031				5.20109e+07
O15041;O15041-2	O15041;O15041-2				515125
O15123;O15123-2;O15123-3	O15123;O15123-2;O15123-3				551440
O15197;O15197-3	O15197;O15197-3				1.23905e+07
O15204;O15204-2	O15204;O15204-2				2.02948e+06
O15230	O15230				3.04209e+06
O15232;O15232-2	O15232;O15232-2				3.7096e+06
O15240	O15240				2.81572e+08
O15335	O15335				8.93281e+06
O15354	O15354				5.29113e+07
O15394	O15394;O15394-2				6.56046e+07
O15400;O15400-2	O15400;O15400-2				2.65801e+06
O15466;O15466-2	O15466;O15466-2				3.37968e+06
O15540;O15540-2	O15540;O15540-2				5.00753e+06
O43155	O43155				2.66448e+06
O43157	O43157;O43157-2;O43157-3				7.88388e+06
O43173	O43173				6.99294e+06
O43240	O43240				3.50904e+06
O43278;O43278-2	O43278;O43278-2				4.77634e+06
O43291	O43291				1.41305e+07
O43300	O43300				1.04742e+07
O43405	O43405;O43405-2				5.96136e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				1.16165e+08
O43504	O43504				1.52838e+06
O43505	O43505				1.06301e+09
O43508-2	O43508;O43508-2				2.24297e+06
O43529	O43529				1.79465e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.20003e+07
O43567	O43567				3.39938e+07
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				1.78818e+06
O43707	O43707;Q9H254;Q9H254-2;Q9H254-4				23655.4
O43736;O43736-2	O43736;O43736-2				2.45137e+06
O43827	O43827				7.12926e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				2.90158e+06
O43854;O43854-2	O43854;O43854-2				1.05186e+06
O43866	O43866				7.57276e+06
O43897;O43897-2	O43897;O43897-2				2.00789e+06
O43909	O43909				1.16764e+06
O43916	O43916				3.49207e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				2.04866e+07
O60242	O60242				2.65313e+06
O60243	O60243;O60243-2				7.98987e+06
O60245;O60245-2	O60245;O60245-2				4.56912e+06
O60279	O60279				3.37271e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				1.23903e+06
O60330;O60330-2	O60330;Q9Y5G5;Q9Y5G8;Q9Y5G9;O60330-2;Q9Y5G5-2;Q9Y5G8-2;Q9Y5G9-2				1.83671e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				1.08623e+07
O60476	O60476				5.83801e+06
O60477	O60477;Q76B58;O60477-3;Q76B58-2				1.04563e+06
O60512	O60512				2.09773e+06
O60565	O60565				1.00262e+06
O60568	O60568				3.85154e+06
O60613	O60613				3.22316e+06
O60741	O60741				595324
O60883	O60883				2.18339e+08
O60888-3	O60888;O60888-2;O60888-3				1.38353e+07
O60909;O60909-2;O60909-3	O60909;O60909-2;O60909-3				56454.6
O60939	O60939				7.84106e+06
O75019;O75019-2	O75019;O75019-2				2.49934e+06
O75051	O75051;O75051-2				9.42291e+06
O75063	O75063				5.03694e+06
O75071	O75071				1.38027e+07
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				4.7956e+06
O75078	O75078;O75078-2				9.96061e+06
O75083	O75083;O75083-3				3.57552e+06
O75084;Q14332	O75084;Q14332				502879
O75144;O75144-2	O75144;O75144-2;O75144-3				3.91409e+07
O75173;O75173-2	O75173;O75173-2				1.38573e+07
O75223	O75223;O75223-3				2.60913e+06
O75326	O75326;O75326-2				5.04987e+07
O75339	O75339				638588
O75347;O75347-2	O75347;O75347-2				2.52058e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				2.09501e+06
O75363-2	O75363;O75363-2				817173
O75368	O75368				4.15349e+06
O75487;O75487-2	O75487;O75487-2				3.28138e+06
O75493	O75493				8.72733e+06
O75503	O75503				9.07348e+06
O75509	O75509				3.57968e+07
O75594	O75594				550044
O75629	O75629				1.91513e+06
O75636;O75636-2	O75636;O75636-2				3.42496e+06
O75711	O75711				4.93818e+08
O75752	O75752				1.21124e+07
O75781;O75781-2	O75781;O75781-2				7.59451e+06
O75787;O75787-2	O75787;O75787-2				6.87834e+07
O75828	O75828				4.9162e+06
O75874	O75874				1.77706e+06
O75882-2;O75882-3	O75882;O75882-2;O75882-3				2.08669e+07
O75973	O75973				1.46147e+06
O75976	O75976				2.00328e+06
O76061	O76061				8.35337e+06
O76070	O76070				7.97142e+06
O94760	O94760;O94760-2				8.84295e+06
O94766	O94766;Q9NPZ5				3.21297e+06
O94769	O94769;O94769-2				2.23786e+07
O94772;O94772-2	O94772;O94772-2				1.66249e+08
O94779;O94779-2	O94779;O94779-2				2.19718e+06
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				7.191e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				4.91576e+06
O94898	O94898				1.96423e+06
O94910;O94910-2	O94910;O94910-2				1.56941e+07
O94919	O94919				4.18934e+07
O94933	O94933				7.45266e+06
O94973;O94973-2	O94973;O94973-2				992696
O94985	O94985				4.17389e+06
O94985-2	O94985;O94985-2				6.1102e+08
