Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_D5_129186580_repeat.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				9.40529e+08
A0A075B6H9	A0A075B6H9				2.11758e+07
A0A075B6I0	A0A075B6I0				2.03139e+08
A0A075B6I1	A0A075B6I1				8.73717e+06
A0A075B6J9	A0A075B6J9				1.06608e+08
A0A075B6K2	A0A075B6K2				2.65344e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				2.92274e+07
A0A075B6K5	A0A075B6K5				5.02521e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				5.58505e+08
A0A075B6Q5	A0A075B6Q5				4.48302e+06
A0A075B6R2	A0A075B6R2				1.59596e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				5.87368e+07
A0A075B6S2	A0A075B6S2;A2NJV5				4.321e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				1.23178e+08
A0A075B6S6	A0A075B6S6				1.77815e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				8.55348e+06
A0A087WSY6	A0A087WSY6				4.13372e+08
A0A087WSZ0	A0A087WSZ0				1.845e+06
A0A087WW87;P01614	P01614;A0A087WW87				1.38359e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				3.21999e+08
A0A0A0MS15	A0A0A0MS15				6.4919e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.03908e+06
A0A0A0MT89	A0A0A0MT89				1.81868e+07
A0A0B4J1U7	A0A0B4J1U7				8.79367e+07
A0A0B4J1V0	A0A0B4J1V0				4.41714e+08
A0A0B4J1V2	A0A0B4J1V2				2.15074e+07
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.60222e+08
A0A0B4J1Y8	A0A0B4J1Y8				2.03542e+07
A0A0B4J1Y9	A0A0B4J1Y9				3.55655e+06
A0A0C4DH24	A0A0C4DH24				1.50621e+07
A0A0C4DH25	A0A0C4DH25				1.00654e+08
A0A0C4DH29	A0A0C4DH29				4.52036e+06
A0A0C4DH31	A0A0C4DH31				7.13926e+08
A0A0C4DH33	A0A0C4DH33				1.42842e+06
A0A0C4DH34	A0A0C4DH34				7.34295e+06
A0A0C4DH35	A0A0C4DH35				9.1276e+06
A0A0C4DH36	A0A0C4DH36				1.14443e+07
A0A0C4DH38	A0A0C4DH38				1.71927e+08
A0A0C4DH43	A0A0C4DH43				1.66292e+07
A0A0C4DH67	A0A0C4DH67				3.33968e+06
A0A0G2JMI3	A0A0G2JMI3				2.56899e+07
A0A0G2JS06	A0A0G2JS06				4.38273e+06
A0A0J9YX35	A0A0J9YX35				1.9484e+07
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				2.71293e+08
A0M8Q6	P0CG04;P0DOY2;A0M8Q6;P0CF74;B9A064;P0DOX8				5.26543e+08
A1L4H1	A1L4H1				6.89638e+06
A2RU67	A2RU67				266231
A5D6W6	A5D6W6				3.59328e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				2.58907e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				430681
