Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E1_82883860.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				7.69948e+08
A0A075B6H9	A0A075B6H9				5.29978e+06
A0A075B6I0	A0A075B6I0				3.52522e+07
A0A075B6I1	A0A075B6I1				5.25755e+06
A0A075B6I9	A0A075B6I9				4.31122e+07
A0A075B6J9	A0A075B6J9				3.25126e+06
A0A075B6K5	A0A075B6K5				6.08002e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.92681e+08
A0A075B6Q5	A0A075B6Q5				3.63041e+06
A0A075B6R2	A0A075B6R2				1.05437e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				4.93756e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.47945e+08
A0A075B6S5	A0A075B6S5				5.12506e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				6.28109e+06
A0A087WSY6	A0A087WSY6				5.34887e+08
A0A087WSZ0	A0A087WSZ0				2.3811e+06
A0A087WW87;P01614	P01614;A0A087WW87				1.17122e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				3.12007e+08
A0A0A0MS15	A0A0A0MS15				1.19176e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				950341
A0A0A0MT89	A0A0A0MT89				1.62416e+06
A0A0B4J1U7	A0A0B4J1U7				4.91152e+06
A0A0B4J1V0	A0A0B4J1V0				1.40093e+08
A0A0B4J1V2	A0A0B4J1V2				3.22285e+06
A0A0B4J1V6	A0A0B4J1V6				1.59325e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				9.24389e+07
A0A0B4J1Y8	A0A0B4J1Y8				5.02411e+06
A0A0B4J1Y9	A0A0B4J1Y9				3.83582e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				1.93781e+07
A0A0C4DH24	A0A0C4DH24				9.2021e+06
A0A0C4DH25	A0A0C4DH25				1.96625e+07
A0A0C4DH29	A0A0C4DH29				679505
A0A0C4DH31	A0A0C4DH31				917722
