Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E9_82882320_repeat.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				3.18698e+08
A0A075B6I0	A0A075B6I0				2.44961e+07
A0A075B6I1	A0A075B6I1				1.17128e+06
A0A075B6I9	A0A075B6I9				4.0546e+07
A0A075B6J9	A0A075B6J9				1.44293e+06
A0A075B6K4	A0A075B6K4				1.83089e+06
A0A075B6K5	A0A075B6K5				6.90872e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				8.63137e+07
A0A075B6Q5	A0A075B6Q5				1.52717e+06
A0A075B6R2	A0A075B6R2				9.16374e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.18015e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.77926e+08
A0A087WSX0	A0A087WSX0				1.51657e+07
A0A087WSY6	A0A087WSY6				1.8245e+08
A0A087WSZ0	A0A087WSZ0				1.27245e+06
A0A087WW87;P01614	P01614;A0A087WW87				336798
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.20462e+08
A0A0A0MS15	A0A0A0MS15				1.51431e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.85086e+06
A0A0A0MT89	A0A0A0MT89				1.39776e+06
A0A0B4J1U7	A0A0B4J1U7				1.92638e+07
A0A0B4J1V0	A0A0B4J1V0				9.54919e+07
A0A0B4J1V2	A0A0B4J1V2				3.13025e+06
A0A0B4J1X5	A0A0B4J1X5				1.74574e+07
A0A0B4J1Y9	A0A0B4J1Y9				3.52476e+06
A0A0C4DH24	A0A0C4DH24				1.08668e+07
A0A0C4DH25	A0A0C4DH25				9.70322e+06
A0A0C4DH33	A0A0C4DH33				7.1762e+06
A0A0C4DH34	A0A0C4DH34				1.9956e+07
A0A0C4DH36	A0A0C4DH36				8.19882e+06
A0A0C4DH38	A0A0C4DH38				3.1401e+08
A0A0C4DH67	A0A0C4DH67				2.34605e+07
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				2.75413e+07
A0A0J9YX35	A0A0J9YX35				5.51783e+06
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				1.23407e+08
