Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_F4_190100053.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				5.35369e+08
A0A075B6H9	A0A075B6H9				2.15623e+07
A0A075B6I0	A0A075B6I0				5.39354e+07
A0A075B6I1	A0A075B6I1				8.14374e+06
A0A075B6I9	A0A075B6I9				5.00387e+08
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				4.58778e+06
A0A075B6J9	A0A075B6J9				2.62471e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				6.54203e+06
A0A075B6K5	A0A075B6K5				7.392e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				3.97299e+08
A0A075B6R2	A0A075B6R2				1.87397e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.50106e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.34277e+08
A0A087WSX0	A0A087WSX0;A0A0G2JS06				9.45932e+06
A0A087WSY6	A0A087WSY6				2.52816e+08
A0A087WW87;P01614	P01614;A0A087WW87				608820
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.52935e+08
A0A0A0MS15	A0A0A0MS15				2.52931e+07
A0A0B4J1U7	A0A0B4J1U7				2.00411e+07
A0A0B4J1V0	A0A0B4J1V0				1.05118e+08
A0A0B4J1V2	A0A0B4J1V2				9.96839e+06
A0A0B4J1V6	A0A0B4J1V6				1.6559e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.08321e+08
A0A0B4J1Y8	A0A0B4J1Y8				1.49878e+07
A0A0B4J1Y9	A0A0B4J1Y9				2.68669e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				1.50271e+07
A0A0C4DH24	A0A0C4DH24				4.79364e+06
A0A0C4DH25	A0A0C4DH25				3.66826e+07
A0A0C4DH33	A0A0C4DH33				4.97824e+07
A0A0C4DH34	A0A0C4DH34				1.50815e+07
A0A0C4DH35	A0A0C4DH35				1.07889e+07
A0A0C4DH36	A0A0C4DH36				1.64873e+07
A0A0C4DH38	A0A0C4DH38				1.62082e+07
A0A0C4DH67	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				7.98743e+06
