Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_F5_129184099_repeat.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				3.76379e+08
A0A075B6I0	A0A075B6I0				3.5751e+07
A0A075B6I1	A0A075B6I1				1.64764e+06
A0A075B6I9	A0A075B6I9				1.49407e+08
A0A075B6J9	A0A075B6J9				3.86708e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				1.20753e+07
A0A075B6K5	A0A075B6K5				7.83023e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				3.36901e+08
A0A075B6R2	A0A075B6R2				2.23256e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.10039e+08
A0A075B6S2	A0A075B6S2;A2NJV5				3.21724e+08
A0A075B6S5	A0A075B6S5				1.74644e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				3.68693e+06
A0A087WSY6	A0A087WSY6				1.41461e+08
A0A087WSZ0	A0A087WSZ0				1.68528e+06
A0A087WW87;P01614	P01614;A0A087WW87				157170
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				3.35053e+08
A0A0A0MS15	A0A0A0MS15				1.72902e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.45134e+06
A0A0A0MT89	A0A0A0MT89				3.85944e+06
A0A0B4J1U7	A0A0B4J1U7				2.54581e+07
A0A0B4J1V0	A0A0B4J1V0				1.48951e+08
A0A0B4J1V2	A0A0B4J1V2				1.56509e+06
A0A0B4J1V6	A0A0B4J1V6				1.20589e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				8.34211e+07
A0A0B4J1Y8	A0A0B4J1Y8				1.15179e+07
A0A0B4J1Y9	A0A0B4J1Y9				4.14034e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				3.77741e+06
A0A0C4DH24	A0A0C4DH24				4.43517e+06
A0A0C4DH25	A0A0C4DH25				5.33959e+07
A0A0C4DH30	A0A0C4DH30				405123
A0A0C4DH33	A0A0C4DH33				698842
A0A0C4DH34	A0A0C4DH34				1.77722e+07
A0A0C4DH36	A0A0C4DH36				1.33078e+07
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				7.74393e+07
A0A0C4DH43	A0A0C4DH43				1.10687e+07
A0A0C4DH67	A0A0C4DH67				2.94658e+07
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				1.51188e+07
A0A0G2JMI3	A0A0G2JMI3				1.36637e+07
A0A0J9YX35	A0A0J9YX35				1.95966e+07
A0A0J9YXX1	A0A0J9YXX1				2.40788e+06
A0M8Q6	P0CG04;P0DOY2;A0M8Q6;P0CF74;B9A064;P0DOX8				8.31971e+07
A1L4H1	A1L4H1;A1L4H1-2				2.73854e+06
A2RU67	A2RU67				701464
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				864380
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				231432
A6NGN9	A6NGN9				9.7822e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				639066
A6NL88	A6NL88				3.46304e+06
A6NLU5	A6NLU5				1.5849e+07
A6NML5	A6NML5				4.10793e+06
A8MTW9	A8MTW9				4.55942e+06
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				343278
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				414079
B9A064;P0DOX8	B9A064;P0DOX8				2.61203e+08
C9JVW0	C9JVW0				4.35144e+06
I3L3R5	I3L3R5				1.38054e+06
O00115;O00115-2	O00115;O00115-2				3.62217e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				3.4365e+07
O00187;O00187-2	O00187;O00187-2				1.61807e+06
O00244	O00244				900644
O00264	O00264;O00264-2				4.1369e+06
O00292;O00292-2	O00292;O00292-2				1.94888e+06
O00299	O00299				488474
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				1.68874e+06
O00391	O00391;O00391-2				1.89752e+07
O00451	O00451;O00451-2;O00451-3				2.27051e+07
O00461	O00461				8.08914e+06
O00462	O00462				8.24726e+06
O00468-6	O00468-6;O00468-7				2.8363e+07
O00469;O00469-2;O00469-3	O00469;O00469-2;O00469-3				10900
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9				210516
O00533	O00533				1.07716e+07
O00533-2	O00533;O00533-2				3.26225e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				805587
O00567	O00567				314926
O00584	O00584				4.47327e+06
O00754;O00754-2	O00754;O00754-2				2.19392e+06
O14498	O14498				3.05729e+07
O14514	O14514				3.53203e+06
O14522;O14522-1	O14522;O14522-1				1.80917e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				740053
O14594	O14594				3.31651e+07
O14657	O14657				19256.8
O14668	O14668;O14668-2				1.47587e+06
O14672	O14672				3.48288e+06
O14733;O14733-2;O14733-3;O14733-4	O14733;O14733-2;O14733-3;O14733-4				2.04346e+07
O14745	O14745				557489
O14773	O14773				8.64775e+06
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				6.71567e+06
O14791-2	O14791;O14791-2;O14791-3				6.87746e+06
O14793	O14793				1.67976e+06
O14917;O14917-2	O14917;O14917-2				4.61863e+06
O15031	O15031				1.07851e+07
O15041;O15041-2	O15041;O15041-2				54528.5
O15123;O15123-2;O15123-3	O15123;O15123-2;O15123-3				367942
O15197;O15197-3	O15197;O15197-3				1.34484e+07
O15204;O15204-2	O15204;O15204-2				968967
O15230	O15230				1.60856e+06
O15232;O15232-2	O15232;O15232-2				2.96877e+06
O15240	O15240				3.96973e+08
O15335	O15335				3.2301e+06
O15354	O15354				2.60977e+07
O15394	O15394;O15394-2				2.51709e+07
O15400;O15400-2	O15400;O15400-2				1.26873e+06
O15466;O15466-2	O15466;O15466-2				1.48121e+06
O15540;O15540-2	O15540;O15540-2				3.3548e+06
O43155	O43155				1.06272e+06
O43157	O43157;O43157-2;O43157-3				3.68026e+06
O43173	O43173				3.59354e+06
O43240	O43240				923835
O43278;O43278-2	O43278;O43278-2				2.00725e+06
O43291	O43291				1.12705e+07
O43300	O43300				2.41568e+06
O43405;O43405-2	O43405;O43405-2				3.34673e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				4.36089e+07
O43504	O43504				1.44146e+06
O43505	O43505				5.37116e+08
O43508	O43508;O43508-2				1.67688e+06
O43529	O43529				1.51518e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				4.25155e+06
O43567	O43567;O43567-2				1.94434e+06
O43581-2;O43581-3;O43581-5	O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6				3.33699e+06
O43736;O43736-2	O43736;O43736-2				90528.9
O43827	O43827				2.0139e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				961960
O43854;O43854-2	O43854;O43854-2				420818
O43866	O43866				4.21906e+06
O43897;O43897-2	O43897;O43897-2				906630
O43909	O43909				638751
O43916	O43916				2.24835e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.45347e+07
O60242	O60242				927918
O60243	O60243;O60243-2				1.95005e+06
O60245;O60245-2	O60245;O60245-2				4.22532e+06
O60279	O60279				3.31914e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				1.29895e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				447264
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				6.14298e+07
O60476	O60476				4.08201e+06
O60477	O60477;O60477-3				223448
O60512	O60512				1.8951e+06
O60568	O60568				1.93821e+06
O60613	O60613				1.28743e+06
O60741	O60741				405078
O60883	O60883				6.77021e+07
O60888-3	O60888;O60888-2;O60888-3				6.21369e+06
O60939	O60939				2.84363e+06
O75051	O75051;O75051-2				1.61296e+06
O75063	O75063				1.93393e+06
O75071	O75071				5.40432e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				9.65543e+06
O75078	O75078;O75078-2				6.14025e+06
O75083	O75083;O75083-3				2.0294e+06
O75084;Q14332	O75084;Q14332				94684
O75144;O75144-2	O75144;O75144-2;O75144-3				2.51122e+07
O75173;O75173-2	O75173;O75173-2				6.4444e+06
O75223	O75223				439516
O75326	O75326;O75326-2				2.68439e+07
O75339	O75339				841530
O75347	O75347;O75347-2				1.14375e+06
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.16688e+06
O75363-2	O75363;O75363-2				246551
O75368	O75368				4.73864e+06
O75487;O75487-2	O75487;O75487-2				948425
O75493	O75493				6.92525e+06
O75503	O75503				1.82528e+06
O75509	O75509				3.56484e+07
O75629	O75629				403322
O75636;O75636-2	O75636;O75636-2				1.55112e+06
O75711	O75711				1.42716e+08
O75752	O75752				3.82363e+06
O75781;O75781-2	O75781;O75781-2				5.03895e+06
O75787;O75787-2	O75787;O75787-2				1.16872e+07
O75828	O75828				885897
O75874	O75874				798669
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				1.20153e+07
O75973	O75973				816591
O75976	O75976				1.96036e+06
O76061	O76061				4.98187e+06
O76070	O76070				1.57651e+06
O94760	O94760				8.12121e+06
O94766	O94766;Q9NPZ5				3.01176e+06
O94769	O94769;O94769-2				1.47706e+07
O94772;O94772-2	O94772;O94772-2				1.63752e+08
O94779;O94779-2	O94779;O94779-2;O94779-4				967768
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				3.84836e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				1.97005e+06
O94898	O94898				684246
O94910;O94910-2	O94910;O94910-2				1.53469e+07
O94919	O94919				5.85134e+07
O94933	O94933				1.16872e+06
O94973;O94973-2	O94973;O94973-2				222649
O94985	O94985				1.17694e+06
O94985-2	O94985;O94985-2				2.54444e+08
O94991	O94991;O94991-2				5.87096e+06
O95084	O95084;O95084-2				2.69582e+06
O95156	O95156				786177
O95157	O95157				323541
O95158	O95158				1.66197e+07
O95159	O95159				619305
O95185;O95185-2	O95185;O95185-2				3.42183e+06
O95196;O95196-2	O95196;O95196-2				8.91087e+06
O95206;O95206-2	O95206;O95206-2				5.7216e+06
O95297;O95297-2;O95297-3	O95297;O95297-2;O95297-3;O95297-4				1.20462e+06
O95336	O95336				2.62428e+06
O95390	O95390				1.0625e+07
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				6.70877e+06
O95445	O95445;O95445-2				6.81914e+06
O95450;O95450-2	O95450;O95450-2				1.48014e+06
O95467	O95467				413428
O95477	O95477				1.56543e+06
O95479;O95479-2	O95479;O95479-2				29652.6
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				653640
O95497	O95497				3.42246e+06
O95502	O95502				1.7038e+08
O95633;O95633-2	O95633;O95633-2				357430
O95782;O95782-2	O95782;O95782-2				392067
O95841	O95841				303666
O95865	O95865				1.2075e+06
O95897	O95897				331119
O95967	O95967				9.61201e+06
O95970	O95970;O95970-2				575379
O95980	O95980				1.17288e+07
O95998	O95998;O95998-4				6.42029e+06
P00338;P00338-3	P00338;P00338-3;P00338-4				1.30508e+07
