Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_G1_82881418_repeat.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				7.13346e+08
A0A075B6H9	A0A075B6H9				4.75565e+07
A0A075B6I0	A0A075B6I0				1.35779e+08
A0A075B6I1	A0A075B6I1				3.63345e+06
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				3.93879e+06
A0A075B6J9	A0A075B6J9				2.68467e+07
A0A075B6K2	A0A075B6K2				1.0006e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				1.52171e+07
A0A075B6K5	A0A075B6K5				1.85583e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				2.94724e+08
A0A075B6R2	A0A075B6R2				1.84921e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.2686e+07
A0A075B6S2	A0A075B6S2				2.82211e+06
A0A075B6S5	A0A075B6S5				3.02479e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.06844e+07
A0A087WSY4	A0A087WSY4				3.47364e+07
A0A087WSY6	A0A087WSY6				4.39088e+08
A0A087WSZ0	A0A087WSZ0				4.66478e+06
A0A087WW87;P01614	P01614;A0A087WW87				771428
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.25254e+08
A0A0A0MS15	A0A0A0MS15				2.17706e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.23685e+07
A0A0A0MT89	A0A0A0MT89				3.35905e+06
A0A0B4J1U7	A0A0B4J1U7				5.92438e+07
A0A0B4J1V2	A0A0B4J1V2				2.856e+07
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				2.92598e+08
A0A0B4J1Y8	A0A0B4J1Y8				7.65136e+06
A0A0B4J1Y9	A0A0B4J1Y9				2.97682e+08
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				2.40468e+06
A0A0C4DH24	A0A0C4DH24				6.04036e+06
A0A0C4DH25	A0A0C4DH25				9.75249e+07
A0A0C4DH33	A0A0C4DH33				3.99423e+06
A0A0C4DH34	A0A0C4DH34				3.92801e+07
A0A0C4DH35	A0A0C4DH35				5.30378e+06
A0A0C4DH36	A0A0C4DH36				7.12891e+06
A0A0C4DH38	A0A0C4DH38				2.39288e+07
A0A0C4DH43	A0A0C4DH43				2.26838e+07
A0A0C4DH67	A0A0C4DH67				4.36024e+07
A0A0G2JMI3	A0A0G2JMI3				4.65705e+07
A0A0G2JS06	A0A0G2JS06				9.3251e+06
A0A0J9YX35	A0A0J9YX35				2.02223e+07
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				6.72072e+07
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				836298
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.6939e+08
A1L4H1	A1L4H1;A1L4H1-2				5.8731e+06
A2NJV5	A0A075B6S2;A2NJV5				4.66247e+08
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				226333
A6NGN9	A6NGN9				6.68464e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				1.97038e+06
A6NL88	A6NL88				2.01082e+06
A6NLU5	A6NLU5				1.21132e+07
A6NML5	A6NML5				2.82777e+06
A6NNZ2;P04350;P07437;P68371;Q13885;Q3ZCM7;Q9BUF5;Q9BVA1	A6NNZ2;P04350;P07437;P68371;Q13885;Q3ZCM7;Q9BUF5;Q9BVA1				372265
A8MTW9	A8MTW9				2.60897e+06
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				526257
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				359142
B9A064;P0DOX8	B9A064;P0DOX8				3.17508e+08
C9JVW0	C9JVW0				3.48142e+06
I3L3R5	I3L3R5				133051
O00115;O00115-2	O00115;O00115-2				2.07402e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				4.62819e+07
O00187;O00187-2	O00187;O00187-2				1.24905e+06
O00264	O00264;O00264-2				2.84218e+06
O00292;O00292-2	O00292;O00292-2				1.27031e+06
O00299	O00299				815375
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				2.71835e+06
O00391	O00391;O00391-2				3.41481e+07
O00451	O00451;O00451-2;O00451-3				9.49374e+06
O00461	O00461				7.90453e+06
O00462	O00462				8.51993e+06
O00468-6	O00468-6;O00468-7				1.47053e+07
O00533	O00533				2.32307e+06
O00533-2	O00533;O00533-2				1.3221e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				800012
O00584	O00584				1.8523e+07
O00754;O00754-2	O00754;O00754-2				1.09128e+06
O14498	O14498				4.46617e+07
O14514	O14514				975463
O14522;O14522-1	O14522;O14522-1				1.80071e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				1.89701e+06
O14594	O14594				6.6337e+07
O14657	O14657				508816
O14672	O14672				4.29319e+06
O14733;O14733-2;O14733-3;O14733-4	O14733;O14733-2;O14733-3;O14733-4				1.53518e+07
O14773	O14773				8.34455e+06
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				6.81417e+06
O14791-2	O14791;O14791-2;O14791-3				3.53566e+08
O14793	O14793				1.05319e+06
O14917;O14917-2	O14917;O14917-2				2.91639e+06
O14960	O14960				245536
O15031	O15031				1.27438e+07
O15041;O15041-2	O15041;O15041-2				226522
O15204;O15204-2	O15204;O15204-2				2.38616e+06
O15230	O15230				2.13668e+06
O15232;O15232-2	O15232;O15232-2				2.78314e+06
O15240	O15240				9.22652e+07
O15335	O15335				2.10925e+06
O15354	O15354				2.86769e+07
