Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_G3_79069638.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.43135e+09
A0A075B6H9	A0A075B6H9				2.97166e+07
A0A075B6I0	A0A075B6I0				3.21645e+07
A0A075B6I1	A0A075B6I1				1.0668e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				6.1486e+06
A0A075B6J9	A0A075B6J9				7.8149e+06
A0A075B6K2	A0A075B6K2				4.33929e+06
A0A075B6K4	A0A075B6K4				1.16811e+07
A0A075B6K5	A0A075B6K5				1.36134e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				2.29935e+08
A0A075B6R2	A0A075B6R2				3.33304e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				8.06548e+07
A0A075B6S2	A0A075B6S2;A2NJV5				6.18362e+08
A0A075B6S5	A0A075B6S5				2.59873e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.26977e+07
A0A087WSY6	A0A087WSY6				4.00837e+08
A0A087WSZ0	A0A087WSZ0				1.08814e+07
A0A087WW87;P01614	P01614;A0A087WW87				1.62468e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.61094e+08
A0A0A0MS15	A0A0A0MS15				7.44568e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				2.42089e+06
A0A0A0MT89	A0A0A0MT89				2.30218e+07
A0A0B4J1U7	A0A0B4J1U7				8.04038e+07
A0A0B4J1V2	A0A0B4J1V2				1.82936e+07
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				9.36005e+08
A0A0B4J1Y8	A0A0B4J1Y8				1.85082e+07
A0A0B4J1Y9	A0A0B4J1Y9				3.96599e+08
A0A0C4DH24	A0A0C4DH24				1.83574e+07
A0A0C4DH25	A0A0C4DH25				4.88333e+07
A0A0C4DH33	A0A0C4DH33				1.42776e+09
A0A0C4DH34	A0A0C4DH34				1.26088e+07
A0A0C4DH35	A0A0C4DH35				1.61525e+07
A0A0C4DH36	A0A0C4DH36				9.68501e+06
A0A0C4DH38	A0A0C4DH38				3.24333e+07
A0A0C4DH43	A0A0C4DH43				5.01413e+06
A0A0C4DH67	A0A0C4DH67				5.17353e+07
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				2.00217e+07
A0A0G2JMI3	A0A0G2JMI3				5.4648e+06
A0A0J9YX35	A0A0J9YX35				1.61692e+07
A0A0J9YXX1	A0A0J9YXX1				5.31326e+08
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				1.41601e+06
A0M8Q6	P0CG04;P0DOY2;A0M8Q6;P0CF74;B9A064;P0DOX8				2.74088e+08
A1L4H1	A1L4H1;A1L4H1-2				1.00358e+07
A2RU67	A2RU67				1.2363e+06
A5D6W6	A5D6W6				5.0575e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				4.11583e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				2.20443e+06
A6NGN9	A6NGN9				1.16551e+07
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				4.21699e+06
A6NL88	A6NL88				2.6989e+06
A6NLU5	A6NLU5				3.19629e+07
A6NML5	A6NML5				4.01388e+06
A8MTJ3;P04899;P04899-4;P08754;P11488;P19087;P63096	A8MTJ3;P04899;P08754;P09471;P11488;P19087;P38405;P63092;P63096;Q5JWF2;P63092-2;P04899-4;P63092-3;P63092-4;Q5JWF2-2;P09471-2;P38405-2				3.09376e+06
A8MTW9	A8MTW9				9.38598e+06
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				2.30549e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				792579
C9JVW0	C9JVW0				9.02672e+06
I3L3R5	I3L3R5				1.79917e+06
O00115;O00115-2	O00115;O00115-2				6.92779e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				7.25899e+07
O00187;O00187-2	O00187;O00187-2				4.43179e+06
O00244	O00244				1.35024e+06
O00264	O00264;O00264-2				5.43892e+06
O00299	O00299				3.86403e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				3.19282e+06
O00391	O00391;O00391-2				3.94152e+07
O00451	O00451;O00451-2;O00451-3				2.32376e+07
O00461	O00461				1.96686e+07
O00462	O00462				1.50122e+07
O00468-6	O00468-6;O00468-7				1.69545e+07
O00533	O00533				8.72689e+06
O00533-2	O00533;O00533-2				1.96631e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				2.59796e+06
O00567	O00567				660508
O00584	O00584				2.61842e+07
O00587;O00587-2	O00587;O00587-2				85378.6
O00754;O00754-2	O00754;O00754-2				6.41583e+06
O14498	O14498				1.56985e+08
O14514	O14514				3.36165e+06
O14522;O14522-1	O14522;O14522-1				3.80932e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				3.22222e+06
O14594	O14594				5.08596e+07
O14657	O14657				405877
O14668	O14668				3.34385e+06
O14672	O14672				5.43491e+06
O14733;O14733-2;O14733-3;O14733-4	O14733;O14733-2;O14733-3;O14733-4				4.62292e+07
O14737;O14737-2	O14737;O14737-2				324924
O14745	O14745				435212
O14773	O14773				1.7169e+07
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				1.1561e+07
O14791-2	O14791;O14791-2;O14791-3				6.84539e+07
O14793	O14793				6.5864e+06
O14917;O14917-2	O14917;O14917-2				6.37236e+06
O14960	O14960				990580
O15031	O15031				3.58181e+07
O15041;O15041-2	O15041;O15041-2				980442
O15204;O15204-2	O15204;O15204-2				4.211e+06
O15230	O15230				7.45791e+06
O15232;O15232-2	O15232;O15232-2				3.78943e+06
O15240	O15240				1.75974e+08
O15335	O15335				6.93089e+06
O15354	O15354				4.0719e+07
O15394	O15394;O15394-2				3.38141e+07
O15466;O15466-2	O15466;O15466-2				4.47713e+06
O43157	O43157;O43157-2;O43157-3				7.09241e+06
O43173	O43173				8.83494e+06
O43240	O43240				3.48184e+06
O43291	O43291				1.46708e+07
O43300	O43300				5.98166e+06
O43323	O43323				1.30596e+06
O43405;O43405-2	O43405;O43405-2				4.14412e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				8.81323e+07
O43505	O43505				1.34767e+09
O43508	O43508				2.38216e+06
O43529	O43529				1.14878e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.787e+07
O43567	O43567;O43567-2				6.70802e+06
O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6	O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6				4.94664e+06
O43707	O43707;Q9H254;Q9H254-2;Q9H254-4				50188.1
O43736;O43736-2	O43736;O43736-2				3.92032e+06
O43827	O43827				1.52427e+07
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				1.15057e+06
O43854;O43854-2	O43854;O43854-2				3.37298e+06
O43866	O43866				1.70534e+07
O43897;O43897-2	O43897;O43897-2				2.70689e+06
O43909	O43909				1.33045e+06
O43916	O43916				1.56519e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.87922e+07
O60242	O60242				5.24117e+06
