Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_A3_82883165_repeat2.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				6.68492e+08
A0A075B6H9	A0A075B6H9				6.00178e+06
A0A075B6I0	A0A075B6I0				2.84411e+07
A0A075B6I1	A0A075B6I1				4.91581e+06
A0A075B6I9	A0A075B6I9				9.63885e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				5.39941e+06
A0A075B6J9	P01699;P01700;P01706;P01709;P01721;P01703;A0A075B6J9;P0DOX8				7.33341e+07
A0A075B6K2	A0A075B6K2				2.60498e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				6.08914e+06
A0A075B6K5	A0A075B6K5				4.98826e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				2.38259e+08
A0A075B6Q5	A0A075B6Q5				2.53444e+06
A0A075B6R2	A0A075B6R2				3.75248e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.76238e+07
A0A075B6S2	A0A075B6S2;A2NJV5				4.62193e+08
A0A087WSX0	A0A087WSX0;A0A0G2JS06				3.61007e+06
A0A087WSY4	A0A087WSY4				1.30233e+07
A0A087WSY6	A0A087WSY6				3.66406e+08
A0A087WW87;P01614	P01614;A0A087WW87				3.61193e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				3.427e+08
A0A0A0MS15	A0A0A0MS15				1.09998e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.76787e+06
A0A0B4J1U7	A0A0B4J1U7				5.81923e+06
A0A0B4J1V0	A0A0B4J1V0				8.60049e+07
A0A0B4J1V2	A0A0B4J1V2				3.1986e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.0918e+08
A0A0B4J1Y8	A0A0B4J1Y8				5.85515e+06
A0A0B4J1Y9	A0A0B4J1Y9				4.21541e+06
A0A0C4DH24	A0A0C4DH24				1.04944e+07
A0A0C4DH25	A0A0C4DH25				2.46946e+07
A0A0C4DH33	A0A0C4DH33				1.04329e+06
A0A0C4DH34	A0A0C4DH34				1.17974e+07
A0A0C4DH36	A0A0C4DH36				7.06765e+06
A0A0C4DH38	A0A0C4DH38				1.51769e+08
A0A0C4DH43	A0A0C4DH43				1.996e+07
A0A0C4DH67	A0A0C4DH67				4.50441e+07
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				4.79983e+07
A0A0J9YX35	A0A0J9YX35				7.78823e+06
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				3.18623e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				8.10182e+07
A1L4H1	A1L4H1;A1L4H1-2				4.4488e+06
A2RU67	A2RU67				768250
A5D6W6	A5D6W6				2.3274e+07
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				2.65426e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				322133
A6NGN9	A6NGN9				1.33282e+07
A6NL88	A6NL88				4.05906e+06
A6NLU5	A6NLU5				5.35211e+06
A8MTW9	A8MTW9				3.84727e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				143584
B9A064;P0DOX8	B9A064;P0DOX8				4.32721e+08
C9JVW0	C9JVW0				4.85446e+06
I3L3R5	I3L3R5				717434
O00115;O00115-2	O00115;O00115-2				6.22943e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				5.03866e+07
O00187;O00187-2	O00187;O00187-2				1.99897e+06
O00264	O00264;O15173;O15173-2				8.09844e+06
O00299	O00299				520657
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				1.99511e+06
O00391	O00391;O00391-2				2.17641e+07
O00451	O00451;O00451-2;O00451-3				1.72875e+07
O00461	O00461				2.80163e+06
O00462	O00462				9.39474e+06
O00468-6	O00468-6;O00468-7				2.46851e+07
O00533	O00533;O00533-2				1.71272e+08
O00533-2	O00533-2				1.45847e+07
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				4.80059e+06
O00567	O00567				396474
O00584	O00584				9.07035e+06
O00754;O00754-2	O00754;O00754-2				4.49312e+06
O14498	O14498				2.35537e+07
O14514	O14514				844208
O14522;O14522-1	O14522;O14522-1				1.23017e+06
O14594	O14594				1.81169e+08
O14657	O14657				204549
O14668;O14668-2	O14668;O14668-2				1.06194e+06
O14672	O14672				5.05786e+06
O14773	O14773				1.0381e+07
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				1.19492e+07
O14791-2	O14791;O14791-2;O14791-3				6.88132e+07
O14793	O14793				644779
O14917;O14917-2	O14917;O14917-2				3.74983e+06
O14960	O14960				274422
O15031	O15031				1.03428e+07
O15041;O15041-2	O15041;O15041-2				30723.3
O15230	O15230				3.4049e+06
O15232;O15232-2	O15232;O15232-2				237916
O15240	O15240				1.37223e+08
O15335	O15335				6.06351e+06
O15354	O15354				3.47711e+07
O15394	O15394;O15394-2				3.47457e+07
O15466;O15466-2	O15466;O15466-2				1.43988e+06
O15540;O15540-2	O15540;O15540-2				1.80718e+06
O43155	O43155				564798
O43157	O43157;O43157-2;O43157-3				1.0355e+07
O43173	O43173				4.05388e+06
O43240	O43240				1.2274e+06
O43278;O43278-2	O43278;O43278-2				3.22069e+06
O43286	O43286				445566
O43291	O43291				1.16177e+07
O43300	O43300				2.58508e+06
O43405;O43405-2	O43405;O43405-2				2.43537e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				2.85004e+07
O43505	O43505				6.67417e+08
O43508-2	O43508;O43508-2				2.31203e+06
O43529	O43529				1.17117e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				5.72272e+06
O43567	O43567				6.54862e+06
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				1.14566e+06
O43827	O43827				6.19389e+06
