Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_A6_82545313.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				4.3648e+08
A0A075B6H9	A0A075B6H9				2.22206e+07
A0A075B6I1	A0A075B6I1				8.28187e+06
A0A075B6I9	A0A075B6I9				4.06849e+06
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				2.8258e+06
A0A075B6J9	A0A075B6J9				6.05578e+07
A0A075B6K5	A0A075B6K5				1.20414e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				3.25121e+08
A0A075B6R2	A0A075B6R2				1.23958e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				4.0816e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.53232e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				2.27239e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				4.58375e+06
A0A087WSY4	A0A087WSY4				1.08013e+07
A0A087WSY6	A0A087WSY6				2.92979e+08
A0A087WW87;P01614	P01614;A0A087WW87				4.35888e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.00615e+08
A0A0A0MS15	A0A0A0MS15				7.0334e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				962898
A0A0A0MT89	A0A0A0MT89				1.39673e+06
A0A0B4J1U7	A0A0B4J1U7				1.49005e+07
A0A0B4J1V0	A0A0B4J1V0				1.03383e+07
A0A0B4J1V2	A0A0B4J1V2				3.15245e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.11427e+08
A0A0B4J1Y8	A0A0B4J1Y8				8.02241e+06
A0A0B4J1Y9	A0A0B4J1Y9				2.87506e+08
A0A0C4DH24	A0A0C4DH24				8.80383e+06
A0A0C4DH25	A0A0C4DH25				1.21689e+07
A0A0C4DH31	A0A0C4DH31				615988
A0A0C4DH33	A0A0C4DH33				2.32714e+06
A0A0C4DH34	A0A0C4DH34				1.03736e+07
A0A0C4DH35	A0A0C4DH35				4.66351e+06
A0A0C4DH36	A0A0C4DH36				7.95382e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				1.52466e+07
A0A0C4DH43	A0A0C4DH43				1.35051e+07
A0A0C4DH67	A0A0C4DH67				2.21605e+06
