Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_A7_79061681_repeat.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				5.98557e+08
A0A075B6H9	A0A075B6H9				3.3131e+07
A0A075B6I0	A0A075B6I0				5.50334e+07
A0A075B6I1	A0A075B6I1				7.19962e+06
A0A075B6I9	P04211;A0A075B6I9				1.18706e+08
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				7.61432e+06
A0A075B6J9	A0A075B6J9				8.16399e+07
A0A075B6K2	A0A075B6K2				720566
A0A075B6K4	A0A075B6K0;A0A075B6K4				1.03967e+07
A0A075B6K5	A0A075B6K5				1.90747e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				4.68116e+08
A0A075B6Q5	A0A075B6Q5				7.15861e+06
A0A075B6R2	A0A075B6R2				2.88014e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				5.21746e+07
A0A075B6S2	A0A075B6S2;A2NJV5				6.9735e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				1.78892e+08
A0A087WSX0	A0A087WSX0;A0A0G2JS06				8.68317e+06
A0A087WSY6	A0A087WSY6				4.11138e+08
A0A087WW87;P01614	P01614;A0A087WW87				2.01208e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.76882e+08
A0A0A0MS15	A0A0A0MS15				6.26586e+07
A0A0A0MT89	A0A0A0MT89				2.92651e+07
A0A0B4J1U7	A0A0B4J1U7				2.03747e+07
A0A0B4J1V0	A0A0B4J1V0				7.42806e+08
A0A0B4J1V2	A0A0B4J1V2				1.58408e+07
A0A0B4J1V6	A0A0B4J1V6				2.80185e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				2.99806e+08
A0A0B4J1Y8	A0A0B4J1Y8				3.79989e+07
A0A0B4J1Y9	A0A0B4J1Y9				5.72067e+06
A0A0C4DH24	A0A0C4DH24				2.00419e+07
A0A0C4DH25	A0A0C4DH25				6.79733e+07
A0A0C4DH33	A0A0C4DH33				1.69554e+06
A0A0C4DH34	A0A0C4DH34				1.89106e+07
A0A0C4DH35	A0A0C4DH35				6.14254e+06
A0A0C4DH36	A0A0C4DH36				5.64432e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				2.82171e+08
A0A0C4DH43	A0A0C4DH43				4.42428e+07
A0A0C4DH72	P01599;A0A0C4DH72				4.30247e+07
A0A0J9YX35	A0A0J9YX35				1.45205e+07
A0A0J9YXX1	A0A0J9YXX1				7.77006e+07
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				511066
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				4.2006e+08
A1L4H1	A1L4H1				6.62596e+06
A2RU67	A2RU67				408328
A5D6W6	A5D6W6				5.84547e+06
