Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_B3_79113129.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				7.96648e+08
A0A075B6H9	A0A075B6H9				9.78827e+06
A0A075B6I0	A0A075B6I0				8.15072e+06
A0A075B6I1	A0A075B6I1				2.92566e+06
A0A075B6I9;P04211	P04211;A0A075B6I9				4.44167e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				1.95168e+06
A0A075B6J9	A0A075B6J9				2.43102e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				4.68769e+06
A0A075B6K5	A0A075B6K5				1.39487e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				1.47987e+08
A0A075B6R2	A0A075B6R2				3.03628e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				3.84416e+07
A0A075B6S2	A0A075B6S2;A2NJV5				4.89895e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				5.34844e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				2.68806e+06
A0A087WSY4	A0A087WSY4				5.70672e+07
A0A087WSY6	A0A087WSY6				3.40269e+08
A0A087WW87;P01614	P01614;A0A087WW87				1.21496e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.69305e+08
A0A0A0MS15	A0A0A0MS15				3.06418e+07
A0A0A0MT36	A0A0A0MT36;A0A0C4DH26				1.24769e+06
A0A0B4J1U7	A0A0B4J1U7				2.80025e+07
A0A0B4J1V0	A0A0B4J1V0				1.60103e+08
A0A0B4J1V2	A0A0B4J1V2				1.0186e+07
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				9.94845e+07
A0A0B4J1Y8	A0A0B4J1Y8				2.56644e+06
A0A0B4J1Y9	A0A0B4J1Y9				2.95435e+06
A0A0C4DH25	A0A0C4DH25				4.93298e+07
A0A0C4DH31	A0A0C4DH31				1.99806e+06
A0A0C4DH33	A0A0C4DH33				2.07157e+06
A0A0C4DH34	A0A0C4DH34				1.24811e+07
A0A0C4DH35	A0A0C4DH35				1.02773e+07
A0A0C4DH36	A0A0C4DH36				7.77538e+06
A0A0C4DH38	A0A0C4DH38				3.56533e+07
A0A0C4DH43	P0DOX6;A0A0C4DH43				1.70357e+06
A0A0J9YX35	A0A0J9YX35				1.24088e+07
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				5.45814e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				2.73835e+08
A1L4H1	A1L4H1				4.91223e+06
A2RU67	A2RU67				850760
A5D6W6	A5D6W6				4.97838e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				2.02234e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				1.60885e+06
A6NGN9	A6NGN9				2.09395e+07
A6NL88	A6NL88				7.32112e+06
A6NLU5	A6NLU5				4.51695e+07
