Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_C5_81760601.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				5.85306e+08
A0A075B6H9	A0A075B6H9				4.52815e+06
A0A075B6I0	A0A075B6I0				8.29156e+07
A0A075B6I1	A0A075B6I1				1.56274e+06
A0A075B6I9	A0A075B6I9				1.43129e+08
A0A075B6J9	A0A075B6J9				7.86577e+07
A0A075B6K2	A0A075B6K2				3.14012e+06
A0A075B6K4	A0A075B6K4				1.80964e+07
A0A075B6K5	A0A075B6K5				1.07722e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				5.00599e+08
A0A075B6R2	A0A075B6R2				2.90505e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				6.15206e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.00208e+09
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				1.1522e+08
A0A087WSX0	A0A087WSX0;A0A0G2JS06				5.42014e+06
A0A087WSY6	A0A087WSY6				1.18969e+08
A0A087WW87;P01614	P01614;A0A087WW87				1.10945e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				4.01523e+08
A0A0A0MS15	A0A0A0MS15				5.06123e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				3.37688e+06
A0A0A0MT89	A0A0A0MT89				1.68036e+07
A0A0B4J1U7	A0A0B4J1U7				1.8058e+07
A0A0B4J1V0	A0A0B4J1V0				4.08052e+08
A0A0B4J1V2	A0A0B4J1V2				4.31649e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.63742e+08
A0A0B4J1Y9	A0A0B4J1Y9				1.45294e+07
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				1.71757e+06
A0A0C4DH24	A0A0C4DH24				1.7077e+07
A0A0C4DH25	A0A0C4DH25				9.43806e+07
A0A0C4DH29	A0A0C4DH29				1.56174e+06
A0A0C4DH31	A0A0C4DH31				3.11866e+06
A0A0C4DH33	A0A0C4DH33				1.89163e+06
A0A0C4DH34	A0A0C4DH34				4.70555e+07
A0A0C4DH35	A0A0C4DH35				1.6346e+06
A0A0C4DH36	A0A0C4DH36				3.22552e+07
A0A0C4DH38	A0A0C4DH38				2.17984e+07
A0A0C4DH43	A0A0C4DH43				3.56136e+07
A0A0C4DH67	A0A0C4DH67				1.21915e+07
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				5.05842e+07
A0A0J9YX35	A0A0J9YX35				3.23478e+07
A0A0J9YXX1	A0A0J9YXX1				5.91057e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				5.5922e+08
A1L4H1;A1L4H1-2	A1L4H1;A1L4H1-2				5.97594e+06
A2RU67	A2RU67				234472
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				2.08281e+06
A6NGN9	A6NGN9				7.51926e+06
A6NL88	A6NL88				3.60294e+06
A6NLU5	A6NLU5				2.45354e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				236750
C9JVW0	C9JVW0				3.28769e+06
I3L3R5	I3L3R5				360503
O00115;O00115-2	O00115;O00115-2				3.09097e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				3.85184e+07
O00187;O00187-2	O00187;O00187-2				4.88849e+06
O00264	O00264;O15173;O15173-2				1.21833e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				1.24459e+06
O00391	O00391;O00391-2				1.81467e+07
O00451	O00451;O00451-2;O00451-3				8.69862e+06
O00461	O00461				4.14551e+06
O00462	O00462				3.58531e+06
