Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_D10_190224386.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.21779e+08
A0A075B6I0	A0A075B6I0				2.88378e+07
A0A075B6I1	A0A075B6I1				3.51689e+06
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				3.08425e+06
A0A075B6J9	A0A075B6J9				5.16889e+06
A0A075B6K5	A0A075B6K5				5.82212e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.74071e+08
A0A075B6R2	A0A075B6R2				1.38023e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.09533e+07
A0A075B6S2	A0A075B6S2;A2NJV5				3.95285e+08
A0A087WSX0;A0A0G2JS06	A0A087WSX0;A0A0G2JS06				5.39741e+06
A0A087WSY6	A0A087WSY6				1.48086e+08
A0A087WW87;P01614	P01614;A0A087WW87				193362
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.86094e+08
A0A0A0MS15	A0A0A0MS15				3.3037e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.34628e+06
A0A0B4J1U7	A0A0B4J1U7				4.9339e+07
A0A0B4J1V0	A0A0B4J1V0				1.7569e+08
A0A0B4J1V2	A0A0B4J1V2				1.09147e+07
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				8.7119e+07
A0A0B4J1Y8	A0A0B4J1Y8				8.5583e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				4.51136e+06
A0A0C4DH24	A0A0C4DH24				1.76069e+07
A0A0C4DH25	A0A0C4DH25				4.64009e+07
A0A0C4DH33	A0A0C4DH33				2.16545e+06
A0A0C4DH34	A0A0C4DH34				1.15694e+07
A0A0C4DH36	A0A0C4DH36				5.61326e+06
A0A0C4DH38	A0A0C4DH38				2.01573e+08
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				5.37456e+07
A0A0C4DH43	A0A0C4DH43				2.93845e+07
A0A0C4DH67	A0A0C4DH67				6.74898e+07
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				1.81178e+07
A0A0J9YX35	A0A0J9YX35				1.0343e+07
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				8.1014e+07
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				1.14876e+06
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.29458e+08
A1L4H1	A1L4H1				6.77639e+06
A2RU67	A2RU67				462182
A5D6W6	A5D6W6				5.2251e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				2.29809e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				1.23343e+06
A6NGN9	A6NGN9				9.50327e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				3.87999e+06
A6NL88	A6NL88				3.08781e+06
A6NLU5	A6NLU5				4.15555e+07
A8MTW9	A8MTW9				6.30821e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				590746
C9JVW0	C9JVW0				4.53697e+06
I3L3R5	I3L3R5				808552
O00115;O00115-2	O00115;O00115-2				7.18809e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				6.78828e+07
O00187;O00187-2	O00187;O00187-2				1.67323e+06
O00264	O00264;O15173;O15173-2				5.62887e+06
O00299	O00299				2.04939e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				4.26748e+06
O00391	O00391;O00391-2				3.39623e+07
O00451	O00451;O00451-2;O00451-3				1.95076e+07
O00461	O00461				1.11447e+07
O00462	O00462				1.07544e+07
O00468-6	O00468-6;O00468-7				1.95411e+07
O00533	O00533				1.04029e+07
O00533-2	O00533;O00533-2				3.24113e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				2.10963e+06
O00567	O00567				545997
O00584	O00584				2.13826e+07
O00587;O00587-2	O00587;O00587-2				19493.4
O00754;O00754-2	O00754;O00754-2				3.94698e+06
O14498	O14498				1.55159e+08
O14514	O14514				3.18589e+06
O14522;O14522-1	O14522;O14522-1				1.40804e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				358706
O14594	O14594				4.72221e+07
O14657	O14657				340567
