Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_D11_129188366_repeat.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.79889e+08
A0A075B6H9	A0A075B6H9				1.37652e+07
A0A075B6I0	A0A075B6I0				1.94278e+07
A0A075B6I1	A0A075B6I1				5.07701e+06
A0A075B6I9	A0A075B6I9				3.99321e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				2.19255e+06
A0A075B6J9	A0A075B6J9				3.49106e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				3.21518e+06
A0A075B6K5	A0A075B6K5				8.79428e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				2.40166e+08
A0A075B6R2	A0A075B6R2				2.72008e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.54707e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.86774e+08
A0A075B6S5	A0A075B6S5				1.58925e+06
A0A075B6S6	A0A075B6S6				532026
A0A087WSX0	A0A087WSX0;A0A0G2JS06				2.24199e+06
A0A087WSY6	A0A087WSY6				1.59337e+08
A0A087WW87;P01614	P01614;A0A087WW87				3.98861e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				3.62659e+08
A0A0A0MS15	A0A0A0MS15				1.91289e+07
A0A0A0MT89	A0A0A0MT89				1.51802e+07
A0A0B4J1U7	A0A0B4J1U7				1.25191e+07
A0A0B4J1V0	A0A0B4J1V0				1.72682e+08
A0A0B4J1V2	A0A0B4J1V2				9.21793e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				6.87065e+07
A0A0B4J1Y8	A0A0B4J1Y8				5.34485e+06
A0A0C4DH24	A0A0C4DH24				3.56086e+06
A0A0C4DH25	A0A0C4DH25				4.37189e+07
A0A0C4DH30	A0A0C4DH30				210682
A0A0C4DH31	A0A0C4DH31				1.1548e+06
A0A0C4DH33	A0A0C4DH33				2.86536e+08
A0A0C4DH34	A0A0C4DH34				6.26771e+06
A0A0C4DH35	A0A0C4DH35				2.86041e+06
A0A0C4DH36	A0A0C4DH36				5.21735e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				1.07874e+07
A0A0C4DH43	A0A0C4DH43				2.11075e+07
A0A0C4DH67	A0A0C4DH67				4.18617e+07
A0A0J9YX35	A0A0J9YX35				4.68256e+06
A0A0J9YXX1	A0A0J9YXX1				9.2965e+06
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				600844
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				2.29041e+08
A1L4H1	A1L4H1				6.91594e+06
A2RU67	A2RU67				374750
A5D6W6	A5D6W6				5.21405e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				2.17729e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				620527
A6NGN9	A6NGN9				1.11665e+07
A6NL88	A6NL88				5.36507e+06
A6NLU5	A6NLU5				3.26729e+07
A6NMY6;P07355;P07355-2	A6NMY6;P07355;P07355-2				149432
A8MTW9	A8MTW9				3.76922e+06
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				420009
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				488704
B9A064;P0DOX8	B9A064;P0DOX8				1.82059e+08
C9JVW0	C9JVW0				7.89936e+06
E2RYF7	E2RYF7				2.97594e+06
I3L3R5	I3L3R5				2.79048e+06
O00115;O00115-2	O00115;O00115-2				5.41644e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				4.46542e+07
O00187;O00187-2	O00187;O00187-2				1.45891e+06
O00244	O00244				1.49471e+06
O00264	O00264;O15173;O15173-2				1.48889e+08
O00299	O00299				1.60392e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				3.23719e+06
O00391	O00391;O00391-2				2.5682e+07
O00451	O00451;O00451-2;O00451-3				2.30813e+07
O00461	O00461				1.19596e+07
O00462	O00462				6.48858e+06
O00468-6	O00468-6;O00468-7				2.13145e+07
O00469;O00469-2;O00469-3	O00469;O00469-2;O00469-3				566838
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9				1.00862e+06
O00533	O00533				1.725e+07
O00533-2	O00533;O00533-2				3.8573e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				1.21039e+06
O00567	O00567				605853
O00584	O00584				3.08604e+07
O00587;O00587-2	O00587;O00587-2				32215
O00754;O00754-2	O00754;O00754-2				4.57592e+06
O14498	O14498				3.90769e+07
O14514	O14514				4.5841e+06
O14522	O14522;O14522-1				2.64056e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				340340
O14594	O14594				2.24063e+08
O14657	O14657				248932
O14668;O14668-2	O14668;O14668-2				3.2173e+06
O14672	O14672				7.51533e+06
O14737;O14737-2	O14737;O14737-2				184621
O14745	O14745				200087
O14773	O14773				2.41899e+07
O14786	O14786;O14786-2;O14786-3				1.17096e+07
O14791-2	O14791;O14791-2;O14791-3				6.39121e+06
O14793	O14793				3.66765e+06
O14810	O14810				566022
O14917;O14917-2	O14917;O14917-2				6.27741e+06
O15031	O15031				1.81809e+07
O15041;O15041-2	O15041;O15041-2				726883
O15126;O15126-2	O15126;O15126-2				1.35236e+06
O15197;O15197-3	O15197;O15197-3				1.26708e+07
O15204;O15204-2	O15204;O15204-2				1.69627e+06
O15230	O15230				3.99167e+06
O15232;O15232-2	O15232;O15232-2				3.1938e+06
O15240	O15240				3.18908e+08
O15335	O15335				6.87941e+06
O15354	O15354				3.19341e+07
O15394	O15394;O15394-2				3.87257e+07
O15400;O15400-2	O15400;O15400-2				1.6842e+06
O15466;O15466-2	O15466;O15466-2				2.9719e+06
O15540;O15540-2	O15540;O15540-2				6.12685e+06
O43155	O43155				890409
O43157	O43157;O43157-2;O43157-3				6.30103e+06
O43173	O43173				4.88067e+06
O43240	O43240				1.58942e+06
O43278;O43278-2	O43278;O43278-2				2.99171e+06
O43286	O43286				3.03019e+06
O43291	O43291				1.06178e+07
O43300	O43300				5.63385e+07
O43405	O43405;O43405-2				4.70216e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				4.57358e+07
O43504	O43504				734419
O43505	O43505				9.66201e+08
O43508-2	O75888;O43508-2;O75888-2;O75888-4;O75888-5				1.50998e+06
O43529	O43529				1.42467e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.24582e+07
O43567	O43567				6.71932e+07
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				1.21716e+06
O43707;Q9H254;Q9H254-2;Q9H254-4	O43707;Q9H254;Q9H254-2;Q9H254-4				47255.9
O43736;O43736-2	O43736;O43736-2				1.01458e+06
O43827	O43827				1.95457e+07
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				1.84397e+06
O43854;O43854-2	O43854;O43854-2				586805
O43866	O43866				6.0855e+06
O43897;O43897-2	O43897;O43897-2				1.43156e+06
O43909	O43909				825329
O43916	O43916				1.2663e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.71113e+07
O60242	O60242				2.35962e+06
O60243	O60243				2.88959e+06
O60245;O60245-2	O60245;O60245-2				4.66513e+06
O60279	O60279				2.93706e+07
