Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E4_190225869_repeat2.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				4.3504e+08
A0A075B6H9	A0A075B6H9				1.39555e+07
A0A075B6I0	A0A075B6I0				1.79615e+07
A0A075B6I1	A0A075B6I1				531631
A0A075B6J9	A0A075B6J9				3.04659e+06
A0A075B6K4	A0A075B6K4				5.76279e+06
A0A075B6K5	A0A075B6K5				2.96481e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				2.06735e+08
A0A075B6Q5	A0A075B6Q5				1.28349e+06
A0A075B6R2	A0A075B6R2				6.46101e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.76075e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.437e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				4.13091e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				2.74541e+06
A0A087WSY6	A0A087WSY6				2.88915e+08
A0A087WW87;P01614	P01614;A0A087WW87				196654
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				5.27428e+07
A0A0A0MS15	A0A0A0MS15				1.7677e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				603870
A0A0B4J1U7	A0A0B4J1U7				2.54203e+06
A0A0B4J1V0	A0A0B4J1V0				3.67879e+06
A0A0B4J1V2	A0A0B4J1V2				14780.7
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				7.68765e+07
A0A0B4J1Y8	A0A0B4J1Y8				2.5664e+06
A0A0B4J1Y9	A0A0B4J1Y9				7.22195e+06
A0A0C4DH24	A0A0C4DH24				3.2411e+06
A0A0C4DH25	A0A0C4DH25				2.41225e+07
A0A0C4DH33	A0A0C4DH33				85639.3
A0A0C4DH34	A0A0C4DH34				3.31364e+06
A0A0C4DH35	A0A0C4DH35				2.8383e+06
A0A0C4DH36	A0A0C4DH36				1.31438e+07
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				5.47491e+07
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				7.34952e+07
A0A0C4DH43	A0A0C4DH43				3.97568e+06
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				4.25226e+07
A0A0J9YX35	A0A0J9YX35				4.54761e+06
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.84772e+08
A1L4H1	A1L4H1				684015
A2RU67	A2RU67				516893
A5D6W6	A5D6W6				1.73655e+07
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.25474e+06
A6NCE7;Q9GZQ8	Q9GZQ8;Q9H492;A6NCE7;Q9H492-2				378630
A6NGN9	A6NGN9				3.55564e+06
