Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E8_129188551_190304214129.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				6.65551e+08
A0A075B6H9	A0A075B6H9				5.8417e+07
A0A075B6I0	A0A075B6I0				6.59206e+07
A0A075B6I1	A0A075B6I1				4.64914e+06
A0A075B6I9	A0A075B6I9				1.64062e+08
A0A075B6K5	A0A075B6K5				4.32249e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				2.79577e+08
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.14158e+07
A0A075B6S2	A0A075B6S2;A2NJV5				3.07737e+08
A0A075B6S5;A0A0C4DH67;A0A0C4DH69	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				1.56132e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				6.31574e+06
A0A087WSY6	A0A087WSY6				2.78024e+08
A0A087WW87;P01614	P01614;A0A087WW87				2.65663e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.53935e+08
A0A0A0MS15	A0A0A0MS15				3.79569e+07
A0A0B4J1U7	A0A0B4J1U7				4.4435e+07
A0A0B4J1V0	A0A0B4J1V0				2.66099e+08
A0A0B4J1V2	A0A0B4J1V2				2.19818e+07
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.52813e+08
A0A0B4J1Y8	A0A0B4J1Y8				9.84804e+06
A0A0B4J1Y9	A0A0B4J1Y9				4.83655e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				2.32934e+06
A0A0C4DH25	A0A0C4DH25				1.94685e+07
A0A0C4DH33	A0A0C4DH33				7.86458e+08
A0A0C4DH34	A0A0C4DH34				1.42167e+07
A0A0C4DH35	A0A0C4DH35				2.9794e+06
A0A0C4DH36	A0A0C4DH36				8.43646e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				1.09483e+08
A0A0C4DH43	A0A0C4DH43				2.93186e+07
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				5.75632e+06
A0A0J9YX35	A0A0J9YX35				7.7125e+06
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.25955e+08
A1L4H1	A1L4H1				8.02158e+06
A2RU67	A2RU67				859583
A5D6W6	A5D6W6				3.95398e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				3.12335e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				1.54857e+06
A6NGN9	A6NGN9				1.95417e+07
A6NL88	A6NL88				7.04773e+06
A6NLU5	A6NLU5				5.19198e+07
A8MTW9	A8MTW9				6.33233e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				1.19646e+06
B9A064;P0DOX8	B9A064;P0DOX8				2.97507e+08
C9JVW0	C9JVW0				2.86372e+07
I3L3R5	I3L3R5				2.0853e+06
O00115;O00115-2	O00115;O00115-2				7.25409e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				1.11769e+08
O00187;O00187-2	O00187;O00187-2				3.48739e+06
O00264	O00264;O15173;O15173-2				5.28251e+06
O00299	O00299				2.28443e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				2.68179e+06
O00391	O00391;O00391-2				4.22852e+07
O00451	O00451;O00451-2;O00451-3				4.80982e+07
O00461	O00461				1.45983e+07
O00462	O00462				1.20071e+07
O00468-6	O00468-6;O00468-7				3.08299e+07
