Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_F12_190100162.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.14718e+09
A0A075B6H9	A0A075B6H9				2.12765e+07
A0A075B6I0	A0A075B6I0				7.85095e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				3.02709e+06
A0A075B6J9	A0A075B6J9				4.05806e+06
A0A075B6K4	A0A075B6K4				1.48038e+07
A0A075B6K5	A0A075B6K5				2.01065e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				1.56943e+08
A0A075B6R2	A0A075B6R2				2.58043e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.66567e+07
A0A075B6S2	A0A075B6S2				4.88746e+06
A0A075B6S5	A0A075B6S5				7.09774e+06
A0A087WSY6	A0A087WSY6				8.17406e+08
A0A087WW87;P01614	P01614;A0A087WW87				1.91953e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				7.14046e+08
A0A0A0MS15	A0A0A0MS15				3.15331e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				6.76466e+06
A0A0A0MT89	A0A0A0MT89				1.75501e+07
A0A0B4J1U7	A0A0B4J1U7				9.94278e+07
A0A0B4J1V0	A0A0B4J1V0				4.17435e+08
A0A0B4J1V2	A0A0B4J1V2				1.20329e+07
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.4229e+08
A0A0B4J1Y8	A0A0B4J1Y8				6.42238e+07
A0A0C4DH24	A0A0C4DH24				4.70866e+06
A0A0C4DH25	A0A0C4DH25				2.21559e+07
A0A0C4DH31	A0A0C4DH31				1.00671e+07
A0A0C4DH33	A0A0C4DH33				8.24543e+06
A0A0C4DH34	A0A0C4DH34				1.60446e+07
A0A0C4DH35	A0A0C4DH35				4.37981e+06
A0A0C4DH36	A0A0C4DH36				1.74079e+07
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				1.5746e+08
A0A0C4DH43	A0A0C4DH43				6.20714e+07
A0A0C4DH67	A0A0C4DH67				2.58717e+07
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				4.54467e+07
A0A0G2JS06	A0A0G2JS06				3.62814e+06
A0A0J9YX35	A0A0J9YX35				1.48616e+07
A0A0J9YXX1	A0A0J9YXX1				2.72706e+08
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.55716e+08
A1L4H1	A1L4H1				1.72022e+07
A2NJV5	A0A075B6S2;A2NJV5				6.84418e+08
A5D6W6	A5D6W6				2.8342e+06
A6NCE7;Q9GZQ8	Q9GZQ8;Q9H492;A6NCE7;Q9H492-2				1.01469e+06
A6NGN9	A6NGN9				9.43907e+06
A6NL88	A6NL88				3.6556e+06
A6NLU5	A6NLU5				2.8313e+07
A8MTW9	A8MTW9				7.87951e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				636628
B9A064;P0DOX8	B9A064;P0DOX8				2.78362e+08
C9JVW0	C9JVW0				1.92436e+07
I3L3R5	I3L3R5				2.57378e+06
O00115;O00115-2	O00115;O00115-2				2.01376e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				7.17479e+07
O00187;O00187-2	O00187;O00187-2				5.31784e+06
O00264	O00264;O15173;O15173-2				7.68595e+06
O00299	O00299				1.57293e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				2.46555e+06
O00391	O00391;O00391-2				4.2065e+07
O00451	O00451;O00451-2;O00451-3				2.08795e+07
O00461	O00461				2.55747e+07
O00462	O00462				2.49961e+07
O00468-6	O00468-6;O00468-7				1.62887e+07
O00533	O00533;O00533-2				2.1242e+08
O00584	O00584				1.40221e+07
O00587;O00587-2	O00587;O00587-2				59707.1
O00754;O00754-2	O00754;O00754-2				3.05923e+06
O14498	O14498				5.67944e+07
O14522;O14522-1	O14522;O14522-1				3.31241e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				217548
O14594	O14594				1.7541e+08
O14657	O14657				189124
O14672	O14672				6.65849e+06
O14737;O14737-2	O14737;O14737-2				191543
O14745	O14745				173886
O14773	O14773				1.00584e+07
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				1.14159e+07
O14791;O14791-2	O14791;O14791-2;O14791-3				7.87639e+07
O14793	O14793				9.30525e+06
O14917;O14917-2	O14917;O14917-2				5.70183e+06
O15031	O15031				1.73975e+07
O15041;O15041-2	O15041;O15041-2				495619
O15197;O15197-3	O15197;O15197-3				1.18235e+07
O15204;O15204-2	O15204;O15204-2				4.12136e+06
O15230	O15230				2.6793e+06
O15232;O15232-2	O15232;O15232-2				1.97197e+06
O15240	O15240				3.13201e+08
O15335	O15335				3.20242e+06
O15354	O15354				1.5387e+07
O15394	O15394;O15394-2				6.6519e+07
O15540;O15540-2	O15540;O15540-2				5.68443e+06
O43155	O43155				482783
O43157	O43157				8.45782e+06
O43173	O43173				3.34622e+06
O43278;O43278-2	O43278;O43278-2				4.4826e+06
O43286	O43286				4.58038e+06
O43291	O43291				1.07242e+07
O43300	O43300				6.79806e+06
O43405	O43405;O43405-2				4.49783e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				5.39389e+07
O43505	O43505				7.23191e+08
O43508	O43508;O43508-2				1.63611e+06
O43529	O43529				1.03398e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				9.28837e+06
O43567;O43567-2	O43567;O43567-2				1.98349e+06
O43827	O43827				6.70269e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				2.21998e+06
