Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_F8_190224717_repeat.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				4.44294e+08
A0A075B6H9	A0A075B6H9				1.76581e+07
A0A075B6I0	A0A075B6I0				6.41399e+07
A0A075B6I1	A0A075B6I1				8.71148e+06
A0A075B6I9	A0A075B6I9				9.23066e+07
A0A075B6K4	A0A075B6K0;A0A075B6K4				5.14764e+06
A0A075B6K5	A0A075B6K5				6.63881e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				2.78623e+08
A0A075B6Q5	A0A075B6Q5				3.36588e+06
A0A075B6R2	A0A075B6R2				1.61791e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				3.95514e+07
A0A075B6S2	A0A075B6S2;A2NJV5				4.05008e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				8.20838e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				2.92747e+06
A0A087WSY6	A0A087WSY6				2.09759e+08
A0A087WW87;P01614	P01614;A0A087WW87				3.79882e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.29075e+08
A0A0A0MS15	A0A0A0MS15				2.23691e+07
A0A0A0MT89	A0A0A0MT89				1.29772e+07
A0A0B4J1U7	A0A0B4J1U7				5.84906e+07
A0A0B4J1V0	A0A0B4J1V0				3.02999e+08
A0A0B4J1V2	A0A0B4J1V2				9.17562e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.77833e+08
A0A0B4J1Y8	A0A0B4J1Y8				1.20997e+07
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				2.08837e+06
A0A0C4DH25	A0A0C4DH25				7.50781e+07
A0A0C4DH33	A0A0C4DH33				898727
A0A0C4DH34	A0A0C4DH34				1.26618e+07
A0A0C4DH35	A0A0C4DH35				2.26847e+06
A0A0C4DH36	A0A0C4DH36				7.49488e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				3.3328e+08
A0A0C4DH43	A0A0C4DH43				2.7575e+07
A0A0C4DH72	P01599;A0A0C4DH72				5.67773e+07
A0A0J9YX35	A0A0J9YX35				1.15088e+07
A0A0J9YXX1	A0A0J9YXX1				4.33059e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				2.93924e+08
A1L4H1	A1L4H1				4.25062e+06
A2RU67	A2RU67				1.036e+06
A5D6W6	A5D6W6				7.09901e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.88704e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				958647
A6NGN9	A6NGN9				9.3077e+06
A6NL88	A6NL88				3.91578e+06
A6NLU5	A6NLU5				2.5074e+07
A6NMY6;P07355;P07355-2	A6NMY6;P07355;P07355-2				221056
A8MTW9	A8MTW9				1.53142e+06
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				644776
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				580445
C9JVW0	C9JVW0				8.12438e+06
E2RYF7	E2RYF7				2.15799e+06
I3L3R5	I3L3R5				1.1535e+06
O00115;O00115-2	O00115;O00115-2				5.07155e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				4.81887e+07
O00187;O00187-2	O00187;O00187-2				2.17334e+06
O00244	O00244				1.06476e+06
O00264	O00264;O15173;O15173-2				2.09302e+08
O00299	O00299				2.01164e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				2.28144e+06
O00391	O00391;O00391-2				2.42206e+07
O00451	O00451;O00451-2;O00451-3				2.23343e+07
O00461	O00461				1.41301e+07
O00462	O00462				7.38856e+06
O00468-6	O00468-6;O00468-7				2.03156e+07
O00469;O00469-2;O00469-3	O00469;O00469-2;O00469-3				403143
O00533	O00533				1.31354e+07
O00533-2	O00533;O00533-2				2.17087e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				2.05905e+06
O00567	O00567				488993
O00584	O00584				2.21882e+07
O00754;O00754-2	O00754;O00754-2				2.45999e+06
O14498	O14498				3.97924e+07
O14514	O14514				3.77434e+06
O14522	O14522;O14522-1				2.37054e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				891855
O14594	O14594				1.82498e+08
O14657	O14657				229408
O14668;O14668-2	O14668;O14668-2				1.88976e+06
O14672	O14672				2.82187e+06
O14737;O14737-2	O14737;O14737-2				217603
O14745	O14745				250177
O14773	O14773				2.18925e+07
O14786	O14786;O14786-2;O14786-3				1.1722e+07
O14791-2	O14791;O14791-2;O14791-3				3.30069e+07
O14793	O14793				2.53811e+06
O14810	O14810;Q6PUV4				380288
O14917;O14917-2	O14917;O14917-2				8.1296e+06
O14960	O14960				309795
O15031	O15031				1.68838e+07
O15041;O15041-2	O15041;O15041-2				727114
O15197;O15197-3	O15197;O15197-3				1.08796e+07
O15204;O15204-2	O15204;O15204-2				1.82086e+06
O15230	O15230				2.46185e+07
O15232;O15232-2	O15232;O15232-2				4.13226e+06
O15240	O15240				2.47526e+08
O15335	O15335				7.03956e+06
O15354	O15354				3.24391e+07
O15394	O15394;O15394-2				5.25303e+07
O15466;O15466-2	O15466;O15466-2				2.43557e+06
O15540;O15540-2	O15540;O15540-2				4.33775e+06
O43155	O43155				3.47544e+07
O43157	O43157;O43157-2;O43157-3				5.57651e+06
O43173	O43173				4.30028e+06
O43240	O43240				763450
