Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_F9_82880110_190304154132.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				5.75118e+08
A0A075B6H9	A0A075B6H9				3.0334e+07
A0A075B6I0	A0A075B6I0				3.40981e+07
A0A075B6I1	A0A075B6I1				5.05678e+06
A0A075B6I9	A0A075B6I9				6.73982e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				4.86517e+06
A0A075B6K5	A0A075B6K5				4.7281e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				2.61557e+08
A0A075B6Q5	A0A075B6Q5				6.30248e+06
A0A075B6R2	A0A075B6R2				2.13775e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.33764e+07
A0A075B6S2	A0A075B6S2;A2NJV5				3.14243e+08
A0A087WSX0	A0A087WSX0;A0A0G2JS06				3.79512e+06
A0A087WSY6	A0A087WSY6				3.13725e+08
A0A087WW87;P01614	P01614;A0A087WW87				373174
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.49164e+08
A0A0A0MS15	A0A0A0MS15				5.83404e+07
A0A0B4J1U7	A0A0B4J1U7				1.25918e+07
A0A0B4J1V0	A0A0B4J1V0				1.43248e+08
A0A0B4J1V2	A0A0B4J1V2				5.91317e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				2.17329e+08
A0A0B4J1Y8	A0A0B4J1Y8				3.45872e+07
A0A0B4J1Y9	A0A0B4J1Y9				2.81998e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				3.06655e+06
A0A0C4DH24	A0A0C4DH24				8.70589e+06
A0A0C4DH25	A0A0C4DH25				2.83608e+07
A0A0C4DH33	A0A0C4DH33				1.87996e+08
A0A0C4DH34	A0A0C4DH34				7.20537e+06
A0A0C4DH35	A0A0C4DH35				5.87496e+06
A0A0C4DH36	A0A0C4DH36				8.29878e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				1.60942e+07
A0A0C4DH43	A0A0C4DH43				3.11889e+07
A0A0C4DH67	A0A0C4DH67				1.77536e+07
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				1.18425e+07
A0A0J9YX35	A0A0J9YX35				1.13234e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.10488e+08
A1L4H1	A1L4H1				9.09514e+06
A5D6W6	A5D6W6				2.98345e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.66174e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				1.90597e+06
A6NGN9	A6NGN9				6.4725e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				4.32846e+06
A6NL88	A6NL88				4.25805e+06
A6NLU5	A6NLU5				1.00744e+07
A8MTW9	A8MTW9				2.49358e+06
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				872355
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				555498
C9JVW0	C9JVW0				1.47682e+07
I3L3R5	I3L3R5				455703
O00115;O00115-2	O00115;O00115-2				3.13149e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				6.30145e+07
O00187;O00187-2	O00187;O00187-2				3.02647e+06
O00264	O00264;O15173;O15173-2				4.89341e+06
O00299	O00299				2.06054e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				1.99645e+06
O00391	O00391;O00391-2				4.2584e+07
O00451	O00451;O00451-2;O00451-3				1.95847e+07
O00461	O00461				1.04551e+07
O00462	O00462				1.03876e+07
O00468-6	O00468-6;O00468-7				1.83952e+07
O00533	O00533				5.43551e+06
O00533-2	O00533;O00533-2				1.68134e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				1.51527e+06
O00567	O00567				343932
O00584	O00584				1.38521e+07
O00754;O00754-2	O00754;O00754-2				7.24994e+06
O14498	O14498				9.53845e+07
O14522;O14522-1	O14522;O14522-1				2.90448e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				322348
O14594	O14594				1.77026e+08
O14657	O14657				605325
O14668;O14668-2	O14668;O14668-2				3.31956e+06
O14672	O14672				4.56645e+06
O14737;O14737-2	O14737;O14737-2				222933
O14745	O14745				319314
O14773	O14773				1.21081e+07
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				1.33205e+07
O14791-2	O14791;O14791-2;O14791-3				2.99022e+07
O14793	O14793				5.82417e+06
O14917;O14917-2	O14917;O14917-2				4.54496e+06
O15031	O15031				1.10877e+07
O15041;O15041-2	O15041;O15041-2				368308
O15197;O15197-3	O15197;O15197-3				9.01545e+06
O15204;O15204-2	O15204;O15204-2				5.73624e+06
O15230	O15230				1.86542e+06
O15232;O15232-2	O15232;O15232-2				2.38786e+06
O15240	O15240				1.26139e+08
O15335	O15335				5.4065e+06
O15354	O15354				3.46705e+07
O15394	O15394;O15394-2				4.26437e+07
O15466;O15466-2	O15466;O15466-2				1.52975e+06
O15540;O15540-2	O15540;O15540-2				4.86918e+06
O43155	O43155				602903
O43157	O43157;O43157-2;O43157-3				7.80013e+06
O43173	O43173				4.11347e+06
O43240	O43240				1.27729e+06
O43278;O43278-2	O43278;O43278-2				2.6726e+06
O43286	O43286				4.99158e+06
O43291	O43291				9.56074e+06
O43300	O43300				7.04151e+06
O43405;O43405-2	O43405;O43405-2				3.79923e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				5.9648e+07
O43505	O43505				8.73278e+08
O43508-2	O43508;O43508-2				1.19407e+06
O43529	O43529				1.14096e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.28772e+07
O43567	O43567				1.4826e+07
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				2.14689e+06
O43827	O43827				1.12144e+07
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				888685
O43854;O43854-2	O43854;O43854-2				550384
O43866	O43866				9.24297e+06
O43909	O43909				999659
O43916	O43916				1.34462e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.69185e+07
O60242	O60242				1.7105e+06
O60243	O60243				5.26135e+06
O60245;O60245-2	O60245;O60245-2				3.467e+06
O60279	O60279				2.80124e+07
O60330;O60330-2	O60330;O60330-2				1.5345e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				9.06701e+06
O60476	O60476				3.37338e+06
O60512	O60512				1.83768e+06
O60565	O60565				469688
O60568	O60568				4.58453e+06
O60613	O60613				3.70542e+06
O60883	O60883				9.55493e+07
O60888-3	O60888;O60888-2;O60888-3				3.4441e+07
O60939	O60939				5.47745e+06
O75063	O75063				3.73557e+06
O75071	O75071				9.0881e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				3.53993e+06
O75078	O75078;O75078-2				6.08857e+06
O75083	O75083;O75083-3				4.64268e+06
O75084;Q14332	O75084;Q14332				449478
O75144;O75144-2	O75144;O75144-2;O75144-3				4.11076e+07
O75173;O75173-2	O75173;O75173-2				1.7443e+07
O75326	O75326;O75326-2				3.74134e+07
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.51249e+06
O75363;O75363-2	O75363;O75363-2				329004
O75368	O75368				2.77986e+06
O75493	O75493				4.3651e+07
O75503	O75503				6.06368e+06
O75509	O75509				1.88363e+07
O75629	O75629				358878
O75636;O75636-2	O75636;O75636-2				1.86158e+06
O75711	O75711				3.30701e+08
O75752	O75752				7.98465e+06
O75787;O75787-2	O75787;O75787-2				4.38389e+07
O75874	O75874				996819
O75882-2;O75882-3	O75882;O75882-2;O75882-3				2.43335e+07
O75973	O75973				1.77908e+06
O75976	O75976;O75976-2				2.19901e+06
O76061	O76061				6.7746e+06
O76070	O76070				3.60312e+06
O94760	O94760				1.29511e+07
O94766	O94766;Q9NPZ5				8.0821e+06
O94769	O94769;O94769-2				3.15557e+07
O94772;O94772-2	O94772;O94772-2				9.83157e+07
O94779;O94779-2;O94779-4	O94779;O94779-2;O94779-4				657745
