Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_H1_82881356.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.06199e+08
A0A075B6H9	A0A075B6H9				1.3337e+07
A0A075B6I0	A0A075B6I0				1.67898e+08
A0A075B6I1	A0A075B6I1				3.31077e+07
A0A075B6I9	A0A075B6I9				1.04134e+08
A0A075B6J9	P01699;P01700;P01706;P01709;P01721;P01703;A0A075B6J9;P0DOX8				5.18326e+07
A0A075B6K4	A0A075B6K0;A0A075B6K4				6.06484e+06
A0A075B6K5	A0A075B6K5				2.23073e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				2.89574e+08
A0A075B6R2	A0A075B6R2				1.77535e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				6.83622e+07
A0A075B6S2	A0A075B6S2;A2NJV5				3.65739e+08
A0A075B6S5	A0A075B6S5				3.69863e+06
A0A075B6S6	A0A075B6S6				3.14823e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				4.8883e+06
A0A087WSY6	A0A087WSY6				2.47139e+08
A0A087WW87;P01614	P01614;A0A087WW87				5.50268e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.75368e+08
A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				1.19899e+06
A0A0A0MS15	A0A0A0MS15				4.31357e+07
A0A0A0MT89	A0A0A0MT89				7.36314e+06
A0A0B4J1U7	A0A0B4J1U7				2.79223e+07
A0A0B4J1V0	A0A0B4J1V0				4.65659e+08
A0A0B4J1V2	A0A0B4J1V2				7.841e+06
A0A0B4J1V6	A0A0B4J1V6				1.6416e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.9702e+08
A0A0B4J1Y8	A0A0B4J1Y8				1.0781e+07
A0A0B4J1Y9	A0A0B4J1Y9				6.35069e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				2.5748e+06
A0A0C4DH24	A0A0C4DH24				8.34934e+06
A0A0C4DH25	A0A0C4DH25				1.16754e+08
A0A0C4DH29	A0A0C4DH29				185640
A0A0C4DH31	A0A0C4DH31				1.3199e+06
A0A0C4DH33	A0A0C4DH33				1.55605e+06
A0A0C4DH34	A0A0C4DH34				1.45696e+07
A0A0C4DH35	A0A0C4DH35				2.52859e+06
A0A0C4DH36	A0A0C4DH36				1.44016e+07
