Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_H5_82544762_190309202008.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				7.17067e+08
A0A075B6H9	A0A075B6H9				1.58891e+07
A0A075B6I0	A0A075B6I0				2.23671e+07
A0A075B6I1	A0A075B6I1				5.19348e+06
A0A075B6I9	A0A075B6I9				7.0145e+07
A0A075B6J9	A0A075B6J9				6.25696e+06
A0A075B6K2	A0A075B6K2				1.11778e+06
A0A075B6K4	A0A075B6K4				4.51922e+06
A0A075B6K5	A0A075B6K5				3.36343e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.61355e+08
A0A075B6R2	A0A075B6R2				1.20439e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.73589e+07
A0A075B6S2	A0A075B6S2;A2NJV5				4.07605e+08
A0A075B6S5	A0A075B6S5				1.46929e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.37203e+06
A0A087WSY4	A0A087WSY4				1.83844e+07
A0A087WSY6	A0A087WSY6				3.29774e+08
A0A087WW87;P01614	P01614;A0A087WW87				5.60574e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.4222e+08
A0A0A0MS15	A0A0A0MS15				3.20143e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				455440
A0A0B4J1U7	A0A0B4J1U7				9.73034e+06
A0A0B4J1V0	A0A0B4J1V0				3.78812e+07
A0A0B4J1V2	A0A0B4J1V2				3.49109e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				7.99885e+07
A0A0B4J1Y8	A0A0B4J1Y8				2.39454e+06
A0A0B4J1Y9	A0A0B4J1Y9				2.33555e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				810603
A0A0C4DH25	A0A0C4DH25				2.27155e+07
A0A0C4DH29	A0A0C4DH29				4.11836e+06
A0A0C4DH31	A0A0C4DH31				697145
A0A0C4DH33	A0A0C4DH33				1.00205e+06
A0A0C4DH34	A0A0C4DH34				1.15037e+07
A0A0C4DH35	A0A0C4DH35				3.5421e+06
A0A0C4DH36	A0A0C4DH36				9.6942e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				1.19832e+09
A0A0C4DH43	A0A0C4DH43				2.38303e+07
A0A0C4DH67	A0A0C4DH67				2.23458e+07
A0A0C4DH72	P01599;A0A0C4DH72				3.06672e+07
A0A0J9YX35	A0A0J9YX35				8.86423e+06
A0A0J9YXX1	A0A0J9YXX1				2.1712e+06
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				369694
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				7.93983e+07
A1L4H1	A1L4H1				1.75981e+07
A2RU67	A2RU67				355786
A5D6W6	A5D6W6				1.65149e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.87842e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				466145
A6NGN9	A6NGN9				1.22162e+07
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				2.99306e+06
A6NL88	A6NL88				2.59686e+06
A6NLU5	A6NLU5				8.17144e+06
A6NMY6;P07355;P07355-2	A6NMY6;P07355;P07355-2				144743
A6NNZ2;P04350;P07437;P68371;Q13509;Q13509-2;Q13885;Q3ZCM7;Q9BUF5;Q9BVA1;Q9H4B7	A6NNZ2;P04350;P07437;P68371;Q13509;Q13885;Q3ZCM7;Q9BUF5;Q9BVA1;Q9H4B7;Q13509-2				608584
A8MTW9	A8MTW9				530321
B9A064;P0DOX8	B9A064;P0DOX8				2.78307e+08
C9JVW0	C9JVW0				1.4172e+07
I3L3R5	I3L3R5				365579
O00115;O00115-2	O00115;O00115-2				3.17857e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				7.49439e+07
O00187;O00187-2	O00187;O00187-2				1.64164e+06
O00264	O00264;O15173;O15173-2				1.70206e+08
O00299	O00299				982458
