Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_A2_CSF_248-15.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				9.8015e+07
A0A075B6I1	A0A075B6I1				4.08829e+06
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				2.35969e+06
A0A075B6J9	A0A075B6J9				733506
A0A075B6K4	A0A075B6K0;A0A075B6K4				1.96351e+06
A0A075B6K5	A0A075B6K5				5.75997e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				8.31923e+07
A0A075B6Q5	A0A075B6Q5				2.3223e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				3.09695e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.47301e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				7.77633e+07
A0A075B6S6	A0A075B6S6				2.10173e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				6.40638e+06
A0A087WSY4	A0A087WSY4				7.2759e+06
A0A087WSY6	A0A087WSY6				1.42065e+08
A0A087WW87;P01614	P01614;A0A087WW87				2.52186e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.70255e+08
A0A0A0MS15	A0A0A0MS15				2.3021e+07
A0A0A0MT89	A0A0A0MT89				7.04716e+06
A0A0B4J1U7	A0A0B4J1U7				8.99981e+06
A0A0B4J1V0	A0A0B4J1V0				1.67876e+08
A0A0B4J1V2	A0A0B4J1V2				2.00698e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				8.56232e+07
A0A0B4J1Y8	A0A0B4J1Y8				1.27177e+07
A0A0B4J1Y9	A0A0B4J1Y9				2.10918e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				2.92535e+07
A0A0C4DH25	A0A0C4DH25				1.16846e+07
A0A0C4DH33	A0A0C4DH33				1.28471e+08
A0A0C4DH34	A0A0C4DH34				1.15076e+07
A0A0C4DH35	A0A0C4DH35				1.82706e+06
A0A0C4DH36	A0A0C4DH36				4.66875e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				4.48154e+07
A0A0C4DH43	A0A0C4DH43				8.26755e+06
A0A0C4DH72	P01599;A0A0C4DH72				1.72214e+07
A0A0J9YX35	A0A0J9YX35				1.46406e+07
A0A0J9YXX1	A0A0J9YXX1				1.06564e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				4.17839e+08
A1L4H1	A1L4H1				1.5202e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.57924e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				116961
A6NGN9	A6NGN9				8.42834e+06
A6NL88	A6NL88				3.19972e+06
A6NLU5	A6NLU5				1.36582e+07
A6NMY6;P07355;P07355-2	A6NMY6;P07355;P07355-2				736674
A8MTW9	A8MTW9				1.85438e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				656019
B9A064;P0DOX8	B9A064;P0DOX8				9.63687e+07
C9JVW0	C9JVW0				7.07476e+06
I3L3R5	I3L3R5				412270
