Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_B12_CSF_819-14_190217150250.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				3.05099e+08
A0A075B6H9	A0A075B6H9				1.25798e+07
A0A075B6I0	A0A075B6I0				6.93484e+07
A0A075B6I1	A0A075B6I1				5.14035e+06
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				1.59154e+06
A0A075B6J9	A0A075B6J9				3.96721e+07
A0A075B6K4	A0A075B6K0;A0A075B6K4				8.55488e+07
A0A075B6K5	A0A075B6K5				5.85416e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				2.26753e+08
A0A075B6Q5	A0A075B6Q5				3.4418e+06
A0A075B6R2	A0A075B6R2				9.96208e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				7.90254e+07
A0A075B6S2	A0A075B6S2;A2NJV5				3.24637e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				1.1714e+08
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.16216e+07
A0A087WSY4	A0A087WSY4				1.63705e+07
A0A087WSY6	A0A087WSY6				1.87878e+08
A0A087WSZ0	A0A087WSZ0				964960
A0A087WW87;P01614	P01614;A0A087WW87				9.91637e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				3.69596e+08
A0A0A0MS15	A0A0A0MS15				1.84484e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.16058e+06
A0A0A0MT89	A0A0A0MT89				8.2332e+06
A0A0B4J1U7	A0A0B4J1U7				6.50427e+06
A0A0B4J1V0	A0A0B4J1V0				2.49849e+06
A0A0B4J1V2	A0A0B4J1V2				4.78619e+06
A0A0B4J1X5	A0A0B4J1X5				5.37459e+07
A0A0B4J1Y8	A0A0B4J1Y8				1.05858e+07
A0A0B4J1Y9	A0A0B4J1Y9				1.23609e+08
A0A0C4DH24	A0A0C4DH24				2.77398e+06
A0A0C4DH25	A0A0C4DH25				4.03099e+07
A0A0C4DH31	A0A0C4DH31				6.17716e+06
A0A0C4DH33	A0A0C4DH33				1.34212e+06
A0A0C4DH34	A0A0C4DH34				6.33608e+07
A0A0C4DH35	A0A0C4DH35				2.52019e+06
A0A0C4DH36	A0A0C4DH36				7.22513e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				1.05376e+08
A0A0C4DH67	A0A0C4DH67;A0A0C4DH69				7.64024e+06
A0A0J9YX35	A0A0J9YX35				2.11674e+07
A0A0J9YXX1	A0A0J9YXX1				6.3601e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.26228e+09
A1L4H1	A1L4H1				1.18386e+06
A5D6W6	A5D6W6				752889
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				687217
A6NCE7;Q9GZQ8	Q9GZQ8;Q9H492;A6NCE7;Q9H492-2				300865
A6NGN9	A6NGN9				3.6337e+06
A6NL88	A6NL88				2.06552e+06
A6NLU5	A6NLU5				6.47828e+06
A8MTW9	A8MTW9				1.22538e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				164588
B9A064;P0DOX8	B9A064;P0DOX8				5.84844e+08
C9JVW0	C9JVW0				4.85435e+06
I3L3R5	I3L3R5				178103
O00115;O00115-2	O00115;O00115-2				3.08129e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				1.24174e+07
O00187;O00187-2	O00187;O00187-2				301292
O00264	O00264;O15173;O15173-2				1.2424e+08
O00299	O00299				439990
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				2.21411e+06
O00391	O00391;O00391-2				1.37319e+07
O00451	O00451;O00451-2;O00451-3				5.17136e+06
O00461	O00461				3.63183e+06
O00462	O00462				4.58392e+06
O00468-6	O00468-6;O00468-7				1.19803e+07
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9				588054
O00533	O00533				3.86863e+06
O00533-2	O00533;O00533-2				1.01118e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				1.38079e+06
O00584	O00584				1.45685e+07
O00754;O00754-2	O00754;O00754-2				827336
O14498	O14498				1.31395e+07
O14514	O14514				2.08918e+06
O14522;O14522-1	O14522;O14522-1				461086
O14594	O14594				6.53752e+07
O14668;O14668-2	O14668;O14668-2				1.78382e+06
O14672	O14672				2.08493e+06
O14773	O14773				5.79988e+06
O14786	O14786;O14786-2;O14786-3				4.08651e+06
O14791-2	O14791;O14791-2;O14791-3				5.70282e+06
O14793	O14793				1.30593e+06
O14917;O14917-2	O14917;O14917-2				4.09464e+06
O14960	O14960				401390
O15031	O15031				2.46674e+07
O15041;O15041-2	O15041;O15041-2				245121
O15197;O15197-3	O15197;O15197-3				2.57275e+06
O15204;O15204-2	O15204;O15204-2				1.42084e+06
O15230	O15230				7.61727e+06
O15232;O15232-2	O15232;O15232-2				1.60068e+06
O15240	O15240				5.99756e+07
O15335	O15335				1.79819e+06
O15354	O15354				1.43084e+07
O15394	O15394;O15394-2				1.64101e+07
O15466;O15466-2	O15466;O15466-2				939018
O15540;O15540-2	O15540;O15540-2				722099
O43157	O43157;O43157-2;O43157-3				3.39014e+06
O43173	O43173				1.56552e+06
O43240	O43240				925337
O43278;O43278-2	O43278;O43278-2				1.14789e+06
O43286	O43286				1.02448e+06
O43291;O43291-2	O43291;O43291-2				4.19964e+06
O43300	O43300				1.17725e+06
O43405;O43405-2	O43405;O43405-2				2.04163e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				1.72468e+07
O43505	O43505				3.07248e+08
O43508-2	O75888;O43508-2;O75888-2;O75888-4;O75888-5				884694
O43529	O43529				1.01459e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				6.86715e+06
O43567	O43567				3.27173e+06
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				401059
O43827	O43827				2.03414e+06
O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				387013
O43854;O43854-2	O43854;O43854-2				192424
O43866	O43866				1.05808e+06
O43897;O43897-2	O43897;O43897-2				701023
O43909	O43909				143765
O43916	O43916				513079
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.97837e+06
O60242	O60242				814366
O60243	O60243				1.14014e+06
O60245;O60245-2	O60245;O60245-2				1.73992e+06
O60279	O60279				5.48825e+06
O60294	O60294				1.00133e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				834416
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				2.81789e+06
O60476	O60476				1.77734e+06
O60512	O60512				487902
O60565	O60565				159325
O60568	O60568				2.64936e+06
O60613	O60613				971852
O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				1.03868e+06
O60883	O60883				2.28047e+07
O60888-3	O60888;O60888-2;O60888-3				3.42882e+07
O60939	O60939				512366
O75051;O75051-2	O75051;O75051-2				170247
O75063	O75063				1.48272e+06
O75071	O75071				2.28116e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				4.35629e+06
O75078	O75078;O75078-2				2.13733e+06
O75083	O75083;O75083-3				1.33525e+06
O75084;Q14332	O75084;Q14332				117601
O75093	O75093				1.3157e+07
O75144;O75144-2	O75144;O75144-2;O75144-3				1.4801e+07
O75173;O75173-2	O75173;O75173-2				6.80759e+06
O75223	O75223				270099
O75326	O75326;O75326-2				1.65131e+07
O75340;O75340-2	O75340;O75340-2				114679
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				566642
O75368	O75368				780356
O75487;O75487-2	O75487;O75487-2				869041
O75493	O75493				1.43142e+06
O75503	O75503				2.77458e+06
O75509	O75509				1.03406e+07
O75629	O75629				685211
O75636;O75636-2	O75636;O75636-2				1.0837e+06
O75711	O75711				2.56258e+07
O75752	O75752				2.19844e+06
O75787;O75787-2	O75787;O75787-2				1.22238e+07
O75828	O75828				675875
O75874	O75874				247707
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				8.02225e+06
O75973	O75973				286951
O75976	O75976				1.1076e+06
O76061	O76061				1.77492e+06
O76070	O76070				1.17223e+06
O94760	O94760				3.89486e+06
O94766	O94766;Q9NPZ5				800735
O94769	O94769;O94769-2				6.47174e+06
O94772;O94772-2	O94772;O94772-2				4.79298e+07
O94856-11	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				1.65259e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				984822
O94910;O94910-2	O94910;O94910-2				3.09406e+06
O94919	O94919				1.77524e+07
O94973;O94973-2	O94973;O94973-2				89788.3
O94985	O94985				1.80509e+06
O94985-2	O94985;O94985-2				8.10384e+07
O94991	O94991;O94991-2				2.00751e+06
O95084;O95084-2	O95084;O95084-2				1.42056e+06
O95157	O95157				343240
O95158	O95158				7.6198e+06
O95185;O95185-2	O95185;O95185-2				1.48782e+06
O95196;O95196-2	O95196;O95196-2				1.78205e+06
O95206;O95206-2	O95206;O95206-2				2.94609e+06
O95390	O95390				1.30182e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				2.7356e+06
O95445	O95445;O95445-2				2.39687e+07
O95450;O95450-2	O95450;O95450-2				589573
O95467	O95467				659999
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				570733
O95497	O95497				1.21432e+06
O95502	O95502				4.61766e+07
O95633;O95633-2	O95633;O95633-2				1.46848e+06
O95803;O95803-3;Q9H3R1	O95803;Q9H3R1;O95803-2;O95803-3				134142
O95841	O95841				840221
O95897	O95897				167977
O95967	O95967				5.20349e+06
O95970;O95970-3	O95970;O95970-3				252814
P00338;P00338-3	P00338;P00338-3;P00338-4				5.32838e+06
P00390;P00390-2;P00390-3;P00390-4;P00390-5	P00390;P00390-2;P00390-3;P00390-4;P00390-5				1.14652e+06
P00441	P00441				2.0551e+08
P00450	P00450				1.66683e+08
P00488	P00488				1.46931e+06
P00492	P00492				1.48247e+06
P00505	P00505;P00505-2				2.36187e+06
P00533;P00533-2;P00533-3;P00533-4	P00533;P00533-2;P00533-3;P00533-4				798634
P00558	P00558;P00558-2				3.04911e+06
P00734	P00734				4.37739e+07
P00736	P00736				5.72295e+07
P00738	P00738;P00738-2				3.03172e+08
P00739	P00739;P00739-2				2.72729e+08
P00740;P00740-2	P00740;P00740-2				4.04e+06
P00742	P00742				6.82527e+06
P00746	P00746				7.58189e+07
P00747	P00747				8.26279e+07
P00748	P00748				1.32069e+07
P00751	P00751;P00751-2				1.05984e+08
P01008	P01008				4.06049e+08
P01009	P01009;P01009-2;P01009-3				4.02612e+09
P01011	P01011				6.13312e+08
P01019	P01019				5.42868e+08
P01023	P01023;P20742;P20742-2				3.04321e+08
P01024	P01024				4.47512e+08
P01031	P01031				1.86763e+07
P01033	P01033				5.48577e+07
P01034	P01034				8.0034e+08
P01040	P01040				2.04321e+06
P01042	P01042;P01042-2;P01042-3				1.07617e+08
P01042-2;P01042-3	P01042-2;P01042-3				2.1991e+07
P01127;P01127-2	P01127;P01127-2				1.26985e+07
P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6	P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6				346738
P01210	P01210				6.31602e+07
P01213	P01213				3.90573e+06
P01236	P01236				148358
P01258;P01258-2;P06881	P01258;P06881;P10092;P01258-2				1.50681e+06
P01282;P01282-2	P01282;P01282-2				636772
P01303	P01303				7.42413e+06
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				1.00368e+07
P01591	P01591				4.1593e+07
P01593;P01594	P01593;P01594				1.09266e+08
P01597;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				9.94976e+07
P01599	P01599;A0A0C4DH72				3.71607e+07
P01602	P01602				4.10822e+07
P01619	P01619				6.42264e+08
P01700	P01700				1.2734e+08
P01701	P01701				1.55411e+08
P01705	P01705				7.48306e+06
P01706	P01706				7.128e+06
P01709	P01706;P01709;P0DOX8				2.2703e+07
P01714	P01714				2.33032e+07
P01715	P01715				1.00039e+07
P01717	P01717				6.67203e+07
P01721	P01721				4.39318e+06
P01742	P01742				1.75194e+07
P01743	P01743				5.62786e+06
P01768;P0DP03	P01768;P0DP02;P0DP03				1.69032e+07
P01772	P01768;P01772;P0DP02;P0DP03				1.60808e+08
P01780	P01780				1.96692e+08
P01814	P01814				3.84354e+06
P01817	P01817				1.27307e+07
P01833	P01833				1.5525e+06
P01834	P01834				6.07201e+08
P01859	P01859;P01859-1				1.20042e+09
P01860	P01860;P01860-1				5.99895e+07
P01861;P01861-1	P01861;P01861-1				2.21244e+07
P01871;P01871-1	P01871;P0DOX6;P01871-1				2.483e+07
P01876;P01876-1	P01876;P01876-1				3.65392e+08
P01889	P01889;P01893;P04439;P13747;P17693;P17693-2;P17693-5;P17693-6;P04439-2				1.74994e+06
P01903;P01906	P01903;P01906				381947
P01911	P01911;P04440				2.10534e+06
P02144	P02144				1.64994e+06
P02452	P02452				1.75192e+07
P02461	P02461;P02461-2				5.16392e+06
P02533	P02533;P08727;P08779;P19012;Q04695;P19012-2				1.77853e+06
P02538	P02538				914544
P02647	P02647				2.1822e+09
P02649	P02649				2.90997e+09
P02652	P02652				3.61377e+08
P02654	P02654				4.16979e+07
P02655	P02655				1.13805e+07
P02656	P02656				3.77946e+07
P02671	P02671;P02671-2				9.65972e+07
P02675	P02675				4.1972e+07
P02679;P02679-2	P02679;P02679-2				5.15883e+07
P02686;P02686-3;P02686-4;P02686-5;P02686-6	P02686;P02686-3;P02686-4;P02686-5;P02686-6				165833
P02741	P02741				291732
P02743	P02743				4.12516e+06
P02745	P02745				2.28189e+07
P02746	P02746				7.02911e+07
P02747	P02747				1.01775e+08
P02748	P02748				2.16309e+07
P02749	P02749				5.19805e+07
P02750	P02750				6.11704e+07
P02751;P02751-1	P02751;P02751-1;P02751-10;P02751-11;P02751-12;P02751-13;P02751-14;P02751-16;P02751-17;P02751-2;P02751-3;P02751-4;P02751-5;P02751-6;P02751-7;P02751-8;P02751-9				1.42623e+08
P02753	P02753				5.82498e+07
P02760	P02760				4.02547e+07
P02763	P02763				1.2519e+09
P02765	P02765				3.85032e+08
P02766	P02766				2.12616e+09
P02768	P02768				1.39531e+10
P02774;P02774-3	P02774;P02774-2;P02774-3				3.90992e+08
P02786	P02786				781536
P02787	P02787				4.04801e+09
P02788;P02788-2	P02788;P02788-2				5.33578e+06
P02790	P02790				2.12509e+09
P02792	P02792				1.34976e+06
P02794	P02794				1.69783e+06
P03950	P03950				2.3734e+06
P03951;P03951-2	P03951;P03951-2				1.94048e+06
P03952	P03952				5.98648e+06
P04003	P04003				1.91543e+06
P04004	P04004				2.15299e+08
P04062;P04062-2;P04062-4;P04062-5	P04062;P04062-2;P04062-4;P04062-5				1.11009e+06
P04066	P04066				8.52405e+06
P04070;P04070-2	P04070;P04070-2				2.70598e+06
P04075	P04075;P04075-2				2.18941e+07
P04080	P04080				1.24713e+06
P04085;P04085-2	P04085;P04085-2				5.30817e+06
P04114	P04114				3.2384e+07
P04156	P04156				1.00577e+08
P04179;P04179-4	P04179;P04179-2;P04179-3;P04179-4				6.10579e+07
P04180	P04180				1.52561e+07
P04196	P04196				2.24821e+09
P04211	P04211;A0A075B6I9				9.52133e+07
P04216	P04216				1.07419e+08
P04217	P04217;P04217-2				1.27205e+08
P04217-2	P04217-2				2.61486e+06
P04264	P04259;P04264				1.61902e+07
P04271	P04271				965285
P04275	P04275				2.6596e+06
P04278	P04278;P04278-5				3.3264e+06
P04350;P07437;P68371	P04350;P07437;P68371				315182
P04406	P04406;P04406-2				1.6931e+07
P04430	P04430				7.19805e+06
P04439;P04439-2	P01893;P04439;P04439-2				724983
P04746	P04746;P0DTE7;P0DTE8;P0DUB6;P19961;P19961-2;P04746-2				775507
P04792	P04792				460324
P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q71UI9-2;Q71UI9-5;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q9BTM1-2	P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1;Q71UI9-2;Q71UI9-5;Q9BTM1-2				396090
P05023;P05023-2;P05023-4	P05023;P05023-2;P05023-4				207292
P05026;P05026-2	P05026;P05026-2				576920
P05060	P05060				1.75652e+08
P05067;P05067-11;P05067-7;P05067-8;P05067-9	P05067;P05067-4;P05067-10;P05067-11;P05067-3;P05067-5;P05067-6;P05067-7;P05067-8;P05067-9				2.82174e+08
P05090	P05090				1.18425e+09
P05107	P05107				140039
P05109	P05109				679384
P05121	P05121				346809
P05154	P05154				9.59157e+06
P05155;P05155-3	P05155;P05155-2;P05155-3				2.93547e+08
P05156	P05156				1.69051e+07
P05160	P05160				1.32942e+06
P05362	P05362				1.29177e+06
P05408;P05408-2	P05408;P05408-2				9.41302e+07
P05413	P05413				3.31149e+06
P05451;P48304	P05451;P48304				67485.9
P05452	P05452				5.59112e+07
P05543	P05543				3.79e+07
P05546	P05546				5.58214e+07
P05556;P05556-2;P05556-3;P05556-4;P05556-5	P05556;P05556-2;P05556-5;P05556-3;P05556-4				681824
P05937	P05937;P05937-2				2.35401e+06
P05997	P05997				517844
P06276	P06276				3.58017e+06
P06307	P06307				1.86657e+07
P06310	P06310				6.45671e+07
P06312	P06312				2.9578e+08
P06331	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				1.29469e+08
P06396	P06396;P06396-2;P06396-3;P06396-4				2.65412e+08
P06396-2	P06396-2				977676
P06681	P06681;P06681-2;P06681-3				1.62356e+07
P06702	P06702				957433
P06703	P06703				1.85289e+06
P06727	P06727				2.05835e+08
P06732	P06732				163325
P06733	P06733;P06733-2				4.79875e+06
P06744;P06744-2	P06744;P06744-2				1.97749e+06
P06753;P06753-2;P06753-3;P06753-4;P06753-5;P06753-6;P67936;P67936-2	P06753;P67936;P06753-2;P06753-3;P06753-4;P06753-5;P06753-6;P06753-7;P67936-2				344689
P06865	P06865				6.77812e+06
P07093-2;P07093-3	P07093;P07093-2;P07093-3				1.85831e+06
P07108;P07108-2;P07108-3;P07108-4;P07108-5	P07108;P07108-2;P07108-3;P07108-4;P07108-5;P07108-6				7.37814e+06
P07195	P00338;P07195;P07864;Q6ZMR3;P00338-3;P00338-2;P00338-4;P00338-5				1.80023e+07
P07196	P07196				181664
P07225	P07225				2.66358e+07
P07237	P07237				798339
P07307;P07307-2;P07307-3	P07307;P07307-3;P07307-2				64243.8
P07311	P07311				1.34429e+06
P07333	P07333;P07333-2				3.36661e+07
P07339	P07339				6.46074e+07
P07357	P07357				8.15208e+06
P07358	P07358				7.62868e+06
P07360	P07360				7.61905e+06
P07492	P07492;P07492-2;P07492-3				1.4578e+06
P07585	P07585				1.2691e+07
P07602;P07602-2;P07602-3	P07602;P07602-2;P07602-3				6.68866e+07
P07686	P07686				4.5265e+06
P07711	P07711;P07711-3				9.43984e+06
P07737	P07737				3.77807e+06
P07858	P07858				2.96273e+07
P07900;P07900-2	P07900;P08238;P07900-2				728687
P07942	P07942				3.54497e+06
P07996	P07996;P07996-2				1.93982e+06
P07998	P07998				1.36762e+07
P08123	P08123				1.29663e+07
P08133;P08133-2	P08133;P08133-2				38239.9
