Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_C3_CSF_974-14.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.81456e+08
A0A075B6H9	A0A075B6H9				3.49571e+06
A0A075B6I0	A0A075B6I0				3.27049e+07
A0A075B6I1	A0A075B6I1				2.96101e+06
A0A075B6I9;P04211	P04211;A0A075B6I9				3.6587e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				1.04166e+06
A0A075B6J9	A0A075B6J9				1.4926e+07
A0A075B6K0	A0A075B6K0;A0A075B6K4				684317
A0A075B6K5	A0A075B6K5				4.88306e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.15152e+08
A0A075B6R2	A0A075B6R2				1.22465e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				3.13189e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.11716e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				3.18633e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.66198e+07
A0A087WSY4	A0A087WSY4				9.44423e+06
A0A087WSY6	A0A087WSY6				1.1022e+08
A0A087WW87;P01614	P01614;A0A087WW87				2.25822e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.64454e+08
A0A0A0MS15	A0A0A0MS15				2.15298e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				360279
A0A0A0MT89	A0A0A0MT89				6.6125e+06
A0A0B4J1U7	A0A0B4J1U7				2.38071e+07
A0A0B4J1V0	A0A0B4J1V0				1.96697e+08
A0A0B4J1V2	A0A0B4J1V2				4.01723e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				7.29549e+07
A0A0B4J1Y8	A0A0B4J1Y8				1.04166e+07
A0A0B4J1Y9	A0A0B4J1Y9				4.30409e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				695755
A0A0C4DH24	A0A0C4DH24				1.12294e+07
A0A0C4DH25	A0A0C4DH25				1.50958e+07
A0A0C4DH31	A0A0C4DH31				344288
A0A0C4DH33	A0A0C4DH33				893174
A0A0C4DH34	A0A0C4DH34				1.09138e+07
A0A0C4DH35	A0A0C4DH35				1.63975e+06
A0A0C4DH36	A0A0C4DH36				5.06337e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				1.90265e+07
A0A0C4DH43	A0A0C4DH43				1.60269e+07
A0A0C4DH67	A0A0C4DH67				2.43322e+06
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				2.73837e+07
A0A0J9YX35	A0A0J9YX35				1.08824e+07
A0A0J9YXX1	A0A0J9YXX1				3.47157e+07
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				244101
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				2.18959e+08
A1L4H1	A1L4H1				2.54999e+06
A2RU67	A2RU67				177353
A5D6W6	A5D6W6				765204
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				963999
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				165058
A6NGN9	A6NGN9				7.11089e+06
A6NL88	A6NL88				1.44326e+06
A6NLU5	A6NLU5				9.27162e+06
A8MTW9	A8MTW9				1.52188e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				366041
B9A064;P0DOX8	B9A064;P0DOX8				1.80511e+08
C9JVW0	C9JVW0				5.72442e+06
I3L3R5	I3L3R5				1.14688e+06
O00115;O00115-2	O00115;O00115-2				5.34932e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				3.27642e+07
O00187;O00187-2	O00187;O00187-2				1.95053e+06
O00264	O00264;O15173;O15173-2				3.28927e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				1.62036e+06
O00391	O00391;O00391-2				1.61237e+07
O00451	O00451;O00451-2;O00451-3				1.27883e+07
O00461	O00461				3.01097e+06
O00462	O00462				8.23475e+06
O00468-6	O00468-6;O00468-7				1.8574e+07
O00533	O00533;O00533-2				1.28232e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				583096
O00567	O00567				185048
O00584	O00584				1.82084e+07
O00754;O00754-2	O00754;O00754-2				2.62566e+06
O14498	O14498				2.02032e+07
O14514	O14514				3.79365e+06
O14522;O14522-1	O14522;O14522-1				1.61503e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				253542
O14594	O14594				1.34852e+08
O14668;O14668-2	O14668;O14668-2				2.29233e+06
O14672	O14672				3.30835e+06
O14773	O14773				1.00375e+07
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				6.20904e+06
O14791-2	O14791;O14791-2;O14791-3				6.33726e+06
O14793	O14793				2.41364e+06
O14917;O14917-2	O14917;O14917-2				3.11684e+06
O15031	O15031				1.572e+07
O15041;O15041-2	O15041;O15041-2				319424
O15197;O15197-3	O15197;O15197-3				4.34266e+06
O15204;O15204-2	O15204;O15204-2				1.5054e+06
O15230	O15230				1.07782e+06
O15240	O15240				9.44608e+07
O15335	O15335				4.15326e+06
O15354	O15354				2.43213e+07
O15394	O15394;O15394-2				2.40242e+07
O15400;O15400-2	O15400;O15400-2				387038
O15466;O15466-2	O15466;O15466-2				2.07827e+06
O15540;O15540-2	O15540;O15540-2				3.2381e+06
O43155	O43155				1.0559e+06
O43157	O43157;O43157-2;O43157-3				3.64163e+06
O43173	O43173				3.44553e+06
O43240	O43240				775990
O43278;O43278-2	O43278;O43278-2				2.21248e+06
O43286	O43286				1.06727e+06
O43291	O43291				6.83786e+06
O43300	O43300				1.48806e+06
O43405;O43405-2	O43405;O43405-2				1.70638e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-4;O43493-6;O43493-7				2.26543e+07
O43504	O43504				365135
O43505	O43505				3.56898e+08
O43508	O43508;O43508-2				604424
O43508-2	O75888;O43508-2;O75888-2;O75888-4;O75888-5				760121
O43529	O43529				8.51942e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.16104e+07
O43567	O43567;O43567-2				2.14643e+06
