Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_D2_CSF_398-13.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.04452e+08
A0A075B6H9	A0A075B6H9				6.86166e+06
A0A075B6I0	A0A075B6I0				8.73292e+06
A0A075B6I1	A0A075B6I1				3.21105e+06
A0A075B6I9	A0A075B6I9				2.40109e+07
A0A075B6J9	A0A075B6J9				1.34336e+07
A0A075B6K4	A0A075B6K0;A0A075B6K4				482974
A0A075B6K5	A0A075B6K5				4.63184e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				1.79074e+08
A0A075B6R2	A0A075B6R2				7.46217e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.99893e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.35061e+08
A0A075B6S5	A0A075B6S5				1.13152e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				2.96834e+06
A0A087WSY6	A0A087WSY6				7.97461e+07
A0A087WW87;P01614	P01614;A0A087WW87				3.73356e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				8.73486e+07
A0A0A0MS15	A0A0A0MS15				5.74806e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.65331e+06
A0A0A0MT89	A0A0A0MT89				4.09043e+06
A0A0B4J1U7	A0A0B4J1U7				5.92354e+06
A0A0B4J1V0	A0A0B4J1V0				5.12465e+07
A0A0B4J1V2	A0A0B4J1V2				2.61536e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				9.5724e+07
A0A0B4J1Y8	A0A0B4J1Y8				5.81322e+06
A0A0B4J1Y9	A0A0B4J1Y9				1.21652e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				1.94258e+07
A0A0C4DH24	A0A0C4DH24				4.08513e+06
A0A0C4DH25	A0A0C4DH25				1.34102e+07
A0A0C4DH31	A0A0C4DH31				585601
A0A0C4DH33	A0A0C4DH33				979715
A0A0C4DH34	A0A0C4DH34				5.48284e+06
A0A0C4DH35	A0A0C4DH35				1.81181e+06
A0A0C4DH36	A0A0C4DH36				6.45322e+06
A0A0C4DH38	A0A0C4DH38				1.36153e+07
A0A0C4DH43	A0A0C4DH43				1.5865e+07
A0A0C4DH67	A0A0C4DH67				1.06074e+07
A0A0J9YX35	A0A0J9YX35				1.54788e+07
A0A0J9YXX1	A0A0J9YXX1				6.02191e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				2.17944e+08
A1L4H1	A1L4H1				2.18412e+06
A2RU67	A2RU67				456604
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.62591e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				67366.5
A6NGN9	A6NGN9				6.47574e+06
A6NL88	A6NL88				2.22129e+06
A6NLU5	A6NLU5				8.73036e+06
A6NMY6;P07355;P07355-2	A6NMY6;P07355;P07355-2				355497
A8MTW9	A8MTW9				1.14163e+06
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				408388
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				136327
B9A064;P0DOX8	B9A064;P0DOX8				1.43208e+08
C9JVW0	C9JVW0				1.04941e+07
I3L3R5	I3L3R5				1.03504e+06
O00115;O00115-2	O00115;O00115-2				7.94961e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				2.26829e+07
O00187;O00187-2	O00187;O00187-2				824463
O00244	O00244				758746
O00264	O00264;O15173;O15173-2				3.29942e+06
O00299	O00299				397777
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				1.53237e+06
O00391	O00391;O00391-2				1.40917e+07
O00451	O00451;O00451-2;O00451-3				1.45497e+07
O00461	O00461				4.10589e+06
O00462	O00462				6.86154e+06
O00468-6	O00468-6;O00468-7				1.61879e+07
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9				913802
O00533	O00533;O00533-2				2.43318e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				524078
O00567	O00567				321084
O00584	O00584				1.80304e+07
O00754;O00754-2	O00754;O00754-2				3.47504e+06
