Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_E7_CSF_414.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				3.02434e+08
A0A075B6H9	A0A075B6H9				4.1978e+07
A0A075B6I0	A0A075B6I0				8.58027e+07
A0A075B6I1	A0A075B6I1				5.93433e+06
A0A075B6I9	A0A075B6I9				5.63831e+06
A0A075B6J1	A0A075B6J1				4.3411e+06
A0A075B6J9	A0A075B6J9				3.92908e+07
A0A075B6K4	A0A075B6K0;A0A075B6K4				7.19004e+06
A0A075B6K5	A0A075B6K5				2.71701e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				3.26806e+08
A0A075B6Q5	A0A075B6Q5				2.64662e+06
A0A075B6R2	A0A075B6R2				1.65368e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				6.19414e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.63041e+08
A0A075B6S5	A0A075B6S5				4.28828e+06
A0A075B6S6	A0A075B6S6				591522
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.6414e+07
A0A087WSY4	A0A087WSY4				2.79339e+07
A0A087WSY6	A0A087WSY6				2.25648e+08
A0A087WW87;P01614	P01614;A0A087WW87				6.90529e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.36184e+08
A0A0A0MS15	A0A0A0MS15				2.38952e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				3.58187e+06
A0A0A0MT89	A0A0A0MT89				1.18719e+07
A0A0B4J1U7	A0A0B4J1U7				2.41705e+07
A0A0B4J1V0	A0A0B4J1V0				7.08734e+06
A0A0B4J1V2	A0A0B4J1V2				3.04435e+06
A0A0B4J1V6	A0A0B4J1V6				2.66847e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.75146e+08
A0A0B4J1Y8	A0A0B4J1Y8				7.93993e+06
A0A0B4J1Y9	A0A0B4J1Y9				2.18239e+08
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				1.16787e+06
A0A0C4DH24	A0A0C4DH24				6.69414e+06
A0A0C4DH25	A0A0C4DH25				2.32764e+07
A0A0C4DH30	A0A0C4DH30				220430
A0A0C4DH31	A0A0C4DH31				2.75848e+06
A0A0C4DH33	A0A0C4DH33				713868
A0A0C4DH34	A0A0C4DH34				2.96562e+07
A0A0C4DH35	A0A0C4DH35				3.59687e+06
A0A0C4DH36	A0A0C4DH36				2.21406e+07
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				2.36726e+08
A0A0C4DH43	A0A0C4DH43				1.06733e+07
A0A0C4DH67	A0A0C4DH67				3.08436e+07
A0A0J9YX35	A0A0J9YX35				1.40163e+07
A0A0J9YXX1	A0A0J9YXX1				5.77556e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				5.29251e+08
A1L4H1	A1L4H1				1.37434e+06
A2RU67	A2RU67				163203
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.0513e+06
