Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_F6_CSF_134.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.15935e+08
A0A075B6H9	A0A075B6H9				1.91505e+07
A0A075B6I0	A0A075B6I0				5.11009e+07
A0A075B6I1	A0A075B6I1				3.04509e+06
A0A075B6I9	A0A075B6I9				2.93906e+07
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				3.27098e+06
A0A075B6J9	A0A075B6J9				2.53124e+07
A0A075B6K4	A0A075B6K0;A0A075B6K4				1.15714e+06
A0A075B6K5	A0A075B6K5				3.15775e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				2.29477e+08
A0A075B6R2	A0A075B6R2				1.0849e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				5.22625e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.19909e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				2.64936e+07
A0A075B6S6	A0A075B6S6				2.03709e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				8.09051e+06
A0A087WSY6	A0A087WSY6				9.46852e+07
A0A087WW87;P01614	P01614;A0A087WW87				1.60366e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				8.46418e+07
A0A0A0MS15	A0A0A0MS15				2.13902e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				3.78588e+06
A0A0A0MT89	A0A0A0MT89				1.18892e+07
A0A0B4J1U7	A0A0B4J1U7				1.6305e+07
A0A0B4J1V0	A0A0B4J1V0				7.21152e+06
A0A0B4J1V2	A0A0B4J1V2				4.26068e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.6481e+08
A0A0B4J1Y8	A0A0B4J1Y8				1.85303e+06
A0A0B4J1Y9	A0A0B4J1Y9				1.06576e+08
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				8.23852e+06
A0A0C4DH24	A0A0C4DH24				1.18881e+07
A0A0C4DH25	A0A0C4DH25				2.68254e+07
A0A0C4DH29	A0A0C4DH29				967960
A0A0C4DH31	A0A0C4DH31				1.95681e+06
A0A0C4DH33	A0A0C4DH33				1.14851e+06
A0A0C4DH34	A0A0C4DH34				1.23619e+07
A0A0C4DH35	A0A0C4DH35				1.25877e+06
A0A0C4DH36	A0A0C4DH36				1.2617e+07
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				1.28415e+07
A0A0C4DH43	A0A0C4DH43				3.96126e+06
A0A0C4DH67	A0A0C4DH67				4.81968e+06
A0A0J9YX35	A0A0J9YX35				1.13649e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				3.8925e+08
A1L4H1	A1L4H1				2.5047e+06
A2RU67	A2RU67				217392
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.01932e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				148909
A6NGN9	A6NGN9				8.8758e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				1.09018e+06
A6NL88	A6NL88				4.83047e+06
A6NLU5	A6NLU5				2.47698e+07
A8MTW9	A8MTW9				1.34077e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				216625
C9JVW0	C9JVW0				1.06674e+07
I3L3R5	I3L3R5				2.02824e+06
O00115;O00115-2	O00115;O00115-2				3.84062e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				3.22725e+07
O00187;O00187-2	O00187;O00187-2				963062
O00244	O00244				673710
O00264	O00264;O15173;O15173-2				3.0773e+06
O00299	O00299				390622
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				1.76953e+06
O00391	O00391;O00391-2				1.8014e+07
O00451	O00451;O00451-2;O00451-3				2.54079e+07
O00461	O00461				4.97624e+06
O00462	O00462				7.6467e+06
O00468-6	O00468-6;O00468-7				2.07142e+07
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9				136091
O00533	O00533;O00533-2				3.69747e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				489116
O00567	O00567				286894
O00584	O00584				1.6648e+07
